RDA element,alignment,LRM element
lyricist family,has broader,was created by work
lyricist family of,has broader,created work
lyricist person,has broader,was created by work
lyricist person of,has broader,created work
lyrics for work,has broader,accompanies or complements
lyrics work,has broader,accompanies or complements
makeup artist agent,has broader,was created by expression
makeup artist agent of,has broader,created expression
makeup artist collective agent,has broader,was created by expression
makeup artist collective agent of,has broader,created expression
makeup artist corporate body,has broader,was created by expression
makeup artist corporate body of,has broader,created expression
makeup artist family,has broader,was created by expression
makeup artist family of,has broader,created expression
makeup artist person,has broader,was created by expression
makeup artist person of,has broader,created expression
manifestation analysed in,has broader,is subject of
manifestation commentary in,has broader,is subject of
manifestation copyright statement,has broader,has manifestation statement
manifestation critiqued by,has broader,is subject of
manifestation described by,has broader,is subject of
manifestation described with metadata by,has broader,is subject of
manifestation designation of sequence statement,has broader,has manifestation statement
manifestation dissertation statement,has broader,has manifestation statement
manifestation distribution statement,has broader,has manifestation statement
manifestation edition statement,has broader,has manifestation statement
manifestation evaluated by,has broader,is subject of
manifestation exemplified,has equivalent,exemplifies
manifestation frequency statement,has broader,has manifestation statement
manifestation identifier statement,has broader,has manifestation statement
manifestation manufacture statement,has broader,has manifestation statement
manifestation of expression,has equivalent,is embodied in
manifestation of work,has broader,is associated with res
manifestation production statement,has broader,has manifestation statement
manifestation publication statement,has broader,has manifestation statement
manifestation regional encoding statement,has broader,has manifestation statement
manifestation reviewed by,has broader,is subject of
manifestation series statement,has broader,has manifestation statement
manifestation statement,has equivalent,has manifestation statement
manifestation title and responsibility statement,has broader,has manifestation statement
manufacture statement,has broader,has manifestation statement
manufacturer agent,has equivalent,was manufactured by
manufacturer agent of,has equivalent,manufactured
manufacturer collective agent,has broader,was manufactured by
manufacturer collective agent of,has broader,manufactured
manufacturer corporate body,has broader,was manufactured by
manufacturer corporate body of,has broader,manufactured
manufacturer family,has broader,was manufactured by
manufacturer family of,has broader,manufactured
manufacturer person,has broader,was manufactured by
manufacturer person of,has broader,manufactured
material,has broader,has category of carrier
media type,has broader,has access conditions
medium,has broader,was created by work
medium of,has broader,created work
medium of performance of choreographic content,has broader,has category of work
medium of performance of choreographic content of representative expression,has broader,has representative expression attribute
medium of performance of musical content,has broader,has medium of performance
medium of performance of musical content of representative expression,has broader,has representative expression attribute
merged to form expression,has broader,is associated with res
merged to form work,has broader,was transformed into
mergee,has broader,is associated with res
merger of expression,has broader,is associated with res
merger of work,has broader,is a transformation of
metadata description of agent,has broader,has as subject
metadata description of collective agent,has broader,has as subject
metadata description of corporate body,has broader,has as subject
metadata description of expression,has broader,has as subject
metadata description of family,has broader,has as subject
metadata description of item,has broader,has as subject
metadata description of manifestation,has broader,has as subject
metadata description of nomen,has broader,has as subject
metadata description of person,has broader,has as subject
metadata description of place,has broader,has as subject
metadata description of RDA entity,has broader,has as subject
metadata description of timespan,has broader,has as subject
metadata description of work,has broader,has as subject
minute taker agent,has broader,was created by expression
minute taker agent of,has broader,created expression
minute taker collective agent,has broader,was created by expression
minute taker collective agent of,has broader,created expression
minute taker corporate body,has broader,was created by expression
minute taker corporate body of,has broader,created expression
minute taker family,has broader,was created by expression
minute taker family of,has broader,created expression
minute taker person,has broader,was created by expression
minute taker person of,has broader,created expression
mirror site,has broader,has reproduction manifestation
mixing engineer agent,has broader,was created by expression
mixing engineer agent of,has broader,created expression
mixing engineer collective agent,has broader,was created by expression
mixing engineer collective agent of,has broader,created expression
mixing engineer corporate body,has broader,was created by expression
mixing engineer corporate body of,has broader,created expression
mixing engineer family,has broader,was created by expression
mixing engineer family of,has broader,created expression
mixing engineer person,has broader,was created by expression
mixing engineer person of,has broader,created expression
mode of issuance,has broader,has category of carrier
moderator agent,has broader,was created by expression
moderator agent of,has broader,created expression
moderator collective agent,has broader,was created by expression
moderator collective agent of,has broader,created expression
moderator corporate body,has broader,was created by expression
moderator corporate body of,has broader,created expression
moderator family,has broader,was created by expression
moderator family of,has broader,created expression
moderator person,has broader,was created by expression
moderator person of,has broader,created expression
modification of item,has broader,has note
modified by variation as expression,has broader,is associated with res
modified by variation as work,has broader,was transformed into
modifier agent,has equivalent,was modified by
modifier agent of,has equivalent,modified
modifier collective agent,has broader,was modified by
modifier collective agent of,has broader,modified
modifier corporate body,has broader,was modified by
modifier corporate body of,has broader,modified
modifier family,has broader,was modified by
modifier family of,has broader,modified
modifier person,has broader,was modified by
modifier person of,has broader,modified
motion picture adaptation of expression,has broader,is associated with res
motion picture adaptation of work,has broader,is a transformation of
motion picture music expression,has broader,is associated with res
motion picture music work,has broader,accompanies or complements
motion picture screenplay based on expression,has broader,is associated with res
motion picture screenplay based on work,has broader,accompanies or complements
motion picture screenplay expression,has broader,is associated with res
motion picture screenplay work,has broader,accompanies or complements
mount,has broader,has category of carrier
music expression,has broader,is associated with res
music for expression,has broader,is associated with res
music for motion picture expression,has broader,is associated with res
music for motion picture work,has broader,accompanies or complements
music for radio program expression,has broader,is associated with res
music for radio program work,has broader,accompanies or complements
music for television program expression,has broader,is associated with res
music for television program work,has broader,accompanies or complements
music for video expression,has broader,is associated with res
music for video work,has broader,accompanies or complements
music for work,has broader,accompanies or complements
music programmer agent,has broader,was created by expression
music programmer agent of,has broader,created expression
music programmer collective agent,has broader,was created by expression
music programmer collective agent of,has broader,created expression
music programmer corporate body,has broader,was created by expression
music programmer corporate body of,has broader,created expression
music programmer family,has broader,was created by expression
music programmer family of,has broader,created expression
music programmer person,has broader,was created by expression
music programmer person of,has broader,created expression
music work,has broader,accompanies or complements
musical director agent,has broader,was created by expression
musical director agent of,has broader,created expression
musical director collective agent,has broader,was created by expression
musical director collective agent of,has broader,created expression
musical director corporate body,has broader,was created by expression
musical director corporate body of,has broader,created expression
musical director family,has broader,was created by expression
musical director family of,has broader,created expression
musical director person,has broader,was created by expression
musical director person of,has broader,created expression
musical setting of expression,has broader,is associated with res
musical setting of work,has broader,is a transformation of
musical theatre adaptation of expression,has broader,is associated with res
musical theatre adaptation of work,has broader,is a transformation of
name of agent,has broader,has appellation
name of agent of,has broader,is appellation of
name of agent of manifestation,has broader,is associated with res
name of agent of manifestation of,has broader,is associated with res
name of collective agent,has broader,has appellation
name of collective agent of,has broader,is appellation of
name of corporate body,has broader,has appellation
name of corporate body of,has broader,is appellation of
name of distributor,has broader,is associated with res
name of distributor of,has broader,is associated with res
name of family,has broader,has appellation
name of family of,has broader,is appellation of
name of manufacturer,has broader,is associated with res
name of manufacturer of,has broader,is associated with res
name of person,has broader,has appellation
name of person of,has broader,is appellation of
name of place,has broader,has appellation
name of place of,has broader,is appellation of
name of producer,has broader,is associated with res
name of producer of,has broader,is associated with res
name of publisher,has broader,is associated with res
name of publisher of,has broader,is associated with res
name of RDA entity,has broader,has appellation
name of RDA entity of,has broader,is appellation of
name of timespan,has broader,has appellation
name of timespan of,has broader,is appellation of
narrator agent,has broader,was created by expression
narrator agent of,has broader,created expression
narrator collective agent,has broader,was created by expression
narrator collective agent of,has broader,created expression
narrator corporate body,has broader,was created by expression
narrator corporate body of,has broader,created expression
narrator family,has broader,was created by expression
narrator family of,has broader,created expression
narrator person,has broader,was created by expression
narrator person of,has broader,created expression
nature of content,has broader,has note
nomen described by,has broader,is subject of
nomen described with metadata by,has broader,is subject of
nomen string,has equivalent,has nomen string
note on agent,has broader,has note
note on capture,has broader,has note
note on carrier,has broader,has note
note on changes in carrier characteristics,has broader,has note
note on changes in content characteristics,has broader,has note
note on collective agent,has broader,has note
note on copyright date,has broader,has note
note on corporate body,has broader,has note
note on dimensions of item,has broader,has note
note on dimensions of manifestation,has broader,has note
note on distribution statement,has broader,has note
note on edition statement,has broader,has note
note on expression,has broader,has note
note on extent of item,has broader,has note
note on extent of manifestation,has broader,has note
note on family,has broader,has note
note on identifier for manifestation,has broader,has note
"note on issue, part, or iteration used as basis for identification of manifestation",has broader,has note
note on item,has broader,has note
note on manifestation,has broader,has note
note on manufacture statement,has broader,has note
note on metadata work,has broader,has note
note on nomen,has broader,has note
note on numbering of sequence,has broader,has note
note on person,has broader,has note
note on place,has broader,has note
note on production statement,has broader,has note
note on publication statement,has broader,has note
note on RDA entity,has broader,has note
note on series statement,has broader,has note
note on statement of responsibility,has broader,has note
note on timespan,has broader,has note
note on title,has broader,has note
note on work,has broader,has note
novelization of expression,has broader,is associated with res
novelization of work,has broader,is a transformation of
number of conference,has broader,has appellation
numbering of part,has broader,has appellation
numbering of sequence,has broader,has appellation
numbering within sequence,has broader,has appellation
numbering within sequence of,has broader,is appellation of
numeric designation of musical work,has broader,has appellation
numeric designation of musical work of,has broader,is appellation of
officer,has broader,has member
officer of,has broader,is member of
on carrier unit with,has broader,is associated with res
on disc with item,has broader,is associated with res
on disc with manifestation,has broader,is associated with res
on manifestation with,has broader,is associated with res
onscreen participant agent,has broader,was created by expression
onscreen participant agent of,has broader,created expression
onscreen participant collective agent,has broader,was created by expression
onscreen participant collective agent of,has broader,created expression
onscreen participant corporate body,has broader,was created by expression
onscreen participant corporate body of,has broader,created expression
onscreen participant family,has broader,was created by expression
onscreen participant family of,has broader,created expression
onscreen participant person,has broader,was created by expression
onscreen participant person of,has broader,created expression
onscreen presenter agent,has broader,was created by expression
onscreen presenter agent of,has broader,created expression
onscreen presenter collective agent,has broader,was created by expression
onscreen presenter collective agent of,has broader,created expression
onscreen presenter corporate body,has broader,was created by expression
onscreen presenter corporate body of,has broader,created expression
onscreen presenter family,has broader,was created by expression
onscreen presenter family of,has broader,created expression
onscreen presenter person,has broader,was created by expression
onscreen presenter person of,has broader,created expression
opera adaptation of expression,has broader,is associated with res
opera adaptation of work,has broader,is a transformation of
opus number,has broader,has appellation
opus number of,has broader,is appellation of
oratorio adaptation of expression,has broader,is associated with res
oratorio adaptation of work,has broader,is a transformation of
organizer agent,has broader,was created by work
organizer agent of,has broader,created work
organizer collective agent,has broader,was created by work
organizer collective agent of,has broader,created work
organizer corporate body,has broader,was created by work
organizer corporate body of,has broader,created work
organizer family,has broader,was created by work
organizer family of,has broader,created work
organizer person,has broader,was created by work
organizer person of,has broader,created work
other title information,has broader,has manifestation statement
other title information of series,has broader,has manifestation statement
owner agent,has equivalent,is owned by
owner agent of,has equivalent,owns
owner collective agent,has broader,is owned by
owner collective agent of,has broader,owns
owner corporate body,has broader,is owned by
owner corporate body of,has broader,owns
owner family,has broader,is owned by
owner family of,has broader,owns
owner person,has broader,is owned by
owner person of,has broader,owns
panelist agent,has broader,was created by expression
panelist agent of,has broader,created expression
panelist collective agent,has broader,was created by expression
panelist collective agent of,has broader,created expression
panelist corporate body,has broader,was created by expression
panelist corporate body of,has broader,created expression
panelist family,has broader,was created by expression
panelist family of,has broader,created expression
panelist person,has broader,was created by expression
panelist person of,has broader,created expression
papermaker agent,has broader,was manufactured by
papermaker agent of,has broader,manufactured
papermaker collective agent,has broader,was manufactured by
papermaker collective agent of,has broader,manufactured
papermaker corporate body,has broader,was manufactured by
papermaker corporate body of,has broader,manufactured
papermaker family,has broader,was manufactured by
papermaker family of,has broader,manufactured
papermaker person,has broader,was manufactured by
papermaker person of,has broader,manufactured
parallel designation of edition,has broader,has appellation
parallel designation of named revision of edition,has broader,has appellation
parallel name of distributor,has broader,is associated with res
parallel name of distributor of,has broader,is associated with res
parallel name of manufacturer,has broader,is associated with res
parallel name of manufacturer of,has broader,is associated with res
parallel name of producer,has broader,is associated with res
parallel name of producer of,has broader,is associated with res
parallel name of publisher,has broader,is associated with res
parallel name of publisher of,has broader,is associated with res
parallel other title information,has broader,has manifestation statement
parallel other title information of series,has broader,has manifestation statement
parallel place of distribution,has broader,has association with place
parallel place of distribution of,has broader,is associated with place
parallel place of manufacture,has broader,has association with place
parallel place of manufacture of,has broader,is associated with place
parallel place of production,has broader,has association with place
parallel place of production of,has broader,is associated with place
parallel place of publication,has broader,has association with place
parallel place of publication of,has broader,is associated with place
parallel statement of responsibility relating to edition,has broader,has manifestation statement
parallel statement of responsibility relating to named revision of edition,has broader,has manifestation statement
parallel statement of responsibility relating to series,has broader,has manifestation statement
parallel statement of responsibility relating to title proper,has broader,has manifestation statement
parallel title of series,has broader,has appellation
parallel title of series of,has broader,is appellation of
parallel title proper,has broader,has appellation
parallel title proper of,has broader,is appellation of
paraphrase of expression,has broader,is associated with res
paraphrase of work,has broader,is a transformation of
paraphrased as expression,has broader,is associated with res
paraphrased as work,has broader,was transformed into
parodied as expression,has broader,is associated with res
parodied as work,has broader,was transformed into
parody of expression,has broader,is associated with res
parody of work,has broader,is a transformation of
part expression,has equivalent,has part expression
part manifestation,has equivalent,has part manifestation
part nomen,has equivalent,has part nomen
part of expression,has equivalent,is part expression of
part of manifestation,has equivalent,is part manifestation of
part of nomen,has equivalent,is part nomen of
part of place,has equivalent,is part place of
part of timespan,has equivalent,is part time-span of
part of work,has equivalent,is part work of
part place,has equivalent,has part place
part timespan,has equivalent,has part time-span
part work,has equivalent,has part work
participant in treaty,has broader,was created by work
participant in treaty of,has broader,created work
partner,has broader,is associated with res
performer agent,has broader,was created by expression
performer agent of,has broader,created expression
performer collective agent,has broader,was created by expression
performer collective agent of,has broader,created expression
performer corporate body,has broader,was created by expression
performer corporate body of,has broader,created expression
performer family,has broader,was created by expression
performer family of,has broader,created expression
performer person,has broader,was created by expression
performer person of,has broader,created expression
period of activity of agent,has broader,has association with time-span
period of activity of agent of,has broader,is associated with time-span
period of activity of collective agent,has broader,has association with time-span
period of activity of collective agent of,has broader,is associated with time-span
period of activity of corporate body,has broader,has association with time-span
period of activity of corporate body of,has broader,is associated with time-span
period of activity of family,has broader,has association with time-span
period of activity of family of,has broader,is associated with time-span
period of activity of person,has broader,has association with time-span
period of activity of person of,has broader,is associated with time-span
person described by,has broader,is subject of
person described with metadata by,has broader,is subject of
person member of collective agent,has broader,has member
person member of collective agent of,has broader,is member of
person member of corporate body,has broader,has member
person member of corporate body of,has broader,is member of
person member of family,has broader,has member
person member of family of,has broader,is member of
photographer agent of work,has broader,was created by work
photographer agent of work of,has broader,created work
photographer collective agent of work,has broader,was created by work
photographer collective agent of work of,has broader,created work
photographer corporate body of work,has broader,was created by work
photographer corporate body of work of,has broader,created work
photographer family of work,has broader,was created by work
photographer family of work of,has broader,created work
photographer person of work,has broader,was created by work
photographer person of work of,has broader,created work
place described by,has broader,is subject of
place described with metadata by,has broader,is subject of
place of birth,has broader,has association with place
place of birth of,has broader,is associated with place
place of capture,has broader,has association with place
place of capture of,has broader,is associated with place
place of capture of representative expression,has broader,has representative expression attribute
place of capture of representative expression of,has broader,is associated with place
place of conference,has broader,has association with place
place of conference of,has broader,is associated with place
place of death,has broader,has association with place
place of death of,has broader,is associated with place
place of distribution,has broader,has association with place
place of distribution of,has broader,is associated with place
place of manifestation,has broader,has association with place
place of manifestation of,has broader,is associated with place
place of manufacture,has broader,has association with place
place of manufacture of,has broader,is associated with place
place of origin of work,has broader,has association with place
place of origin of work of,has broader,is associated with place
place of production,has broader,has association with place
place of production of,has broader,is associated with place
place of publication,has broader,has association with place
place of publication of,has broader,is associated with place
place of residence,has broader,has association with place
place of residence of,has broader,is associated with place
plaintiff corporate body,has broader,was created by work
plaintiff corporate body of,has broader,created work
plaintiff person,has broader,was created by work
plaintiff person of,has broader,created work
plate number for notated music,has broader,has appellation
plate number for notated music of,has broader,is appellation of
platemaker agent,has broader,was manufactured by
platemaker agent of,has broader,manufactured
platemaker collective agent,has broader,was manufactured by
platemaker collective agent of,has broader,manufactured
platemaker corporate body,has broader,was manufactured by
platemaker corporate body of,has broader,manufactured
platemaker family,has broader,was manufactured by
platemaker family of,has broader,manufactured
platemaker person,has broader,was manufactured by
platemaker person of,has broader,manufactured
playing speed,has broader,has note
polarity,has broader,has category of carrier
praeses,has broader,was created by work
praeses of,has broader,created work
preceded by expression,has broader,is associated with res
preceded by work,has equivalent,is a transformation of
predecessor of collective agent,has broader,precedes collective agent
predecessor of corporate body,has broader,precedes collective agent
predecessor of family,has broader,precedes collective agent
predecessor of split,has broader,precedes collective agent
preferred citation,has broader,has appellation
preferred name of agent,has broader,has appellation
preferred name of agent of,has broader,is appellation of
preferred name of collective agent,has broader,has appellation
preferred name of collective agent of,has broader,is appellation of
preferred name of corporate body,has broader,has appellation
preferred name of corporate body of,has broader,is appellation of
preferred name of family,has broader,has appellation
preferred name of family of,has broader,is appellation of
preferred name of person,has broader,has appellation
preferred name of person of,has broader,is appellation of
preferred name of place,has broader,has appellation
preferred name of place of,has broader,is appellation of
preferred name of RDA entity,has broader,has appellation
preferred name of RDA entity of,has broader,is appellation of
preferred name of timespan,has broader,has appellation
preferred name of timespan of,has broader,is appellation of
preferred title of expression,has broader,has appellation
preferred title of expression of,has broader,is appellation of
preferred title of item,has broader,has appellation
preferred title of item of,has broader,is appellation of
preferred title of work,has broader,has appellation
preferred title of work of,has broader,is appellation of
prequel expression,has broader,is associated with res
prequel work,has broader,succeeds work
presentation format,has broader,has category of carrier
presenter agent,has broader,was created by expression
presenter agent of,has broader,created expression
presenter collective agent,has broader,was created by expression
presenter collective agent of,has broader,created expression
presenter corporate body,has broader,was created by expression
presenter corporate body of,has broader,created expression
presenter family,has broader,was created by expression
presenter family of,has broader,created expression
presenter person,has broader,was created by expression
presenter person of,has broader,created expression
preservation facsimile of item,has broader,has reproduction item
preservation facsimile of item of,has broader,is reproduction item of
preservation facsimile of manifestation,has broader,has reproduction manifestation
preservation facsimile of manifestation of,has broader,has reproduction manifestation
prime meridian,has broader,has category of expression
printer agent,has broader,was manufactured by
printer agent of,has broader,manufactured
printer collective agent,has broader,was manufactured by
printer collective agent of,has broader,manufactured
printer corporate body,has broader,was manufactured by
printer corporate body of,has broader,manufactured
printer family,has broader,was manufactured by
printer family of,has broader,manufactured
printer person,has broader,was manufactured by
printer person of,has broader,manufactured
printmaker agent,has broader,was manufactured by
printmaker agent of,has broader,manufactured
printmaker collective agent,has broader,was manufactured by
printmaker collective agent of,has broader,manufactured
printmaker corporate body,has broader,was manufactured by
printmaker corporate body of,has broader,manufactured
printmaker family,has broader,was manufactured by
printmaker family of,has broader,manufactured
printmaker person,has broader,was manufactured by
printmaker person of,has broader,manufactured
producer agent,has broader,was created by work
producer agent of,has broader,created work
producer agent of unpublished manifestation,has broader,was created by manifestation
producer agent of unpublished manifestation of,has broader,created manifestation
producer collective agent,has broader,was created by work
producer collective agent of,has broader,created work
producer collective agent of unpublished manifestation,has broader,was created by manifestation
producer collective agent of unpublished manifestation of,has broader,created manifestation
producer corporate body,has broader,was created by work
producer corporate body of,has broader,created work
producer corporate body of unpublished manifestation,has broader,was created by manifestation
producer corporate body of unpublished manifestation of,has broader,created manifestation
producer family,has broader,was created by work
producer family of,has broader,created work
producer family of unpublished manifestation,has broader,was created by manifestation
producer family of unpublished manifestation of,has broader,created manifestation
producer person,has broader,was created by work
producer person of,has broader,created work
producer person of unpublished manifestation,has broader,was created by manifestation
producer person of unpublished manifestation of,has broader,created manifestation
product of merger,has broader,precedes collective agent
product of split,has broader,precedes collective agent
production company,has broader,was created by work
production company of,has broader,created work
production designer agent,has broader,was created by expression
production designer agent of,has broader,created expression
production designer collective agent,has broader,was created by expression
production designer collective agent of,has broader,created expression
production designer corporate body,has broader,was created by expression
production designer corporate body of,has broader,created expression
production designer family,has broader,was created by expression
production designer family of,has broader,created expression
production designer person,has broader,was created by expression
production designer person of,has broader,created expression
production method,has broader,has category of carrier
production statement,has broader,has manifestation statement
profession or occupation,has equivalent,has profession or occupation
programmer agent,has broader,was created by work
programmer agent of,has broader,created work
programmer collective agent,has broader,was created by work
programmer collective agent of,has broader,created work
programmer corporate body,has broader,was created by work
programmer corporate body of,has broader,created work
programmer family,has broader,was created by work
programmer family of,has broader,created work
programmer person,has broader,was created by work
programmer person of,has broader,created work
project supervisor,has broader,was created by work
project supervisor of,has broader,created work
projection characteristic of motion picture film,has broader,has access conditions
projection of cartographic content,has broader,has category of expression
projection of cartographic content of representative expression,has broader,has representative expression attribute
projection speed,has broader,has access conditions
prominent member of family,has broader,has member
prominent member of family of,has broader,is member of
publication statement,has broader,has manifestation statement
publisher agent,has broader,was created by manifestation
publisher agent of,has broader,created manifestation
publisher collective agent,has broader,was created by manifestation
publisher collective agent of,has broader,created manifestation
publisher corporate body,has broader,was created by manifestation
publisher corporate body of,has broader,created manifestation
publisher family,has broader,was created by manifestation
publisher family of,has broader,created manifestation
publisher number for notated music,has broader,has appellation
publisher number for notated music of,has broader,is appellation of
publisher person,has broader,was created by manifestation
publisher person of,has broader,created manifestation
puppeteer agent,has broader,was created by expression
puppeteer agent of,has broader,created expression
puppeteer collective agent,has broader,was created by expression
puppeteer collective agent of,has broader,created expression
puppeteer corporate body,has broader,was created by expression
puppeteer corporate body of,has broader,created expression
puppeteer family,has broader,was created by expression
puppeteer family of,has broader,created expression
puppeteer person,has broader,was created by expression
puppeteer person of,has broader,created expression
radio adaptation of expression,has broader,is associated with res
radio adaptation of work,has broader,is a transformation of
radio director agent,has broader,was created by work
radio director agent of,has broader,created work
radio director collective agent,has broader,was created by work
radio director collective agent of,has broader,created work
radio director corporate body,has broader,was created by work
radio director corporate body of,has broader,created work
radio director family,has broader,was created by work
radio director family of,has broader,created work
radio director person,has broader,was created by work
radio director person of,has broader,created work
radio producer agent,has broader,was created by work
radio producer agent of,has broader,created work
radio producer collective agent,has broader,was created by work
radio producer collective agent of,has broader,created work
radio producer corporate body,has broader,was created by work
radio producer corporate body of,has broader,created work
radio producer family,has broader,was created by work
radio producer family of,has broader,created work
radio producer person,has broader,was created by work
radio producer person of,has broader,created work
radio program music expression,has broader,is associated with res
radio program music work,has broader,accompanies or complements
radio script based on expression,has broader,is associated with res
radio script based on work,has broader,is a transformation of
radio script expression,has broader,is associated with res
radio script work,has broader,accompanies or complements
rapporteur agent,has broader,was created by work
rapporteur agent of,has broader,created work
rapporteur collective agent,has broader,was created by work
rapporteur collective agent of,has broader,created work
rapporteur corporate body,has broader,was created by work
rapporteur corporate body of,has broader,created work
rapporteur family,has broader,was created by work
rapporteur family of,has broader,created work
rapporteur person,has broader,was created by work
rapporteur person of,has broader,created work
RDA entity critiqued by,has broader,is subject of
RDA entity described by,has broader,is subject of
RDA entity described with metadata by,has broader,is subject of
RDA entity evaluated by,has broader,is subject of
RDA entity reviewed by,has broader,is subject of
real identity of person,has broader,has appellation
real identity of person of,has broader,is appellation of
recording engineer agent,has broader,was created by expression
recording engineer agent of,has broader,created expression
recording engineer collective agent,has broader,was created by expression
recording engineer collective agent of,has broader,created expression
recording engineer corporate body,has broader,was created by expression
recording engineer corporate body of,has broader,created expression
recording engineer family,has broader,was created by expression
recording engineer family of,has broader,created expression
recording engineer person,has broader,was created by expression
recording engineer person of,has broader,created expression
recording medium,has broader,has access conditions
recording source,has broader,has note
recordist agent,has broader,was created by expression
recordist agent of,has broader,created expression
recordist collective agent,has broader,was created by expression
recordist collective agent of,has broader,created expression
recordist corporate body,has broader,was created by expression
recordist corporate body of,has broader,created expression
recordist family,has broader,was created by expression
recordist family of,has broader,created expression
recordist person,has broader,was created by expression
recordist person of,has broader,created expression
reduction ratio,has broader,has category of carrier
reduction ratio designation,has broader,has category of carrier
reference source,has equivalent,has reference source
reference source of,has broader,is associated with res
regional encoding,has broader,has category of carrier
regional version,has broader,was transformed into
regional version of,has broader,is a transformation of
related agent of agent,has broader,is associated with res
related agent of collective agent,has broader,is associated with res
related agent of corporate body,has broader,is associated with res
related agent of expression,has broader,is associated with res
related agent of family,has broader,is associated with res
related agent of item,has broader,is associated with res
related agent of manifestation,has broader,is associated with res
related agent of nomen,has broader,is associated with res
related agent of person,has broader,is associated with res
related agent of place,has broader,is associated with place
related agent of RDA entity,has broader,is associated with res
related agent of timespan,has broader,is associated with time-span
related agent of work,has broader,is associated with res
related collective agent of agent,has broader,is associated with res
related collective agent of collective agent,has broader,is associated with res
related collective agent of corporate body,has broader,is associated with res
related collective agent of expression,has broader,is associated with res
related collective agent of family,has broader,is associated with res
related collective agent of item,has broader,is associated with res
related collective agent of manifestation,has broader,is associated with res
related collective agent of nomen,has broader,is associated with res
related collective agent of person,has broader,is associated with res
related collective agent of place,has broader,is associated with place
related collective agent of RDA entity,has broader,is associated with res
related collective agent of timespan,has broader,is associated with time-span
related collective agent of work,has broader,is associated with res
related corporate body of agent,has broader,is associated with res
related corporate body of collective agent,has broader,is associated with res
related corporate body of corporate body,has broader,is associated with res
related corporate body of expression,has broader,is associated with res
related corporate body of family,has broader,is associated with res
related corporate body of item,has broader,is associated with res
related corporate body of manifestation,has broader,is associated with res
related corporate body of nomen,has broader,is associated with res
related corporate body of person,has broader,is associated with res
related corporate body of place,has broader,is associated with place
related corporate body of RDA entity,has broader,is associated with res
related corporate body of timespan,has broader,is associated with time-span
related corporate body of work,has broader,is associated with res
related entity of agent,has broader,is associated with res
related entity of collective agent,has broader,is associated with res
related entity of corporate body,has broader,is associated with res
related entity of expression,has broader,is associated with res
related entity of family,has broader,is associated with res
related entity of item,has broader,is associated with res
related entity of manifestation,has broader,is associated with res
related entity of nomen,has broader,is associated with res
related entity of person,has broader,is associated with res
related entity of place,has broader,is associated with place
related entity of RDA entity,has broader,is associated with res
related entity of timespan,has broader,is associated with time-span
related entity of work,has broader,is associated with res
related expression of agent,has broader,is associated with res
related expression of collective agent,has broader,is associated with res
related expression of corporate body,has broader,is associated with res
related expression of expression,has broader,is associated with res
related expression of family,has broader,is associated with res
related expression of item,has broader,is associated with res
related expression of manifestation,has broader,is associated with res
related expression of nomen,has broader,is associated with res
related expression of person,has broader,is associated with res
related expression of place,has broader,is associated with place
related expression of RDA entity,has broader,is associated with res
related expression of timespan,has broader,is associated with time-span
related expression of work,has broader,is associated with res
related family of agent,has broader,is associated with res
related family of collective agent,has broader,is associated with res
related family of corporate body,has broader,is associated with res
related family of expression,has broader,is associated with res
related family of family,has broader,is associated with res
related family of item,has broader,is associated with res
related family of manifestation,has broader,is associated with res
related family of nomen,has broader,is associated with res
related family of person,has broader,is associated with res
related family of place,has broader,is associated with place
related family of RDA entity,has broader,is associated with res
related family of timespan,has broader,is associated with time-span
related family of work,has broader,is associated with res
related item of agent,has broader,is associated with res
related item of collective agent,has broader,is associated with res
related item of corporate body,has broader,is associated with res
related item of expression,has broader,is associated with res
related item of family,has broader,is associated with res
related item of item,has broader,is associated with res
related item of manifestation,has broader,is associated with res
related item of nomen,has broader,is associated with res
related item of person,has broader,is associated with res
related item of place,has broader,is associated with place
related item of RDA entity,has broader,is associated with res
related item of timespan,has broader,is associated with time-span
related item of work,has broader,is associated with res
related manifestation of agent,has broader,is associated with res
related manifestation of collective agent,has broader,is associated with res
related manifestation of corporate body,has broader,is associated with res
related manifestation of expression,has broader,is associated with res
related manifestation of family,has broader,is associated with res
related manifestation of item,has broader,is associated with res
related manifestation of manifestation,has broader,is associated with res
related manifestation of nomen,has broader,is associated with res
related manifestation of person,has broader,is associated with res
related manifestation of place,has broader,is associated with place
related manifestation of RDA entity,has broader,is associated with res
related manifestation of timespan,has broader,is associated with time-span
related manifestation of work,has broader,is associated with res
related nomen of agent,has broader,is associated with res
related nomen of collective agent,has broader,is associated with res
related nomen of corporate body,has broader,is associated with res
related nomen of expression,has broader,is associated with res
related nomen of family,has broader,is associated with res
related nomen of item,has broader,is associated with res
related nomen of manifestation,has broader,is associated with res
related nomen of nomen,has broader,is associated with res
related nomen of person,has broader,is associated with res
related nomen of place,has broader,is associated with place
related nomen of RDA entity,has broader,is associated with res
related nomen of timespan,has broader,is associated with time-span
related nomen of work,has broader,is associated with res
related person of agent,has broader,is associated with res
related person of collective agent,has broader,is associated with res
related person of corporate body,has broader,is associated with res
related person of expression,has broader,is associated with res
related person of family,has broader,is associated with res
related person of item,has broader,is associated with res
related person of manifestation,has broader,is associated with res
related person of nomen,has broader,is associated with res
related person of person,has broader,is associated with res
related person of place,has broader,is associated with place
