RDA element label,Alignment,Recording method
engraver collective agent of,has valid recording method,identifier
engraver collective agent of,has valid recording method,IRI
engraver corporate body,has valid recording method,unstructured description
engraver corporate body,has valid recording method,structured description
engraver corporate body,has valid recording method,identifier
engraver corporate body,has valid recording method,IRI
engraver corporate body of,has valid recording method,unstructured description
engraver corporate body of,has valid recording method,structured description
engraver corporate body of,has valid recording method,identifier
engraver corporate body of,has valid recording method,IRI
engraver family,has valid recording method,unstructured description
engraver family,has valid recording method,structured description
engraver family,has valid recording method,identifier
engraver family,has valid recording method,IRI
engraver family of,has valid recording method,unstructured description
engraver family of,has valid recording method,structured description
engraver family of,has valid recording method,identifier
engraver family of,has valid recording method,IRI
engraver person,has valid recording method,unstructured description
engraver person,has valid recording method,structured description
engraver person,has valid recording method,identifier
engraver person,has valid recording method,IRI
engraver person of,has valid recording method,unstructured description
engraver person of,has valid recording method,structured description
engraver person of,has valid recording method,identifier
engraver person of,has valid recording method,IRI
enrolled student,has valid recording method,unstructured description
enrolled student,has valid recording method,structured description
enrolled student,has valid recording method,identifier
enrolled student,has valid recording method,IRI
epoch,has valid recording method,unstructured description
epoch,has valid recording method,structured description
epoch,has valid recording method,identifier
epoch,has valid recording method,IRI
epoch of,has valid recording method,unstructured description
epoch of,has valid recording method,structured description
epoch of,has valid recording method,identifier
epoch of,has valid recording method,IRI
equinox,has valid recording method,unstructured description
equinox,has valid recording method,structured description
equinox,has valid recording method,identifier
equinox,has valid recording method,IRI
equinox of,has valid recording method,unstructured description
equinox of,has valid recording method,structured description
equinox of,has valid recording method,identifier
equinox of,has valid recording method,IRI
equipment or system requirement,has valid recording method,unstructured description
equivalent item,has valid recording method,unstructured description
equivalent item,has valid recording method,structured description
equivalent item,has valid recording method,identifier
equivalent item,has valid recording method,IRI
equivalent manifestation,has valid recording method,unstructured description
equivalent manifestation,has valid recording method,structured description
equivalent manifestation,has valid recording method,identifier
equivalent manifestation,has valid recording method,IRI
equivalent to,has valid recording method,unstructured description
equivalent to,has valid recording method,structured description
equivalent to,has valid recording method,identifier
equivalent to,has valid recording method,IRI
errata expression,has valid recording method,unstructured description
errata expression,has valid recording method,structured description
errata expression,has valid recording method,identifier
errata expression,has valid recording method,IRI
errata to expression,has valid recording method,unstructured description
errata to expression,has valid recording method,structured description
errata to expression,has valid recording method,identifier
errata to expression,has valid recording method,IRI
errata to work,has valid recording method,unstructured description
errata to work,has valid recording method,structured description
errata to work,has valid recording method,identifier
errata to work,has valid recording method,IRI
errata work,has valid recording method,unstructured description
errata work,has valid recording method,structured description
errata work,has valid recording method,identifier
errata work,has valid recording method,IRI
etcher agent,has valid recording method,unstructured description
etcher agent,has valid recording method,structured description
etcher agent,has valid recording method,identifier
etcher agent,has valid recording method,IRI
etcher agent of,has valid recording method,unstructured description
etcher agent of,has valid recording method,structured description
etcher agent of,has valid recording method,identifier
etcher agent of,has valid recording method,IRI
etcher collective agent,has valid recording method,unstructured description
etcher collective agent,has valid recording method,structured description
etcher collective agent,has valid recording method,identifier
etcher collective agent,has valid recording method,IRI
etcher collective agent of,has valid recording method,unstructured description
etcher collective agent of,has valid recording method,structured description
etcher collective agent of,has valid recording method,identifier
etcher collective agent of,has valid recording method,IRI
etcher corporate body,has valid recording method,unstructured description
etcher corporate body,has valid recording method,structured description
etcher corporate body,has valid recording method,identifier
etcher corporate body,has valid recording method,IRI
etcher corporate body of,has valid recording method,unstructured description
etcher corporate body of,has valid recording method,structured description
etcher corporate body of,has valid recording method,identifier
etcher corporate body of,has valid recording method,IRI
etcher family,has valid recording method,unstructured description
etcher family,has valid recording method,structured description
etcher family,has valid recording method,identifier
etcher family,has valid recording method,IRI
etcher family of,has valid recording method,unstructured description
etcher family of,has valid recording method,structured description
etcher family of,has valid recording method,identifier
etcher family of,has valid recording method,IRI
etcher person,has valid recording method,unstructured description
etcher person,has valid recording method,structured description
etcher person,has valid recording method,identifier
etcher person,has valid recording method,IRI
etcher person of,has valid recording method,unstructured description
etcher person of,has valid recording method,structured description
etcher person of,has valid recording method,identifier
etcher person of,has valid recording method,IRI
evaluation of expression,has valid recording method,unstructured description
evaluation of expression,has valid recording method,structured description
evaluation of expression,has valid recording method,identifier
evaluation of expression,has valid recording method,IRI
evaluation of manifestation,has valid recording method,unstructured description
evaluation of manifestation,has valid recording method,structured description
evaluation of manifestation,has valid recording method,identifier
evaluation of manifestation,has valid recording method,IRI
evaluation of RDA entity,has valid recording method,unstructured description
evaluation of RDA entity,has valid recording method,structured description
evaluation of RDA entity,has valid recording method,identifier
evaluation of RDA entity,has valid recording method,IRI
evaluation of work,has valid recording method,unstructured description
evaluation of work,has valid recording method,structured description
evaluation of work,has valid recording method,identifier
evaluation of work,has valid recording method,IRI
exemplar of manifestation,has valid recording method,unstructured description
exemplar of manifestation,has valid recording method,structured description
exemplar of manifestation,has valid recording method,identifier
exemplar of manifestation,has valid recording method,IRI
expanded as expression,has valid recording method,unstructured description
expanded as expression,has valid recording method,structured description
expanded as expression,has valid recording method,identifier
expanded as expression,has valid recording method,IRI
expanded as work,has valid recording method,unstructured description
expanded as work,has valid recording method,structured description
expanded as work,has valid recording method,identifier
expanded as work,has valid recording method,IRI
expanded version of expression,has valid recording method,unstructured description
expanded version of expression,has valid recording method,structured description
expanded version of expression,has valid recording method,identifier
expanded version of expression,has valid recording method,IRI
expanded version of work,has valid recording method,unstructured description
expanded version of work,has valid recording method,structured description
expanded version of work,has valid recording method,identifier
expanded version of work,has valid recording method,IRI
expression analysed in,has valid recording method,unstructured description
expression analysed in,has valid recording method,structured description
expression analysed in,has valid recording method,identifier
expression analysed in,has valid recording method,IRI
expression commentary in,has valid recording method,unstructured description
expression commentary in,has valid recording method,structured description
expression commentary in,has valid recording method,identifier
expression commentary in,has valid recording method,IRI
expression critiqued by,has valid recording method,unstructured description
expression critiqued by,has valid recording method,structured description
expression critiqued by,has valid recording method,identifier
expression critiqued by,has valid recording method,IRI
expression described by,has valid recording method,unstructured description
expression described by,has valid recording method,structured description
expression described by,has valid recording method,identifier
expression described by,has valid recording method,IRI
expression described with metadata by,has valid recording method,unstructured description
expression described with metadata by,has valid recording method,structured description
expression described with metadata by,has valid recording method,identifier
expression described with metadata by,has valid recording method,IRI
expression evaluated by,has valid recording method,unstructured description
expression evaluated by,has valid recording method,structured description
expression evaluated by,has valid recording method,identifier
expression evaluated by,has valid recording method,IRI
expression manifested,has valid recording method,unstructured description
expression manifested,has valid recording method,structured description
expression manifested,has valid recording method,identifier
expression manifested,has valid recording method,IRI
expression of derivative work,has valid recording method,unstructured description
expression of derivative work,has valid recording method,structured description
expression of derivative work,has valid recording method,identifier
expression of derivative work,has valid recording method,IRI
expression of source work,has valid recording method,unstructured description
expression of source work,has valid recording method,structured description
expression of source work,has valid recording method,identifier
expression of source work,has valid recording method,IRI
expression of work,has valid recording method,unstructured description
expression of work,has valid recording method,structured description
expression of work,has valid recording method,identifier
expression of work,has valid recording method,IRI
expression reviewed by,has valid recording method,unstructured description
expression reviewed by,has valid recording method,structured description
expression reviewed by,has valid recording method,identifier
expression reviewed by,has valid recording method,IRI
extension plan,has valid recording method,unstructured description
extension plan,has valid recording method,structured description
extension plan,has valid recording method,identifier
extension plan,has valid recording method,IRI
extent of expression,has valid recording method,unstructured description
extent of expression,has valid recording method,structured description
extent of manifestation,has valid recording method,unstructured description
extent of manifestation,has valid recording method,structured description
extent of representative expression,has valid recording method,unstructured description
extent of representative expression,has valid recording method,structured description
facsimile of item,has valid recording method,unstructured description
facsimile of item,has valid recording method,structured description
facsimile of item,has valid recording method,identifier
facsimile of item,has valid recording method,IRI
facsimile of item of,has valid recording method,unstructured description
facsimile of item of,has valid recording method,structured description
facsimile of item of,has valid recording method,identifier
facsimile of item of,has valid recording method,IRI
facsimile of manifestation,has valid recording method,unstructured description
facsimile of manifestation,has valid recording method,structured description
facsimile of manifestation,has valid recording method,identifier
facsimile of manifestation,has valid recording method,IRI
facsimile of manifestation of,has valid recording method,unstructured description
facsimile of manifestation of,has valid recording method,structured description
facsimile of manifestation of,has valid recording method,identifier
facsimile of manifestation of,has valid recording method,IRI
facsimile part,has valid recording method,unstructured description
facsimile part,has valid recording method,structured description
facsimile part,has valid recording method,identifier
facsimile part,has valid recording method,IRI
facsimile part of,has valid recording method,unstructured description
facsimile part of,has valid recording method,structured description
facsimile part of,has valid recording method,identifier
facsimile part of,has valid recording method,IRI
family described by,has valid recording method,unstructured description
family described by,has valid recording method,structured description
family described by,has valid recording method,identifier
family described by,has valid recording method,IRI
family described with metadata by,has valid recording method,unstructured description
family described with metadata by,has valid recording method,structured description
family described with metadata by,has valid recording method,identifier
family described with metadata by,has valid recording method,IRI
family history,has valid recording method,unstructured description
family member of collective agent,has valid recording method,unstructured description
family member of collective agent,has valid recording method,structured description
family member of collective agent,has valid recording method,identifier
family member of collective agent,has valid recording method,IRI
family member of collective agent of,has valid recording method,unstructured description
family member of collective agent of,has valid recording method,structured description
family member of collective agent of,has valid recording method,identifier
family member of collective agent of,has valid recording method,IRI
family member of corporate body,has valid recording method,unstructured description
family member of corporate body,has valid recording method,structured description
family member of corporate body,has valid recording method,identifier
family member of corporate body,has valid recording method,IRI
family member of corporate body of,has valid recording method,unstructured description
family member of corporate body of,has valid recording method,structured description
family member of corporate body of,has valid recording method,identifier
family member of corporate body of,has valid recording method,IRI
family member of family,has valid recording method,unstructured description
family member of family,has valid recording method,structured description
family member of family,has valid recording method,identifier
family member of family,has valid recording method,IRI
family member of family of,has valid recording method,unstructured description
family member of family of,has valid recording method,structured description
family member of family of,has valid recording method,identifier
family member of family of,has valid recording method,IRI
fellow student,has valid recording method,unstructured description
fellow student,has valid recording method,structured description
fellow student,has valid recording method,identifier
fellow student,has valid recording method,IRI
field of activity of agent,has valid recording method,unstructured description
field of activity of agent,has valid recording method,structured description
field of activity of agent,has valid recording method,identifier
field of activity of agent,has valid recording method,IRI
field of activity of collective agent,has valid recording method,unstructured description
field of activity of collective agent,has valid recording method,structured description
field of activity of collective agent,has valid recording method,identifier
field of activity of collective agent,has valid recording method,IRI
field of activity of corporate body,has valid recording method,unstructured description
field of activity of corporate body,has valid recording method,structured description
field of activity of corporate body,has valid recording method,identifier
field of activity of corporate body,has valid recording method,IRI
field of activity of family,has valid recording method,unstructured description
field of activity of family,has valid recording method,structured description
field of activity of family,has valid recording method,identifier
field of activity of family,has valid recording method,IRI
field of activity of person,has valid recording method,unstructured description
field of activity of person,has valid recording method,structured description
field of activity of person,has valid recording method,identifier
field of activity of person,has valid recording method,IRI
file size,has valid recording method,unstructured description
file size,has valid recording method,structured description
file type,has valid recording method,unstructured description
file type,has valid recording method,structured description
file type,has valid recording method,identifier
file type,has valid recording method,IRI
film director agent,has valid recording method,unstructured description
film director agent,has valid recording method,structured description
film director agent,has valid recording method,identifier
film director agent,has valid recording method,IRI
film director agent of,has valid recording method,unstructured description
film director agent of,has valid recording method,structured description
film director agent of,has valid recording method,identifier
film director agent of,has valid recording method,IRI
film director collective agent,has valid recording method,unstructured description
film director collective agent,has valid recording method,structured description
film director collective agent,has valid recording method,identifier
film director collective agent,has valid recording method,IRI
film director collective agent of,has valid recording method,unstructured description
film director collective agent of,has valid recording method,structured description
film director collective agent of,has valid recording method,identifier
film director collective agent of,has valid recording method,IRI
film director corporate body,has valid recording method,unstructured description
film director corporate body,has valid recording method,structured description
film director corporate body,has valid recording method,identifier
film director corporate body,has valid recording method,IRI
film director corporate body of,has valid recording method,unstructured description
film director corporate body of,has valid recording method,structured description
film director corporate body of,has valid recording method,identifier
film director corporate body of,has valid recording method,IRI
film director family,has valid recording method,unstructured description
film director family,has valid recording method,structured description
film director family,has valid recording method,identifier
film director family,has valid recording method,IRI
film director family of,has valid recording method,unstructured description
film director family of,has valid recording method,structured description
film director family of,has valid recording method,identifier
film director family of,has valid recording method,IRI
film director person,has valid recording method,unstructured description
film director person,has valid recording method,structured description
film director person,has valid recording method,identifier
film director person,has valid recording method,IRI
film director person of,has valid recording method,unstructured description
film director person of,has valid recording method,structured description
film director person of,has valid recording method,identifier
film director person of,has valid recording method,IRI
film distributor agent,has valid recording method,unstructured description
film distributor agent,has valid recording method,structured description
film distributor agent,has valid recording method,identifier
film distributor agent,has valid recording method,IRI
film distributor agent of,has valid recording method,unstructured description
film distributor agent of,has valid recording method,structured description
film distributor agent of,has valid recording method,identifier
film distributor agent of,has valid recording method,IRI
film distributor collective agent,has valid recording method,unstructured description
film distributor collective agent,has valid recording method,structured description
film distributor collective agent,has valid recording method,identifier
film distributor collective agent,has valid recording method,IRI
film distributor collective agent of,has valid recording method,unstructured description
film distributor collective agent of,has valid recording method,structured description
film distributor collective agent of,has valid recording method,identifier
film distributor collective agent of,has valid recording method,IRI
film distributor corporate body,has valid recording method,unstructured description
film distributor corporate body,has valid recording method,structured description
film distributor corporate body,has valid recording method,identifier
film distributor corporate body,has valid recording method,IRI
film distributor corporate body of,has valid recording method,unstructured description
film distributor corporate body of,has valid recording method,structured description
film distributor corporate body of,has valid recording method,identifier
film distributor corporate body of,has valid recording method,IRI
film distributor family,has valid recording method,unstructured description
film distributor family,has valid recording method,structured description
film distributor family,has valid recording method,identifier
film distributor family,has valid recording method,IRI
film distributor family of,has valid recording method,unstructured description
film distributor family of,has valid recording method,structured description
film distributor family of,has valid recording method,identifier
film distributor family of,has valid recording method,IRI
film distributor person,has valid recording method,unstructured description
film distributor person,has valid recording method,structured description
film distributor person,has valid recording method,identifier
film distributor person,has valid recording method,IRI
film distributor person of,has valid recording method,unstructured description
film distributor person of,has valid recording method,structured description
film distributor person of,has valid recording method,identifier
film distributor person of,has valid recording method,IRI
film producer agent,has valid recording method,unstructured description
film producer agent,has valid recording method,structured description
film producer agent,has valid recording method,identifier
film producer agent,has valid recording method,IRI
film producer agent of,has valid recording method,unstructured description
film producer agent of,has valid recording method,structured description
film producer agent of,has valid recording method,identifier
film producer agent of,has valid recording method,IRI
film producer collective agent,has valid recording method,unstructured description
film producer collective agent,has valid recording method,structured description
film producer collective agent,has valid recording method,identifier
film producer collective agent,has valid recording method,IRI
film producer collective agent of,has valid recording method,unstructured description
film producer collective agent of,has valid recording method,structured description
film producer collective agent of,has valid recording method,identifier
film producer collective agent of,has valid recording method,IRI
film producer corporate body,has valid recording method,unstructured description
film producer corporate body,has valid recording method,structured description
film producer corporate body,has valid recording method,identifier
film producer corporate body,has valid recording method,IRI
film producer corporate body of,has valid recording method,unstructured description
film producer corporate body of,has valid recording method,structured description
film producer corporate body of,has valid recording method,identifier
film producer corporate body of,has valid recording method,IRI
film producer family,has valid recording method,unstructured description
film producer family,has valid recording method,structured description
film producer family,has valid recording method,identifier
film producer family,has valid recording method,IRI
film producer family of,has valid recording method,unstructured description
film producer family of,has valid recording method,structured description
film producer family of,has valid recording method,identifier
film producer family of,has valid recording method,IRI
film producer person,has valid recording method,unstructured description
film producer person,has valid recording method,structured description
film producer person,has valid recording method,identifier
film producer person,has valid recording method,IRI
film producer person of,has valid recording method,unstructured description
film producer person of,has valid recording method,structured description
film producer person of,has valid recording method,identifier
film producer person of,has valid recording method,IRI
filmed with item,has valid recording method,unstructured description
filmed with item,has valid recording method,structured description
filmed with item,has valid recording method,identifier
filmed with item,has valid recording method,IRI
filmed with manifestation,has valid recording method,unstructured description
filmed with manifestation,has valid recording method,structured description
filmed with manifestation,has valid recording method,identifier
filmed with manifestation,has valid recording method,IRI
filmmaker agent,has valid recording method,unstructured description
filmmaker agent,has valid recording method,structured description
filmmaker agent,has valid recording method,identifier
filmmaker agent,has valid recording method,IRI
filmmaker agent of,has valid recording method,unstructured description
filmmaker agent of,has valid recording method,structured description
filmmaker agent of,has valid recording method,identifier
filmmaker agent of,has valid recording method,IRI
filmmaker collective agent,has valid recording method,unstructured description
filmmaker collective agent,has valid recording method,structured description
filmmaker collective agent,has valid recording method,identifier
filmmaker collective agent,has valid recording method,IRI
filmmaker collective agent of,has valid recording method,unstructured description
filmmaker collective agent of,has valid recording method,structured description
filmmaker collective agent of,has valid recording method,identifier
filmmaker collective agent of,has valid recording method,IRI
filmmaker corporate body,has valid recording method,unstructured description
filmmaker corporate body,has valid recording method,structured description
filmmaker corporate body,has valid recording method,identifier
filmmaker corporate body,has valid recording method,IRI
filmmaker corporate body of,has valid recording method,unstructured description
filmmaker corporate body of,has valid recording method,structured description
filmmaker corporate body of,has valid recording method,identifier
filmmaker corporate body of,has valid recording method,IRI
filmmaker family,has valid recording method,unstructured description
filmmaker family,has valid recording method,structured description
filmmaker family,has valid recording method,identifier
filmmaker family,has valid recording method,IRI
filmmaker family of,has valid recording method,unstructured description
filmmaker family of,has valid recording method,structured description
filmmaker family of,has valid recording method,identifier
filmmaker family of,has valid recording method,IRI
filmmaker person,has valid recording method,unstructured description
filmmaker person,has valid recording method,structured description
filmmaker person,has valid recording method,identifier
filmmaker person,has valid recording method,IRI
filmmaker person of,has valid recording method,unstructured description
filmmaker person of,has valid recording method,structured description
filmmaker person of,has valid recording method,identifier
filmmaker person of,has valid recording method,IRI
finding aid,has valid recording method,unstructured description
finding aid,has valid recording method,structured description
finding aid,has valid recording method,identifier
finding aid,has valid recording method,IRI
finding aid of,has valid recording method,unstructured description
finding aid of,has valid recording method,structured description
finding aid of,has valid recording method,identifier
finding aid of,has valid recording method,IRI
fingerprint,has valid recording method,identifier
fingerprint,has valid recording method,IRI
fingerprint of,has valid recording method,unstructured description
fingerprint of,has valid recording method,structured description
fingerprint of,has valid recording method,identifier
fingerprint of,has valid recording method,IRI
first alphanumeric designation of alternative sequence,has valid recording method,unstructured description
first alphanumeric designation of alternative sequence of,has valid recording method,unstructured description
first alphanumeric designation of alternative sequence of,has valid recording method,structured description
first alphanumeric designation of alternative sequence of,has valid recording method,identifier
first alphanumeric designation of alternative sequence of,has valid recording method,IRI
first alphanumeric designation of sequence,has valid recording method,unstructured description
first alphanumeric designation of sequence of,has valid recording method,unstructured description
first alphanumeric designation of sequence of,has valid recording method,structured description
first alphanumeric designation of sequence of,has valid recording method,identifier
first alphanumeric designation of sequence of,has valid recording method,IRI
first chronological designation of alternative sequence,has valid recording method,unstructured description
first chronological designation of alternative sequence of,has valid recording method,unstructured description
first chronological designation of alternative sequence of,has valid recording method,structured description
first chronological designation of alternative sequence of,has valid recording method,identifier
first chronological designation of alternative sequence of,has valid recording method,IRI
first chronological designation of sequence,has valid recording method,unstructured description
first chronological designation of sequence of,has valid recording method,unstructured description
first chronological designation of sequence of,has valid recording method,structured description
first chronological designation of sequence of,has valid recording method,identifier
first chronological designation of sequence of,has valid recording method,IRI
font point size,has valid recording method,unstructured description
font point size,has valid recording method,structured description
font size,has valid recording method,unstructured description
font size,has valid recording method,structured description
font size,has valid recording method,identifier
font size,has valid recording method,IRI
form of musical notation,has valid recording method,unstructured description
form of musical notation,has valid recording method,structured description
form of musical notation,has valid recording method,identifier
form of musical notation,has valid recording method,IRI
form of notated movement,has valid recording method,unstructured description
form of notated movement,has valid recording method,structured description
form of notated movement,has valid recording method,identifier
form of notated movement,has valid recording method,IRI
form of notation,has valid recording method,unstructured description
form of notation,has valid recording method,structured description
form of notation,has valid recording method,identifier
form of notation,has valid recording method,IRI
form of tactile notation,has valid recording method,unstructured description
form of tactile notation,has valid recording method,structured description
form of tactile notation,has valid recording method,identifier
form of tactile notation,has valid recording method,IRI
format of notated music,has valid recording method,unstructured description
format of notated music,has valid recording method,structured description
format of notated music,has valid recording method,identifier
format of notated music,has valid recording method,IRI
former owner agent,has valid recording method,unstructured description
former owner agent,has valid recording method,structured description
former owner agent,has valid recording method,identifier
former owner agent,has valid recording method,IRI
former owner agent of,has valid recording method,unstructured description
former owner agent of,has valid recording method,structured description
former owner agent of,has valid recording method,identifier
former owner agent of,has valid recording method,IRI
former owner collective agent,has valid recording method,unstructured description
former owner collective agent,has valid recording method,structured description
former owner collective agent,has valid recording method,identifier
former owner collective agent,has valid recording method,IRI
former owner collective agent of,has valid recording method,unstructured description
former owner collective agent of,has valid recording method,structured description
former owner collective agent of,has valid recording method,identifier
former owner collective agent of,has valid recording method,IRI
former owner corporate body,has valid recording method,unstructured description
former owner corporate body,has valid recording method,structured description
former owner corporate body,has valid recording method,identifier
former owner corporate body,has valid recording method,IRI
former owner corporate body of,has valid recording method,unstructured description
former owner corporate body of,has valid recording method,structured description
former owner corporate body of,has valid recording method,identifier
former owner corporate body of,has valid recording method,IRI
former owner family,has valid recording method,unstructured description
former owner family,has valid recording method,structured description
former owner family,has valid recording method,identifier
former owner family,has valid recording method,IRI
former owner family of,has valid recording method,unstructured description
former owner family of,has valid recording method,structured description
former owner family of,has valid recording method,identifier
former owner family of,has valid recording method,IRI
former owner person,has valid recording method,unstructured description
former owner person,has valid recording method,structured description
former owner person,has valid recording method,identifier
former owner person,has valid recording method,IRI
former owner person of,has valid recording method,unstructured description
former owner person of,has valid recording method,structured description
former owner person of,has valid recording method,identifier
former owner person of,has valid recording method,IRI
founded corporate body of agent,has valid recording method,unstructured description
founded corporate body of agent,has valid recording method,structured description
founded corporate body of agent,has valid recording method,identifier
founded corporate body of agent,has valid recording method,IRI
founded corporate body of collective agent,has valid recording method,unstructured description
founded corporate body of collective agent,has valid recording method,structured description
founded corporate body of collective agent,has valid recording method,identifier
founded corporate body of collective agent,has valid recording method,IRI
founded corporate body of corporate body,has valid recording method,unstructured description
founded corporate body of corporate body,has valid recording method,structured description
founded corporate body of corporate body,has valid recording method,identifier
founded corporate body of corporate body,has valid recording method,IRI
founded corporate body of family,has valid recording method,unstructured description
founded corporate body of family,has valid recording method,structured description
founded corporate body of family,has valid recording method,identifier
founded corporate body of family,has valid recording method,IRI
founded corporate body of person,has valid recording method,unstructured description
founded corporate body of person,has valid recording method,structured description
founded corporate body of person,has valid recording method,identifier
founded corporate body of person,has valid recording method,IRI
founder agent of work,has valid recording method,unstructured description
founder agent of work,has valid recording method,structured description
founder agent of work,has valid recording method,identifier
founder agent of work,has valid recording method,IRI
founder agent of work of,has valid recording method,unstructured description
founder agent of work of,has valid recording method,structured description
founder agent of work of,has valid recording method,identifier
founder agent of work of,has valid recording method,IRI
founder collective agent of work,has valid recording method,unstructured description
founder collective agent of work,has valid recording method,structured description
founder collective agent of work,has valid recording method,identifier
founder collective agent of work,has valid recording method,IRI
founder collective agent of work of,has valid recording method,unstructured description
founder collective agent of work of,has valid recording method,structured description
founder collective agent of work of,has valid recording method,identifier
founder collective agent of work of,has valid recording method,IRI
founder corporate body of work,has valid recording method,unstructured description
founder corporate body of work,has valid recording method,structured description
founder corporate body of work,has valid recording method,identifier
founder corporate body of work,has valid recording method,IRI
founder corporate body of work of,has valid recording method,unstructured description
founder corporate body of work of,has valid recording method,structured description
founder corporate body of work of,has valid recording method,identifier
founder corporate body of work of,has valid recording method,IRI
founder family of work,has valid recording method,unstructured description
founder family of work,has valid recording method,structured description
founder family of work,has valid recording method,identifier
founder family of work,has valid recording method,IRI
founder family of work of,has valid recording method,unstructured description
founder family of work of,has valid recording method,structured description
founder family of work of,has valid recording method,identifier
founder family of work of,has valid recording method,IRI
founder person of work,has valid recording method,unstructured description
founder person of work,has valid recording method,structured description
founder person of work,has valid recording method,identifier
founder person of work,has valid recording method,IRI
founder person of work of,has valid recording method,unstructured description
founder person of work of,has valid recording method,structured description
founder person of work of,has valid recording method,identifier
founder person of work of,has valid recording method,IRI
founding agent of corporate body,has valid recording method,unstructured description
founding agent of corporate body,has valid recording method,structured description
founding agent of corporate body,has valid recording method,identifier
founding agent of corporate body,has valid recording method,IRI
founding collective agent of corporate body,has valid recording method,unstructured description
founding collective agent of corporate body,has valid recording method,structured description
founding collective agent of corporate body,has valid recording method,identifier
founding collective agent of corporate body,has valid recording method,IRI
founding corporate body of corporate body,has valid recording method,unstructured description
founding corporate body of corporate body,has valid recording method,structured description
founding corporate body of corporate body,has valid recording method,identifier
founding corporate body of corporate body,has valid recording method,IRI
founding family of corporate body,has valid recording method,unstructured description
founding family of corporate body,has valid recording method,structured description
founding family of corporate body,has valid recording method,identifier
founding family of corporate body,has valid recording method,IRI
founding person of corporate body,has valid recording method,unstructured description
founding person of corporate body,has valid recording method,structured description
founding person of corporate body,has valid recording method,identifier
founding person of corporate body,has valid recording method,IRI
free translation of expression,has valid recording method,unstructured description
free translation of expression,has valid recording method,structured description
free translation of expression,has valid recording method,identifier
free translation of expression,has valid recording method,IRI
free translation of work,has valid recording method,unstructured description
free translation of work,has valid recording method,structured description
free translation of work,has valid recording method,identifier
free translation of work,has valid recording method,IRI
freely translated as expression,has valid recording method,unstructured description
freely translated as expression,has valid recording method,structured description
freely translated as expression,has valid recording method,identifier
