RDA element,alignment,LRM element
manufacturer corporate body,broader,was manufactured by
manufacturer corporate body of,broader,manufactured
manufacturer family,broader,was manufactured by
manufacturer family of,broader,manufactured
manufacturer person,broader,was manufactured by
manufacturer person of,broader,manufactured
material,broader,has category of carrier
media type,broader,has access conditions
medium,broader,was created by work
medium of,broader,created work
medium of performance of choreographic content,broader,has category of work
medium of performance of choreographic content of representative expression,broader,has representative expression attribute
medium of performance of musical content,broader,has medium of performance
medium of performance of musical content of representative expression,broader,has representative expression attribute
merged to form expression,broader,is associated with res
merged to form work,broader,succeeds work
mergee,broader,is associated with res
merger of expression,broader,is associated with res
merger of work,broader,precedes work
minute taker agent,broader,was created by expression
minute taker agent of,broader,created expression
minute taker collective agent,broader,was created by expression
minute taker collective agent of,broader,created expression
minute taker corporate body,broader,was created by expression
minute taker corporate body of,broader,created expression
minute taker family,broader,was created by expression
minute taker family of,broader,created expression
minute taker person,broader,was created by expression
minute taker person of,broader,created expression
mirror site,broader,has reproduction manifestation
mixing engineer agent,broader,was created by expression
mixing engineer agent of,broader,created expression
mixing engineer collective agent,broader,was created by expression
mixing engineer collective agent of,broader,created expression
mixing engineer corporate body,broader,was created by expression
mixing engineer corporate body of,broader,created expression
mixing engineer family,broader,was created by expression
mixing engineer family of,broader,created expression
mixing engineer person,broader,was created by expression
mixing engineer person of,broader,created expression
mode of issuance,broader,has category of carrier
moderator agent,broader,was created by expression
moderator agent of,broader,created expression
moderator collective agent,broader,was created by expression
moderator collective agent of,broader,created expression
moderator corporate body,broader,was created by expression
moderator corporate body of,broader,created expression
moderator family,broader,was created by expression
moderator family of,broader,created expression
moderator person,broader,was created by expression
moderator person of,broader,created expression
modification of item,broader,has note
modified by variation as expression,broader,has derivation expression
modified by variation as work,broader,was transformed into
modifier agent,equivalent,was modified by
modifier agent of,equivalent,modified
modifier collective agent,broader,was modified by
modifier collective agent of,broader,modified
modifier corporate body,broader,was modified by
modifier corporate body of,broader,modified
modifier family,broader,was modified by
modifier family of,broader,modified
modifier person,broader,was modified by
modifier person of,broader,modified
motion picture adaptation of expression,broader,has derivation expression
motion picture adaptation of work,broader,is a transformation of
motion picture music expression,broader,is associated with res
motion picture music work,broader,accompanies or complements
motion picture screenplay based on expression,broader,has derivation expression
motion picture screenplay based on work,broader,accompanies or complements
motion picture screenplay expression,broader,is associated with res
motion picture screenplay work,broader,accompanies or complements
mount,broader,has category of carrier
music expression,broader,is associated with res
music for expression,broader,is associated with res
music for motion picture expression,broader,is associated with res
music for motion picture work,broader,accompanies or complements
music for radio program expression,broader,is associated with res
music for radio program work,broader,accompanies or complements
music for television program expression,broader,is associated with res
music for television program work,broader,accompanies or complements
music for video expression,broader,is associated with res
music for video work,broader,accompanies or complements
music for work,broader,accompanies or complements
music programmer agent,broader,was created by expression
music programmer agent of,broader,created expression
music programmer collective agent,broader,was created by expression
music programmer collective agent of,broader,created expression
music programmer corporate body,broader,was created by expression
music programmer corporate body of,broader,created expression
music programmer family,broader,was created by expression
music programmer family of,broader,created expression
music programmer person,broader,was created by expression
music programmer person of,broader,created expression
music work,broader,accompanies or complements
musical director agent,broader,was created by expression
musical director agent of,broader,created expression
musical director collective agent,broader,was created by expression
musical director collective agent of,broader,created expression
musical director corporate body,broader,was created by expression
musical director corporate body of,broader,created expression
musical director family,broader,was created by expression
musical director family of,broader,created expression
musical director person,broader,was created by expression
musical director person of,broader,created expression
musical setting of expression,broader,is derivation expression of
musical setting of work,broader,is a transformation of
musical theatre adaptation of expression,broader,has derivation expression
musical theatre adaptation of work,broader,is a transformation of
name of agent,broader,has appellation
name of agent of,broader,is appellation of
name of agent of manifestation,broader,is associated with res
name of agent of manifestation of,broader,is associated with res
name of collective agent,broader,has appellation
name of collective agent of,broader,is appellation of
name of corporate body,broader,has appellation
name of corporate body of,broader,is appellation of
name of distributor,broader,is associated with res
name of distributor of,broader,is associated with res
name of family,broader,has appellation
name of family of,broader,is appellation of
name of manufacturer,broader,is associated with res
name of manufacturer of,broader,is associated with res
name of person,broader,has appellation
name of person of,broader,is appellation of
name of place,broader,has appellation
name of place of,broader,is appellation of
name of producer,broader,is associated with res
name of producer of,broader,is associated with res
name of publisher,broader,is associated with res
name of publisher of,broader,is associated with res
name of RDA entity,broader,has appellation
name of RDA entity of,broader,is appellation of
name of timespan,broader,has appellation
name of timespan of,broader,is appellation of
narrator agent,broader,was created by expression
narrator agent of,broader,created expression
narrator collective agent,broader,was created by expression
narrator collective agent of,broader,created expression
narrator corporate body,broader,was created by expression
narrator corporate body of,broader,created expression
narrator family,broader,was created by expression
narrator family of,broader,created expression
narrator person,broader,was created by expression
narrator person of,broader,created expression
nature of content,broader,has note
nomen described in,broader,is subject of
nomen string,equivalent,has nomen string
note on agent,broader,has note
note on capture,broader,has note
note on carrier,broader,has note
note on changes in carrier characteristics,broader,has note
note on changes in content characteristics,broader,has note
note on collective agent,broader,has note
note on copyright date,broader,has note
note on corporate body,broader,has note
note on dimensions of item,broader,has note
note on dimensions of manifestation,broader,has note
note on distribution statement,broader,has note
note on edition statement,broader,has note
note on expression,broader,has note
note on extent of item,broader,has note
note on extent of manifestation,broader,has note
note on family,broader,has note
note on identifier for manifestation,broader,has note
"note on issue, part, or iteration used as basis for identification of manifestation",broader,has note
note on item,broader,has note
note on manifestation,broader,has note
note on manufacture statement,broader,has note
note on metadata work,broader,has note
note on nomen,broader,has note
note on numbering of sequence,broader,has note
note on person,broader,has note
note on place,broader,has note
note on production statement,broader,has note
note on publication statement,broader,has note
note on RDA entity,broader,has note
note on series statement,broader,has note
note on statement of responsibility,broader,has note
note on timespan,broader,has note
note on title,broader,has note
note on work,broader,has note
novelization of expression,broader,has derivation expression
novelization of work,broader,is a transformation of
number of conference,broader,has appellation
numbering of part,broader,has appellation
numbering of sequence,broader,has appellation
numbering within sequence,broader,has appellation
numbering within sequence of,broader,is appellation of
numeric designation of musical work,broader,has appellation
numeric designation of musical work of,broader,is appellation of
officer,broader,has member
officer of,broader,is member of
on disc with item,broader,is associated with res
on disc with manifestation,broader,is associated with res
onscreen participant agent,broader,was created by expression
onscreen participant agent of,broader,created expression
onscreen participant collective agent,broader,was created by expression
onscreen participant collective agent of,broader,created expression
onscreen participant corporate body,broader,was created by expression
onscreen participant corporate body of,broader,created expression
onscreen participant family,broader,was created by expression
onscreen participant family of,broader,created expression
onscreen participant person,broader,was created by expression
onscreen participant person of,broader,created expression
onscreen presenter agent,broader,was created by expression
onscreen presenter agent of,broader,created expression
onscreen presenter collective agent,broader,was created by expression
onscreen presenter collective agent of,broader,created expression
onscreen presenter corporate body,broader,was created by expression
onscreen presenter corporate body of,broader,created expression
onscreen presenter family,broader,was created by expression
onscreen presenter family of,broader,created expression
onscreen presenter person,broader,was created by expression
onscreen presenter person of,broader,created expression
opera adaptation of expression,broader,has derivation expression
opera adaptation of work,broader,is a transformation of
opus number,broader,has appellation
opus number of,broader,is appellation of
oratorio adaptation of expression,broader,has derivation expression
oratorio adaptation of work,broader,is a transformation of
organizer agent,broader        rdfs:subPropertyOf        lrmer:R2,was created by work
organizer agent of,broader        rdfs:subPropertyOf        lrmer:R6,created work
organizer collective agent,broader,was created by work
organizer collective agent of,broader,created work
organizer corporate body,broader,was created by work
organizer corporate body of,broader,created work
organizer family,broader,was created by work
organizer family of,broader,created work
organizer person,broader,was created by work
organizer person of,broader,created work
other title information,broader,has manifestation statement
other title information of series,broader,has manifestation statement
owner agent,equivalent,is owned by
owner agent of,equivalent,owns
owner collective agent,broader,is owned by
owner collective agent of,broader,owns
owner corporate body,broader,is owned by
owner corporate body of,broader,owns
owner family,broader,is owned by
owner family of,broader,owns
owner person,broader,is owned by
owner person of,broader,owns
panelist agent,broader,was created by expression
panelist agent of,broader,created expression
panelist collective agent,broader,was created by expression
panelist collective agent of,broader,created expression
panelist corporate body,broader,was created by expression
panelist corporate body of,broader,created expression
panelist family,broader,was created by expression
panelist family of,broader,created expression
panelist person,broader,was created by expression
panelist person of,broader,created expression
papermaker agent,broader,was manufactured by
papermaker agent of,broader,manufactured
papermaker collective agent,broader,was manufactured by
papermaker collective agent of,broader,manufactured
papermaker corporate body,broader,was manufactured by
papermaker corporate body of,broader,manufactured
papermaker family,broader,was manufactured by
papermaker family of,broader,manufactured
papermaker person,broader,was manufactured by
papermaker person of,broader,manufactured
parallel designation of edition,broader,has appellation
parallel designation of named revision of edition,broader,has appellation
parallel name of distributor,broader,is associated with res
parallel name of distributor of,broader,is associated with res
parallel name of manufacturer,broader,is associated with res
parallel name of manufacturer of,broader,is associated with res
parallel name of producer,broader,is associated with res
parallel name of producer of,broader,is associated with res
parallel name of publisher,broader,is associated with res
parallel name of publisher of,broader,is associated with res
parallel other title information,broader,has manifestation statement
parallel other title information of series,broader,has manifestation statement
parallel place of distribution,broader,has association with place
parallel place of distribution of,broader,is associated with place
parallel place of manufacture,broader,has association with place
parallel place of manufacture of,broader,is associated with place
parallel place of production,broader,has association with place
parallel place of production of,broader,is associated with place
parallel place of publication,broader,has association with place
parallel place of publication of,broader,is associated with place
parallel statement of responsibility relating to edition,broader,has manifestation statement
parallel statement of responsibility relating to named revision of edition,broader,has manifestation statement
parallel statement of responsibility relating to series,broader,has manifestation statement
parallel statement of responsibility relating to title proper,broader,has manifestation statement
parallel title of series,broader,has appellation
parallel title of series of,broader,is appellation of
parallel title proper,broader,has appellation
parallel title proper of,broader,is appellation of
paraphrase of expression,broader,is derivation expression of
paraphrase of work,broader,is a transformation of
paraphrased as expression,broader,has derivation expression
paraphrased as work,broader,was transformed into
parodied as expression,broader,has derivation expression
parodied as work,broader,was transformed into
parody of expression,broader,is derivation expression of
parody of work,broader,is a transformation of
part expression,equivalent,has part expression
part manifestation,equivalent,has part manifestation
part nomen,equivalent,has part nomen
part of expression,equivalent,is part expression of
part of manifestation,equivalent,is part manifestation of
part of nomen,equivalent,is part nomen of
part of place,equivalent,is part place of
part of timespan,equivalent,is part time-span of
part of work,equivalent,is part work of
part place,equivalent,has part place
part timespan,equivalent,has part time-span
part work,equivalent,has part work
participant in treaty,broader,was created by work
participant in treaty of,broader,created work
partner,broader,is associated with res
performer agent,broader,was created by expression
performer agent of,broader,created expression
performer collective agent,broader,was created by expression
performer collective agent of,broader,created expression
performer corporate body,broader,was created by expression
performer corporate body of,broader,created expression
performer family,broader,was created by expression
performer family of,broader,created expression
performer person,broader,was created by expression
performer person of,broader,created expression
period of activity of agent,broader,has association with time-span
period of activity of agent of,broader,is associated with time-span
period of activity of collective agent,broader,has association with time-span
period of activity of collective agent of,broader,is associated with time-span
period of activity of corporate body,broader,has association with time-span
period of activity of corporate body of,broader,is associated with time-span
period of activity of family,broader,has association with time-span
period of activity of family of,broader,is associated with time-span
period of activity of person,broader,has association with time-span
period of activity of person of,broader,is associated with time-span
person described in,broader,is subject of
person member of collective agent,broader,has member
person member of collective agent of,broader,is member of
person member of corporate body,broader,has member
person member of corporate body of,broader,is member of
person member of family,broader,has member
person member of family of,broader,is member of
photographer agent of work,broader,was created by work
photographer agent of work of,broader        rdfs:subPropertyOf        lrmer:R1,created work
photographer collective agent of work,broader,was created by work
photographer collective agent of work of,broader,created work
photographer corporate body of work,broader,was created by work
photographer corporate body of work of,broader,created work
photographer family of work,broader,was created by work
photographer family of work of,broader,created work
photographer person of work,broader,was created by work
photographer person of work of,broader,created work
place described in,broader,is subject of
place of birth,broader,has association with place
place of birth of,broader,is associated with place
place of capture,broader,has association with place
place of capture of,broader,is associated with place
place of capture of representative expression,broader,has representative expression attribute
place of capture of representative expression of,broader,is associated with place
place of conference,broader,has association with place
place of conference of,broader,is associated with place
place of death,broader,has association with place
place of death of,broader,is associated with place
place of distribution,broader,has association with place
place of distribution of,broader,is associated with place
place of manifestation,broader,has association with place
place of manifestation of,broader,is associated with place
place of manufacture,broader,has association with place
place of manufacture of,broader,is associated with place
place of origin of work,broader,has association with place
place of origin of work of,broader,is associated with place
place of production,broader,has association with place
place of production of,broader,is associated with place
place of publication,broader,has association with place
place of publication of,broader,is associated with place
place of residence,broader,has association with place
place of residence of,broader,is associated with place
plaintiff corporate body,broader,was created by work
plaintiff corporate body of,broader,created work
plaintiff person,broader,was created by work
plaintiff person of,broader,created work
plate number for notated music,broader,has appellation
plate number for notated music of,broader,is appellation of
platemaker agent,broader,was manufactured by
platemaker agent of,broader,manufactured
platemaker collective agent,broader,was manufactured by
platemaker collective agent of,broader,manufactured
platemaker corporate body,broader,was manufactured by
platemaker corporate body of,broader,manufactured
platemaker family,broader,was manufactured by
platemaker family of,broader,manufactured
platemaker person,broader,was manufactured by
platemaker person of,broader,manufactured
playing speed,broader,has note
polarity,broader,has category of carrier
praeses,broader,was created by work
praeses of,broader,created work
preceded by expression,broader,is associated with res
preceded by work,equivalent,precedes work
predecessor of collective agent,broader,precedes collective agent
predecessor of corporate body,broader,precedes collective agent
predecessor of family,broader,precedes collective agent
predecessor of split,broader,precedes collective agent
preferred citation,broader,has appellation
preferred name of agent,broader,has appellation
preferred name of agent of,broader,is appellation of
preferred name of collective agent,broader,has appellation
preferred name of collective agent of,broader,is appellation of
preferred name of corporate body,broader,has appellation
preferred name of corporate body of,broader,is appellation of
preferred name of family,broader,has appellation
preferred name of family of,broader,is appellation of
preferred name of person,broader,has appellation
preferred name of person of,broader,is appellation of
preferred name of place,broader,has appellation
preferred name of place of,broader,is appellation of
preferred name of RDA entity,broader,has appellation
preferred name of RDA entity of,broader,is appellation of
preferred name of timespan,broader,has appellation
preferred name of timespan of,broader,is appellation of
preferred title of expression,broader,has appellation
preferred title of expression of,broader,is appellation of
preferred title of item,broader,has appellation
preferred title of item of,broader,is appellation of
preferred title of work,broader,has appellation
preferred title of work of,broader,is appellation of
prequel expression,broader,is associated with res
prequel work,broader,succeeds work
presentation format,broader,has category of carrier
presenter agent,broader,was created by expression
presenter agent of,broader,created expression
presenter collective agent,broader,was created by expression
presenter collective agent of,broader,created expression
presenter corporate body,broader,was created by expression
presenter corporate body of,broader,created expression
presenter family,broader,was created by expression
presenter family of,broader,created expression
presenter person,broader,was created by expression
presenter person of,broader,created expression
preservation facsimile of item,broader,has reproduction item
preservation facsimile of item of,broader,is reproduction item of
preservation facsimile of manifestation,broader,has reproduction manifestation
preservation facsimile of manifestation of,broader,has reproduction manifestation
prime meridian,broader,has category of expression
printer agent,broader,was manufactured by
printer agent of,broader,manufactured
printer collective agent,broader,was manufactured by
printer collective agent of,broader,manufactured
printer corporate body,broader,was manufactured by
printer corporate body of,broader,manufactured
printer family,broader,was manufactured by
printer family of,broader,manufactured
printer person,broader,was manufactured by
printer person of,broader,manufactured
printmaker agent,broader,was manufactured by
printmaker agent of,broader,manufactured
printmaker collective agent,broader,was manufactured by
printmaker collective agent of,broader,manufactured
printmaker corporate body,broader,was manufactured by
printmaker corporate body of,broader,manufactured
printmaker family,broader,was manufactured by
printmaker family of,broader,manufactured
printmaker person,broader,was manufactured by
printmaker person of,broader,manufactured
producer agent,broader,was created by work
producer agent of,broader        rdfs:subPropertyOf        lrmer:R1,created work
producer agent of unpublished manifestation,broader,was created by manifestation
producer agent of unpublished manifestation of,broader,created manifestation
producer collective agent,broader,was created by work
producer collective agent of,broader,created work
producer collective agent of unpublished manifestation,broader,was created by manifestation
producer collective agent of unpublished manifestation of,broader,created manifestation
producer corporate body,broader,was created by work
producer corporate body of,broader,created work
producer corporate body of unpublished manifestation,broader,was created by manifestation
producer corporate body of unpublished manifestation of,broader,created manifestation
producer family,broader,was created by work
producer family of,broader,created work
producer family of unpublished manifestation,broader,was created by manifestation
producer family of unpublished manifestation of,broader,created manifestation
producer person,broader,was created by work
producer person of,broader,created work
producer person of unpublished manifestation,broader,was created by manifestation
producer person of unpublished manifestation of,broader,created manifestation
product of merger,broader,precedes collective agent
product of split,broader,precedes collective agent
production company,broader,was created by work
production company of,broader,created work
production designer agent,broader,was created by expression
production designer agent of,broader,created expression
production designer collective agent,broader,was created by expression
production designer collective agent of,broader,created expression
production designer corporate body,broader,was created by expression
production designer corporate body of,broader,created expression
production designer family,broader,was created by expression
production designer family of,broader,created expression
production designer person,broader,was created by expression
production designer person of,broader,created expression
production method,broader,has category of carrier
production statement,broader,has manifestation statement
profession or occupation,equivalent,has profession or occupation
programmer agent,broader,was created by work
programmer agent of,broader        rdfs:subPropertyOf        lrmer:R1,created work
programmer collective agent,broader,was created by work
programmer collective agent of,broader,created work
programmer corporate body,broader,was created by work
programmer corporate body of,broader,created work
programmer family,broader,was created by work
programmer family of,broader,created work
programmer person,broader,was created by work
programmer person of,broader,created work
project supervisor,broader,was created by work
project supervisor of,broader,created work
projection characteristic of motion picture film,broader,has access conditions
projection of cartographic content,broader,has category of expression
projection of cartographic content of representative expression,broader,has representative expression attribute
projection speed,broader,has access conditions
prominent member of family,broader,has member
prominent member of family of,broader,is member of
publication statement,broader,has manifestation statement
publisher agent,broader,was created by manifestation
publisher agent of,broader,created manifestation
publisher collective agent,broader,was created by manifestation
publisher collective agent of,broader,created manifestation
publisher corporate body,broader,was created by manifestation
publisher corporate body of,broader,created manifestation
publisher family,broader,was created by manifestation
publisher family of,broader,created manifestation
publisher number for notated music,broader,has appellation
publisher number for notated music of,broader,is appellation of
publisher person,broader,was created by manifestation
publisher person of,broader,created manifestation
puppeteer agent,broader,was created by expression
puppeteer agent of,broader,created expression
puppeteer collective agent,broader,was created by expression
puppeteer collective agent of,broader,created expression
puppeteer corporate body,broader,was created by expression
puppeteer corporate body of,broader,created expression
puppeteer family,broader,was created by expression
puppeteer family of,broader,created expression
puppeteer person,broader,was created by expression
puppeteer person of,broader,created expression
radio adaptation of expression,broader,has derivation expression
radio adaptation of work,broader,is a transformation of
radio director agent,broader,was created by work
radio director agent of,broader,created work
radio director collective agent,broader,was created by work
radio director collective agent of,broader,created work
radio director corporate body,broader,was created by work
radio director corporate body of,broader,created work
radio director family,broader,was created by work
radio director family of,broader,created work
radio director person,broader,was created by work
radio director person of,broader,created work
radio producer agent,broader,was created by work
radio producer agent of,broader,created work
radio producer collective agent,broader,was created by work
radio producer collective agent of,broader,created work
radio producer corporate body,broader,was created by work
radio producer corporate body of,broader,created work
radio producer family,broader,was created by work
radio producer family of,broader,created work
radio producer person,broader,was created by work
radio producer person of,broader,created work
radio program music expression,broader,is associated with res
radio program music work,broader,accompanies or complements
radio script based on expression,broader,has derivation expression
radio script based on work,broader,is a transformation of
radio script expression,broader,is associated with res
radio script work,broader,accompanies or complements
rapporteur agent,broader,was created by work
rapporteur agent of,broader,created work
rapporteur collective agent,broader,was created by work
rapporteur collective agent of,broader,created work
rapporteur corporate body,broader,was created by work
rapporteur corporate body of,broader,created work
rapporteur family,broader,was created by work
rapporteur family of,broader,created work
rapporteur person,broader,was created by work
rapporteur person of,broader,created work
RDA entity critiqued in,broader,is subject of
RDA entity described in,broader,is subject of
RDA entity evaluated in,broader,is subject of
RDA entity reviewed in,broader,is subject of
real identity of person,broader,has appellation
real identity of person of,broader,is appellation of
recording engineer agent,broader,was created by expression
recording engineer agent of,broader,created expression
recording engineer collective agent,broader,was created by expression
recording engineer collective agent of,broader,created expression
recording engineer corporate body,broader,was created by expression
recording engineer corporate body of,broader,created expression
recording engineer family,broader,was created by expression
recording engineer family of,broader,created expression
recording engineer person,broader,was created by expression
recording engineer person of,broader,created expression
recording medium,broader,has access conditions
recording source,broader,has note
recordist agent,broader,was created by expression
recordist agent of,broader,created expression
recordist collective agent,broader,was created by expression
recordist collective agent of,broader,created expression
recordist corporate body,broader,was created by expression
recordist corporate body of,broader,created expression
recordist family,broader,was created by expression
recordist family of,broader,created expression
recordist person,broader,was created by expression
recordist person of,broader,created expression
reduction ratio,broader,has category of carrier
reduction ratio designation,broader,has category of carrier
reference source,equivalent,has reference source
reference source of,broader,is associated with res
regional encoding,broader,has category of carrier
regional version,broader,was transformed into
regional version of,broader,is a transformation of
related agent of agent,broader,is associated with res
related agent of collective agent,broader,is associated with res
related agent of corporate body,broader,is associated with res
related agent of expression,broader,is associated with res
related agent of family,broader,is associated with res
related agent of item,broader,is associated with res
related agent of manifestation,broader,is associated with res
related agent of nomen,broader,is associated with res
related agent of person,broader,is associated with res
related agent of place,broader,is associated with place
related agent of RDA entity,broader,is associated with res
related agent of timespan,broader,is associated with time-span
related agent of work,broader,is associated with res
related collective agent of agent,broader,is associated with res
related collective agent of collective agent,broader,is associated with res
related collective agent of corporate body,broader,is associated with res
related collective agent of expression,broader,is associated with res
related collective agent of family,broader,is associated with res
related collective agent of item,broader,is associated with res
related collective agent of manifestation,broader,is associated with res
related collective agent of nomen,broader,is associated with res
related collective agent of person,broader,is associated with res
related collective agent of place,broader,is associated with place
related collective agent of RDA entity,broader,is associated with res
related collective agent of timespan,broader,is associated with time-span
related collective agent of work,broader,is associated with res
related corporate body of agent,broader,is associated with res
related corporate body of collective agent,broader,is associated with res
related corporate body of corporate body,broader,is associated with res
related corporate body of expression,broader,is associated with res
related corporate body of family,broader,is associated with res
related corporate body of item,broader,is associated with res
related corporate body of manifestation,broader,is associated with res
related corporate body of nomen,broader,is associated with res
related corporate body of person,broader,is associated with res
related corporate body of place,broader,is associated with place
related corporate body of RDA entity,broader,is associated with res
related corporate body of timespan,broader,is associated with time-span
related corporate body of work,broader,is associated with res
related entity of agent,broader,is associated with res
related entity of collective agent,broader,is associated with res
related entity of corporate body,broader,is associated with res
related entity of expression,broader,is associated with res
related entity of family,broader,is associated with res
related entity of item,broader,is associated with res
related entity of manifestation,broader,is associated with res
related entity of nomen,broader,is associated with res
related entity of person,broader,is associated with res
related entity of place,broader,is associated with place
related entity of RDA entity,broader,is associated with res
related entity of timespan,broader,is associated with time-span
related entity of work,broader,is associated with res
related expression of agent,broader,is associated with res
related expression of collective agent,broader,is associated with res
related expression of corporate body,broader,is associated with res
related expression of expression,broader,is associated with res
related expression of family,broader,is associated with res
related expression of item,broader,is associated with res
related expression of manifestation,broader,is associated with res
related expression of nomen,broader,is associated with res
related expression of person,broader,is associated with res
related expression of place,broader,is associated with place
related expression of RDA entity,broader,is associated with res
related expression of timespan,broader,is associated with time-span
related expression of work,broader,is associated with res
related family of agent,broader,is associated with res
related family of collective agent,broader,is associated with res
related family of corporate body,broader,is associated with res
related family of expression,broader,is associated with res
related family of family,broader,is associated with res
related family of item,broader,is associated with res
related family of manifestation,broader,is associated with res
related family of nomen,broader,is associated with res
related family of person,broader,is associated with res
related family of place,broader,is associated with place
related family of RDA entity,broader,is associated with res
related family of timespan,broader,is associated with time-span
related family of work,broader,is associated with res
related item of agent,broader,is associated with res
related item of collective agent,broader,is associated with res
related item of corporate body,broader,is associated with res
related item of expression,broader,is associated with res
related item of family,broader,is associated with res
related item of item,broader,is associated with res
related item of manifestation,broader,is associated with res
related item of nomen,broader,is associated with res
related item of person,broader,is associated with res
related item of place,broader,is associated with place
related item of RDA entity,broader,is associated with res
related item of timespan,broader,is associated with time-span
related item of work,broader,is associated with res
related manifestation of agent,broader,is associated with res
related manifestation of collective agent,broader,is associated with res
related manifestation of corporate body,broader,is associated with res
related manifestation of expression,broader,is associated with res
related manifestation of family,broader,is associated with res
related manifestation of item,broader,is associated with res
related manifestation of manifestation,broader,is associated with res
related manifestation of nomen,broader,is associated with res
related manifestation of person,broader,is associated with res
related manifestation of place,broader,is associated with place
related manifestation of RDA entity,broader,is associated with res
related manifestation of timespan,broader,is associated with time-span
related manifestation of work,broader,is associated with res
related nomen of agent,broader,is associated with res
related nomen of collective agent,broader,is associated with res
related nomen of corporate body,broader,is associated with res
related nomen of expression,broader,is associated with res
related nomen of family,broader,is associated with res
related nomen of item,broader,is associated with res
related nomen of manifestation,broader,is associated with res
related nomen of nomen,broader,is associated with res
related nomen of person,broader,is associated with res
related nomen of place,broader,is associated with place
related nomen of RDA entity,broader,is associated with res
related nomen of timespan,broader,is associated with time-span
related nomen of work,broader,is associated with res
related person of agent,broader,is associated with res
related person of collective agent,broader,is associated with res
related person of corporate body,broader,is associated with res
related person of expression,broader,is associated with res
related person of family,broader,is associated with res
related person of item,broader,is associated with res
related person of manifestation,broader,is associated with res
related person of nomen,broader,is associated with res
related person of person,broader,is associated with res
related person of place,broader,is associated with place
related person of RDA entity,broader,is associated with res
related person of timespan,broader,is associated with time-span
related person of work,broader,is associated with res
related place of agent,broader,has association with place
related place of collective agent,broader,has association with place
related place of corporate body,broader,has association with place
related place of expression,broader,has association with place
related place of family,broader,has association with place
related place of item,broader,has association with place
related place of manifestation,broader,has association with place
related place of nomen,broader,has association with place
related place of person,broader,has association with place
related place of place,broader,has association with place
related place of RDA entity,equivalent,has association with place
related place of timespan,broader,has association with place
related place of work,broader,has association with place
related RDA entity of agent,broader,is associated with res
related RDA entity of collective agent,broader,is associated with res
related RDA entity of corporate body,broader,is associated with res
related RDA entity of expression,broader,is associated with res
related RDA entity of family,broader,is associated with res
related RDA entity of item,broader,is associated with res
related RDA entity of manifestation,broader,is associated with res
related RDA entity of nomen,broader,is associated with res
related RDA entity of person,broader,is associated with res
related RDA entity of place,equivalent,is associated with place
related RDA entity of RDA entity,equivalent,is associated with res
related RDA entity of timespan,equivalent,is associated with time-span
related RDA entity of work,broader,is associated with res
related timespan of agent,broader,has association with time-span
related timespan of collective agent,broader,has association with time-span
related timespan of corporate body,broader,has association with time-span
related timespan of expression,broader,has association with time-span
related timespan of family,broader,has association with time-span
related timespan of item,broader,has association with time-span
related timespan of manifestation,broader,has association with time-span
related timespan of nomen,broader,has association with time-span
related timespan of person,broader,has association with time-span
related timespan of place,broader,has association with time-span
related timespan of RDA entity,equivalent,has association with time-span
related timespan of timespan,broader,has association with time-span
related timespan of work,broader,has association with time-span
related work of agent,broader,is associated with res
related work of collective agent,broader,is associated with res
related work of corporate body,broader,is associated with res
related work of expression,broader,is associated with res
related work of family,broader,is associated with res
related work of item,broader,is associated with res
related work of manifestation,broader,is associated with res
related work of nomen,broader,is associated with res
related work of person,broader,is associated with res
related work of place,broader,is associated with place
related work of RDA entity,broader,is associated with res
related work of timespan,broader,is associated with time-span
related work of work,broader,is associated with res
relief type,broader,has category of expression
remade as expression,broader,has derivation expression
remade as work,broader,was transformed into
remake of expression,broader,is derivation expression of
remake of work,broader,is a transformation of
remix artist agent,broader        rdfs:subPropertyOf        lrmer:R6,was created by work
remix artist agent of,broader        rdfs:subPropertyOf        lrmer:R9,created work
remix artist collective agent,broader,was created by work
remix artist collective agent of,broader,created work
remix artist corporate body,broader,was created by work
remix artist corporate body of,broader,created work
remix artist family,broader,was created by work
remix artist family of,broader,created work
remix artist person,broader,was created by work
remix artist person of,broader,created work
replaced by expression,broader,is associated with res
replaced by work,broader,succeeds work
replaced in part by expression,broader,is associated with res
replaced in part by work,broader,succeeds work
replacement in part of expression,broader,is associated with res
replacement in part of work,broader,precedes work
replacement of expression,broader,is associated with res
replacement of work,broader,precedes work
representative expression,broader,is realized through
representative expression of,broader,realizes
reprint of item of,broader,is reproduction item of
reprint of manifestation of,broader,is reproduction manifestation of
reprinted as item,broader,has reproduction manifestation
reprinted as manifestation,broader,has reproduction manifestation
reproduced as item,equivalent,has reproduction item
reproduced as manifestation,equivalent,has reproduction manifestation
reproduction of item of,equivalent,is reproduction item of
reproduction of manifestation of,equivalent,is reproduction manifestation of
research supervisor,broader,was created by work
research supervisor of,broader,created work
researcher agent,broader        rdfs:subPropertyOf        lrmer:R1,was created by work
researcher agent of,broader        rdfs:subPropertyOf        lrmer:R5,created work
researcher collective agent,broader,was created by work
researcher collective agent of,broader,created work
researcher corporate body,broader,was created by work
researcher corporate body of,broader,created work
researcher family,broader,was created by work
researcher family of,broader,created work
researcher person,broader,was created by work
researcher person of,broader,created work
resolution,broader,has category of carrier
respondent,broader,was created by work
respondent of,broader,created work
restorationist agent of expression,broader,was created by expression
restorationist agent of expression of,broader,created expression
