RDA element,RDA recording method,Alignment,M21 Authority encoding
speaker person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
special effects provider person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
sponsoring person of corporate body,structured description,aligns with,"500 1* $a, b, c, d, g, q"
sponsoring person of work,structured description,aligns with,"500 1* $a, b, c, d, g, q"
stage director person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
storyteller person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
student,structured description,aligns with,"500 1* $a, b, c, d, g, q"
subject person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
teacher,structured description,aligns with,"500 1* $a, b, c, d, g, q"
television director person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
television producer person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
transcriber person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
translator person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
trustee,structured description,aligns with,"500 1* $a, b, c, d, g, q"
visual effects provider person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
voice actor person,structured description,aligns with,"500 1* $a, b, c, d, g, q"
related collective agent of family,identifier,aligns with,500 3 $0
related collective agent of family,IRI,aligns with,500 3 $1
related collective agent of family,structured description,aligns with,"500 3 $a, c, d, g"
abridger collective agent,identifier,aligns with,500 3* $0
abridger family,identifier,aligns with,500 3* $0
actor collective agent,identifier,aligns with,500 3* $0
actor family,identifier,aligns with,500 3* $0
addressee family,identifier,aligns with,500 3* $0
aggregator family,identifier,aligns with,500 3* $0
animator collective agent,identifier,aligns with,500 3* $0
animator family,identifier,aligns with,500 3* $0
architect family,identifier,aligns with,500 3* $0
arranger family of music,identifier,aligns with,500 3* $0
art director collective agent,identifier,aligns with,500 3* $0
art director family,identifier,aligns with,500 3* $0
artist family,identifier,aligns with,500 3* $0
audio engineer collective agent,identifier,aligns with,500 3* $0
audio engineer family,identifier,aligns with,500 3* $0
audio producer family,identifier,aligns with,500 3* $0
author family,identifier,aligns with,500 3* $0
book artist family,identifier,aligns with,500 3* $0
calligrapher family,identifier,aligns with,500 3* $0
cartographer family of work,identifier,aligns with,500 3* $0
casting director family,identifier,aligns with,500 3* $0
censor collective agent,identifier,aligns with,500 3* $0
censor family,identifier,aligns with,500 3* $0
choral conductor collective agent,identifier,aligns with,500 3* $0
choral conductor family,identifier,aligns with,500 3* $0
choreographer family,identifier,aligns with,500 3* $0
colourist collective agent,identifier,aligns with,500 3* $0
colourist family,identifier,aligns with,500 3* $0
commentator collective agent,identifier,aligns with,500 3* $0
commentator family,identifier,aligns with,500 3* $0
commissioning family,identifier,aligns with,500 3* $0
compiler family,identifier,aligns with,500 3* $0
composer family of work,identifier,aligns with,500 3* $0
conductor collective agent,identifier,aligns with,500 3* $0
conductor family,identifier,aligns with,500 3* $0
consultant family,identifier,aligns with,500 3* $0
contributor collective agent to amalgamation,identifier,aligns with,500 3* $0
contributor collective agent to performance,identifier,aligns with,500 3* $0
contributor family to amalgamation,identifier,aligns with,500 3* $0
contributor family to performance,identifier,aligns with,500 3* $0
corporate body member of family of,identifier,aligns with,500 3* $0
costume designer collective agent,identifier,aligns with,500 3* $0
costume designer family,identifier,aligns with,500 3* $0
court reporter collective agent,identifier,aligns with,500 3* $0
court reporter family,identifier,aligns with,500 3* $0
creator collective agent of expression,identifier,aligns with,500 3* $0
creator family of expression,identifier,aligns with,500 3* $0
creator family of work,identifier,aligns with,500 3* $0
dancer collective agent,identifier,aligns with,500 3* $0
dancer family,identifier,aligns with,500 3* $0
dedicatee family of work,identifier,aligns with,500 3* $0
dedicator family,identifier,aligns with,500 3* $0
descendant family of family,identifier,aligns with,500 3* $0
descendant family of family of,identifier,aligns with,500 3* $0
descendant family of person,identifier,aligns with,500 3* $0
description of family,identifier,aligns with,500 3* $0
designer family,identifier,aligns with,500 3* $0
director family,identifier,aligns with,500 3* $0
director family of photography,identifier,aligns with,500 3* $0
DJ collective agent,identifier,aligns with,500 3* $0
DJ family,identifier,aligns with,500 3* $0
draftsman collective agent,identifier,aligns with,500 3* $0
draftsman family,identifier,aligns with,500 3* $0
dubbing director collective agent,identifier,aligns with,500 3* $0
dubbing director family,identifier,aligns with,500 3* $0
editor collective agent,identifier,aligns with,500 3* $0
editor collective agent of moving image work,identifier,aligns with,500 3* $0
editor family,identifier,aligns with,500 3* $0
editor family of moving image work,identifier,aligns with,500 3* $0
editorial director family,identifier,aligns with,500 3* $0
family member of collective agent,identifier,aligns with,500 3* $0
family member of corporate body,identifier,aligns with,500 3* $0
family member of family,identifier,aligns with,500 3* $0
family member of family of,identifier,aligns with,500 3* $0
film director family,identifier,aligns with,500 3* $0
film producer family,identifier,aligns with,500 3* $0
filmmaker family,identifier,aligns with,500 3* $0
founder family of work,identifier,aligns with,500 3* $0
founding collective agent of corporate body,identifier,aligns with,500 3* $0
honouree family of work,identifier,aligns with,500 3* $0
host collective agent,identifier,aligns with,500 3* $0
host family,identifier,aligns with,500 3* $0
instructor collective agent,identifier,aligns with,500 3* $0
instructor family,identifier,aligns with,500 3* $0
instrumental conductor collective agent,identifier,aligns with,500 3* $0
instrumental conductor family,identifier,aligns with,500 3* $0
instrumentalist collective agent,identifier,aligns with,500 3* $0
instrumentalist family,identifier,aligns with,500 3* $0
interviewee family of expression,identifier,aligns with,500 3* $0
interviewee family of work,identifier,aligns with,500 3* $0
interviewer family of expression,identifier,aligns with,500 3* $0
interviewer family of work,identifier,aligns with,500 3* $0
inventor family,identifier,aligns with,500 3* $0
issuing family,identifier,aligns with,500 3* $0
landscape architect family,identifier,aligns with,500 3* $0
letterer collective agent,identifier,aligns with,500 3* $0
letterer family,identifier,aligns with,500 3* $0
librettist family,identifier,aligns with,500 3* $0
lighting designer collective agent,identifier,aligns with,500 3* $0
lighting designer family,identifier,aligns with,500 3* $0
lyricist family,identifier,aligns with,500 3* $0
makeup artist collective agent,identifier,aligns with,500 3* $0
makeup artist family,identifier,aligns with,500 3* $0
minute taker collective agent,identifier,aligns with,500 3* $0
minute taker family,identifier,aligns with,500 3* $0
mixing engineer collective agent,identifier,aligns with,500 3* $0
mixing engineer family,identifier,aligns with,500 3* $0
moderator collective agent,identifier,aligns with,500 3* $0
moderator family,identifier,aligns with,500 3* $0
music programmer collective agent,identifier,aligns with,500 3* $0
music programmer family,identifier,aligns with,500 3* $0
musical director collective agent,identifier,aligns with,500 3* $0
musical director family,identifier,aligns with,500 3* $0
narrator collective agent,identifier,aligns with,500 3* $0
narrator family,identifier,aligns with,500 3* $0
onscreen participant collective agent,identifier,aligns with,500 3* $0
onscreen participant family,identifier,aligns with,500 3* $0
onscreen presenter collective agent,identifier,aligns with,500 3* $0
onscreen presenter family,identifier,aligns with,500 3* $0
organizer family,identifier,aligns with,500 3* $0
panelist collective agent,identifier,aligns with,500 3* $0
panelist family,identifier,aligns with,500 3* $0
performer collective agent,identifier,aligns with,500 3* $0
performer family,identifier,aligns with,500 3* $0
photographer family of work,identifier,aligns with,500 3* $0
predecessor of collective agent,identifier,aligns with,500 3* $0
predecessor of family,identifier,aligns with,500 3* $0
presenter collective agent,identifier,aligns with,500 3* $0
presenter family,identifier,aligns with,500 3* $0
producer family,identifier,aligns with,500 3* $0
production designer collective agent,identifier,aligns with,500 3* $0
production designer family,identifier,aligns with,500 3* $0
programmer family,identifier,aligns with,500 3* $0
puppeteer collective agent,identifier,aligns with,500 3* $0
puppeteer family,identifier,aligns with,500 3* $0
radio director family,identifier,aligns with,500 3* $0
radio producer family,identifier,aligns with,500 3* $0
rapporteur family,identifier,aligns with,500 3* $0
recording engineer collective agent,identifier,aligns with,500 3* $0
recording engineer family,identifier,aligns with,500 3* $0
recordist collective agent,identifier,aligns with,500 3* $0
recordist family,identifier,aligns with,500 3* $0
related collective agent of agent,identifier,aligns with,500 3* $0
related collective agent of collective agent,identifier,aligns with,500 3* $0
related collective agent of collective agent,identifier,aligns with,500 3* $0
related collective agent of corporate body,identifier,aligns with,500 3* $0
related collective agent of corporate body,identifier,aligns with,500 3* $0
related collective agent of expression,identifier,aligns with,500 3* $0
related collective agent of person,identifier,aligns with,500 3* $0
related collective agent of place,identifier,aligns with,500 3* $0
related collective agent of work,identifier,aligns with,500 3* $0
related family of agent,identifier,aligns with,500 3* $0
related family of collective agent,identifier,aligns with,500 3* $0
related family of corporate body,identifier,aligns with,500 3* $0
related family of expression,identifier,aligns with,500 3* $0
related family of family,identifier,aligns with,500 3* $0
related family of person,identifier,aligns with,500 3* $0
related family of place,identifier,aligns with,500 3* $0
related family of work,identifier,aligns with,500 3* $0
remix artist family,identifier,aligns with,500 3* $0
researcher family,identifier,aligns with,500 3* $0
restorationist family of expression,identifier,aligns with,500 3* $0
reviser collective agent,identifier,aligns with,500 3* $0
reviser family,identifier,aligns with,500 3* $0
screenwriter family,identifier,aligns with,500 3* $0
sculptor family,identifier,aligns with,500 3* $0
singer collective agent,identifier,aligns with,500 3* $0
singer family,identifier,aligns with,500 3* $0
software developer family,identifier,aligns with,500 3* $0
sound designer collective agent,identifier,aligns with,500 3* $0
sound designer family,identifier,aligns with,500 3* $0
speaker collective agent,identifier,aligns with,500 3* $0
speaker family,identifier,aligns with,500 3* $0
special effects provider collective agent,identifier,aligns with,500 3* $0
special effects provider family,identifier,aligns with,500 3* $0
sponsoring collective agent of corporate body,identifier,aligns with,500 3* $0
sponsoring family of corporate body,identifier,aligns with,500 3* $0
sponsoring family of work,identifier,aligns with,500 3* $0
stage director collective agent,identifier,aligns with,500 3* $0
stage director family,identifier,aligns with,500 3* $0
storyteller collective agent,identifier,aligns with,500 3* $0
storyteller family,identifier,aligns with,500 3* $0
subject family,identifier,aligns with,500 3* $0
successor of collective agent,identifier,aligns with,500 3* $0
successor of family,identifier,aligns with,500 3* $0
television director family,identifier,aligns with,500 3* $0
television producer family,identifier,aligns with,500 3* $0
transcriber collective agent,identifier,aligns with,500 3* $0
transcriber family,identifier,aligns with,500 3* $0
translator collective agent,identifier,aligns with,500 3* $0
translator family,identifier,aligns with,500 3* $0
visual effects provider collective agent,identifier,aligns with,500 3* $0
visual effects provider family,identifier,aligns with,500 3* $0
voice actor collective agent,identifier,aligns with,500 3* $0
voice actor family,identifier,aligns with,500 3* $0
abridger collective agent,IRI,aligns with,500 3* $1
abridger family,IRI,aligns with,500 3* $1
actor collective agent,IRI,aligns with,500 3* $1
actor family,IRI,aligns with,500 3* $1
addressee family,IRI,aligns with,500 3* $1
aggregator family,IRI,aligns with,500 3* $1
animator collective agent,IRI,aligns with,500 3* $1
animator family,IRI,aligns with,500 3* $1
architect family,IRI,aligns with,500 3* $1
arranger family of music,IRI,aligns with,500 3* $1
art director collective agent,IRI,aligns with,500 3* $1
art director family,IRI,aligns with,500 3* $1
artist family,IRI,aligns with,500 3* $1
audio engineer collective agent,IRI,aligns with,500 3* $1
audio engineer family,IRI,aligns with,500 3* $1
audio producer family,IRI,aligns with,500 3* $1
author family,IRI,aligns with,500 3* $1
book artist family,IRI,aligns with,500 3* $1
calligrapher family,IRI,aligns with,500 3* $1
cartographer family of work,IRI,aligns with,500 3* $1
casting director family,IRI,aligns with,500 3* $1
censor collective agent,IRI,aligns with,500 3* $1
censor family,IRI,aligns with,500 3* $1
choral conductor collective agent,IRI,aligns with,500 3* $1
choral conductor family,IRI,aligns with,500 3* $1
choreographer family,IRI,aligns with,500 3* $1
colourist collective agent,IRI,aligns with,500 3* $1
colourist family,IRI,aligns with,500 3* $1
commentator collective agent,IRI,aligns with,500 3* $1
commentator family,IRI,aligns with,500 3* $1
commissioning family,IRI,aligns with,500 3* $1
compiler family,IRI,aligns with,500 3* $1
composer family of work,IRI,aligns with,500 3* $1
conductor collective agent,IRI,aligns with,500 3* $1
conductor family,IRI,aligns with,500 3* $1
consultant family,IRI,aligns with,500 3* $1
contributor collective agent to amalgamation,IRI,aligns with,500 3* $1
contributor collective agent to performance,IRI,aligns with,500 3* $1
contributor family to amalgamation,IRI,aligns with,500 3* $1
contributor family to performance,IRI,aligns with,500 3* $1
corporate body member of family of,IRI,aligns with,500 3* $1
costume designer collective agent,IRI,aligns with,500 3* $1
costume designer family,IRI,aligns with,500 3* $1
court reporter collective agent,IRI,aligns with,500 3* $1
court reporter family,IRI,aligns with,500 3* $1
creator collective agent of expression,IRI,aligns with,500 3* $1
creator family of expression,IRI,aligns with,500 3* $1
creator family of work,IRI,aligns with,500 3* $1
dancer collective agent,IRI,aligns with,500 3* $1
dancer family,IRI,aligns with,500 3* $1
dedicatee family of work,IRI,aligns with,500 3* $1
dedicator family,IRI,aligns with,500 3* $1
descendant family of family,IRI,aligns with,500 3* $1
descendant family of family of,IRI,aligns with,500 3* $1
descendant family of person,IRI,aligns with,500 3* $1
description of family,IRI,aligns with,500 3* $1
designer family,IRI,aligns with,500 3* $1
director family,IRI,aligns with,500 3* $1
director family of photography,IRI,aligns with,500 3* $1
DJ collective agent,IRI,aligns with,500 3* $1
DJ family,IRI,aligns with,500 3* $1
draftsman collective agent,IRI,aligns with,500 3* $1
draftsman family,IRI,aligns with,500 3* $1
dubbing director collective agent,IRI,aligns with,500 3* $1
dubbing director family,IRI,aligns with,500 3* $1
editor collective agent,IRI,aligns with,500 3* $1
editor collective agent of moving image work,IRI,aligns with,500 3* $1
editor family,IRI,aligns with,500 3* $1
editor family of moving image work,IRI,aligns with,500 3* $1
editorial director family,IRI,aligns with,500 3* $1
family member of collective agent,IRI,aligns with,500 3* $1
family member of corporate body,IRI,aligns with,500 3* $1
family member of family,IRI,aligns with,500 3* $1
family member of family of,IRI,aligns with,500 3* $1
film director family,IRI,aligns with,500 3* $1
film producer family,IRI,aligns with,500 3* $1
filmmaker family,IRI,aligns with,500 3* $1
founder family of work,IRI,aligns with,500 3* $1
founding collective agent of corporate body,IRI,aligns with,500 3* $1
honouree family of work,IRI,aligns with,500 3* $1
host collective agent,IRI,aligns with,500 3* $1
host family,IRI,aligns with,500 3* $1
instructor collective agent,IRI,aligns with,500 3* $1
instructor family,IRI,aligns with,500 3* $1
instrumental conductor collective agent,IRI,aligns with,500 3* $1
instrumental conductor family,IRI,aligns with,500 3* $1
instrumentalist collective agent,IRI,aligns with,500 3* $1
instrumentalist family,IRI,aligns with,500 3* $1
interviewee family of expression,IRI,aligns with,500 3* $1
interviewee family of work,IRI,aligns with,500 3* $1
interviewer family of expression,IRI,aligns with,500 3* $1
interviewer family of work,IRI,aligns with,500 3* $1
inventor family,IRI,aligns with,500 3* $1
issuing family,IRI,aligns with,500 3* $1
landscape architect family,IRI,aligns with,500 3* $1
letterer collective agent,IRI,aligns with,500 3* $1
letterer family,IRI,aligns with,500 3* $1
librettist family,IRI,aligns with,500 3* $1
lighting designer collective agent,IRI,aligns with,500 3* $1
lighting designer family,IRI,aligns with,500 3* $1
lyricist family,IRI,aligns with,500 3* $1
makeup artist collective agent,IRI,aligns with,500 3* $1
makeup artist family,IRI,aligns with,500 3* $1
minute taker collective agent,IRI,aligns with,500 3* $1
minute taker family,IRI,aligns with,500 3* $1
mixing engineer collective agent,IRI,aligns with,500 3* $1
mixing engineer family,IRI,aligns with,500 3* $1
moderator collective agent,IRI,aligns with,500 3* $1
moderator family,IRI,aligns with,500 3* $1
music programmer collective agent,IRI,aligns with,500 3* $1
music programmer family,IRI,aligns with,500 3* $1
musical director collective agent,IRI,aligns with,500 3* $1
musical director family,IRI,aligns with,500 3* $1
narrator collective agent,IRI,aligns with,500 3* $1
narrator family,IRI,aligns with,500 3* $1
onscreen participant collective agent,IRI,aligns with,500 3* $1
onscreen participant family,IRI,aligns with,500 3* $1
onscreen presenter collective agent,IRI,aligns with,500 3* $1
onscreen presenter family,IRI,aligns with,500 3* $1
organizer family,IRI,aligns with,500 3* $1
panelist collective agent,IRI,aligns with,500 3* $1
panelist family,IRI,aligns with,500 3* $1
performer collective agent,IRI,aligns with,500 3* $1
performer family,IRI,aligns with,500 3* $1
photographer family of work,IRI,aligns with,500 3* $1
predecessor of collective agent,IRI,aligns with,500 3* $1
predecessor of family,IRI,aligns with,500 3* $1
presenter collective agent,IRI,aligns with,500 3* $1
presenter family,IRI,aligns with,500 3* $1
producer family,IRI,aligns with,500 3* $1
production designer collective agent,IRI,aligns with,500 3* $1
production designer family,IRI,aligns with,500 3* $1
programmer family,IRI,aligns with,500 3* $1
puppeteer collective agent,IRI,aligns with,500 3* $1
puppeteer family,IRI,aligns with,500 3* $1
radio director family,IRI,aligns with,500 3* $1
radio producer family,IRI,aligns with,500 3* $1
rapporteur family,IRI,aligns with,500 3* $1
recording engineer collective agent,IRI,aligns with,500 3* $1
recording engineer family,IRI,aligns with,500 3* $1
recordist collective agent,IRI,aligns with,500 3* $1
recordist family,IRI,aligns with,500 3* $1
related collective agent of agent,IRI,aligns with,500 3* $1
related collective agent of collective agent,IRI,aligns with,500 3* $1
related collective agent of collective agent,IRI,aligns with,500 3* $1
related collective agent of corporate body,IRI,aligns with,500 3* $1
related collective agent of corporate body,IRI,aligns with,500 3* $1
related collective agent of expression,IRI,aligns with,500 3* $1
related collective agent of person,IRI,aligns with,500 3* $1
related collective agent of place,IRI,aligns with,500 3* $1
related collective agent of work,IRI,aligns with,500 3* $1
related family of agent,IRI,aligns with,500 3* $1
related family of collective agent,IRI,aligns with,500 3* $1
related family of corporate body,IRI,aligns with,500 3* $1
related family of expression,IRI,aligns with,500 3* $1
related family of family,IRI,aligns with,500 3* $1
related family of person,IRI,aligns with,500 3* $1
related family of place,IRI,aligns with,500 3* $1
related family of work,IRI,aligns with,500 3* $1
remix artist family,IRI,aligns with,500 3* $1
researcher family,IRI,aligns with,500 3* $1
restorationist family of expression,IRI,aligns with,500 3* $1
reviser collective agent,IRI,aligns with,500 3* $1
reviser family,IRI,aligns with,500 3* $1
screenwriter family,IRI,aligns with,500 3* $1
sculptor family,IRI,aligns with,500 3* $1
singer collective agent,IRI,aligns with,500 3* $1
singer family,IRI,aligns with,500 3* $1
software developer family,IRI,aligns with,500 3* $1
sound designer collective agent,IRI,aligns with,500 3* $1
sound designer family,IRI,aligns with,500 3* $1
speaker collective agent,IRI,aligns with,500 3* $1
speaker family,IRI,aligns with,500 3* $1
special effects provider collective agent,IRI,aligns with,500 3* $1
special effects provider family,IRI,aligns with,500 3* $1
sponsoring collective agent of corporate body,IRI,aligns with,500 3* $1
sponsoring family of corporate body,IRI,aligns with,500 3* $1
sponsoring family of work,IRI,aligns with,500 3* $1
stage director collective agent,IRI,aligns with,500 3* $1
stage director family,IRI,aligns with,500 3* $1
storyteller collective agent,IRI,aligns with,500 3* $1
storyteller family,IRI,aligns with,500 3* $1
subject family,IRI,aligns with,500 3* $1
successor of collective agent,IRI,aligns with,500 3* $1
successor of family,IRI,aligns with,500 3* $1
television director family,IRI,aligns with,500 3* $1
television producer family,IRI,aligns with,500 3* $1
transcriber collective agent,IRI,aligns with,500 3* $1
transcriber family,IRI,aligns with,500 3* $1
translator collective agent,IRI,aligns with,500 3* $1
translator family,IRI,aligns with,500 3* $1
visual effects provider collective agent,IRI,aligns with,500 3* $1
visual effects provider family,IRI,aligns with,500 3* $1
voice actor collective agent,IRI,aligns with,500 3* $1
voice actor family,IRI,aligns with,500 3* $1
abridger collective agent,structured description,aligns with,"500 3* $a, c, d, g"
abridger family,structured description,aligns with,"500 3* $a, c, d, g"
actor collective agent,structured description,aligns with,"500 3* $a, c, d, g"
actor family,structured description,aligns with,"500 3* $a, c, d, g"
addressee family,structured description,aligns with,"500 3* $a, c, d, g"
aggregator family,structured description,aligns with,"500 3* $a, c, d, g"
animator collective agent,structured description,aligns with,"500 3* $a, c, d, g"
animator family,structured description,aligns with,"500 3* $a, c, d, g"
architect family,structured description,aligns with,"500 3* $a, c, d, g"
arranger family of music,structured description,aligns with,"500 3* $a, c, d, g"
art director collective agent,structured description,aligns with,"500 3* $a, c, d, g"
art director family,structured description,aligns with,"500 3* $a, c, d, g"
artist family,structured description,aligns with,"500 3* $a, c, d, g"
audio engineer collective agent,structured description,aligns with,"500 3* $a, c, d, g"
audio engineer family,structured description,aligns with,"500 3* $a, c, d, g"
audio producer family,structured description,aligns with,"500 3* $a, c, d, g"
author family,structured description,aligns with,"500 3* $a, c, d, g"
book artist family,structured description,aligns with,"500 3* $a, c, d, g"
calligrapher family,structured description,aligns with,"500 3* $a, c, d, g"
cartographer family of work,structured description,aligns with,"500 3* $a, c, d, g"
casting director family,structured description,aligns with,"500 3* $a, c, d, g"
censor collective agent,structured description,aligns with,"500 3* $a, c, d, g"
censor family,structured description,aligns with,"500 3* $a, c, d, g"
choral conductor collective agent,structured description,aligns with,"500 3* $a, c, d, g"
choral conductor family,structured description,aligns with,"500 3* $a, c, d, g"
choreographer family,structured description,aligns with,"500 3* $a, c, d, g"
colourist collective agent,structured description,aligns with,"500 3* $a, c, d, g"
colourist family,structured description,aligns with,"500 3* $a, c, d, g"
commentator collective agent,structured description,aligns with,"500 3* $a, c, d, g"
commentator family,structured description,aligns with,"500 3* $a, c, d, g"
commissioning family,structured description,aligns with,"500 3* $a, c, d, g"
compiler family,structured description,aligns with,"500 3* $a, c, d, g"
composer family of work,structured description,aligns with,"500 3* $a, c, d, g"
conductor collective agent,structured description,aligns with,"500 3* $a, c, d, g"
conductor family,structured description,aligns with,"500 3* $a, c, d, g"
consultant family,structured description,aligns with,"500 3* $a, c, d, g"
contributor collective agent to amalgamation,structured description,aligns with,"500 3* $a, c, d, g"
contributor collective agent to performance,structured description,aligns with,"500 3* $a, c, d, g"
contributor family to amalgamation,structured description,aligns with,"500 3* $a, c, d, g"
contributor family to performance,structured description,aligns with,"500 3* $a, c, d, g"
corporate body member of family of,structured description,aligns with,"500 3* $a, c, d, g"
costume designer collective agent,structured description,aligns with,"500 3* $a, c, d, g"
costume designer family,structured description,aligns with,"500 3* $a, c, d, g"
court reporter collective agent,structured description,aligns with,"500 3* $a, c, d, g"
court reporter family,structured description,aligns with,"500 3* $a, c, d, g"
creator collective agent of expression,structured description,aligns with,"500 3* $a, c, d, g"
creator family of expression,structured description,aligns with,"500 3* $a, c, d, g"
creator family of work,structured description,aligns with,"500 3* $a, c, d, g"
dancer collective agent,structured description,aligns with,"500 3* $a, c, d, g"
dancer family,structured description,aligns with,"500 3* $a, c, d, g"
dedicatee family of work,structured description,aligns with,"500 3* $a, c, d, g"
dedicator family,structured description,aligns with,"500 3* $a, c, d, g"
descendant family of family,structured description,aligns with,"500 3* $a, c, d, g"
descendant family of family of,structured description,aligns with,"500 3* $a, c, d, g"
descendant family of person,structured description,aligns with,"500 3* $a, c, d, g"
description of family,structured description,aligns with,"500 3* $a, c, d, g"
designer family,structured description,aligns with,"500 3* $a, c, d, g"
director family,structured description,aligns with,"500 3* $a, c, d, g"
director family of photography,structured description,aligns with,"500 3* $a, c, d, g"
DJ collective agent,structured description,aligns with,"500 3* $a, c, d, g"
DJ family,structured description,aligns with,"500 3* $a, c, d, g"
draftsman collective agent,structured description,aligns with,"500 3* $a, c, d, g"
draftsman family,structured description,aligns with,"500 3* $a, c, d, g"
dubbing director collective agent,structured description,aligns with,"500 3* $a, c, d, g"
dubbing director family,structured description,aligns with,"500 3* $a, c, d, g"
editor collective agent,structured description,aligns with,"500 3* $a, c, d, g"
editor collective agent of moving image work,structured description,aligns with,"500 3* $a, c, d, g"
editor family,structured description,aligns with,"500 3* $a, c, d, g"
editor family of moving image work,structured description,aligns with,"500 3* $a, c, d, g"
editorial director family,structured description,aligns with,"500 3* $a, c, d, g"
family member of collective agent,structured description,aligns with,"500 3* $a, c, d, g"
family member of corporate body,structured description,aligns with,"500 3* $a, c, d, g"
family member of family,structured description,aligns with,"500 3* $a, c, d, g"
family member of family of,structured description,aligns with,"500 3* $a, c, d, g"
film director family,structured description,aligns with,"500 3* $a, c, d, g"
film producer family,structured description,aligns with,"500 3* $a, c, d, g"
filmmaker family,structured description,aligns with,"500 3* $a, c, d, g"
founder family of work,structured description,aligns with,"500 3* $a, c, d, g"
founding collective agent of corporate body,structured description,aligns with,"500 3* $a, c, d, g"
founding family of corporate body,structured description,aligns with,"500 3* $a, c, d, g"
honouree family of work,structured description,aligns with,"500 3* $a, c, d, g"
host collective agent,structured description,aligns with,"500 3* $a, c, d, g"
host family,structured description,aligns with,"500 3* $a, c, d, g"
instructor collective agent,structured description,aligns with,"500 3* $a, c, d, g"
instructor family,structured description,aligns with,"500 3* $a, c, d, g"
instrumental conductor collective agent,structured description,aligns with,"500 3* $a, c, d, g"
instrumental conductor family,structured description,aligns with,"500 3* $a, c, d, g"
instrumentalist collective agent,structured description,aligns with,"500 3* $a, c, d, g"
instrumentalist family,structured description,aligns with,"500 3* $a, c, d, g"
interviewee family of expression,structured description,aligns with,"500 3* $a, c, d, g"
interviewee family of work,structured description,aligns with,"500 3* $a, c, d, g"
interviewer family of expression,structured description,aligns with,"500 3* $a, c, d, g"
interviewer family of work,structured description,aligns with,"500 3* $a, c, d, g"
inventor family,structured description,aligns with,"500 3* $a, c, d, g"
issuing family,structured description,aligns with,"500 3* $a, c, d, g"
landscape architect family,structured description,aligns with,"500 3* $a, c, d, g"
letterer collective agent,structured description,aligns with,"500 3* $a, c, d, g"
letterer family,structured description,aligns with,"500 3* $a, c, d, g"
librettist family,structured description,aligns with,"500 3* $a, c, d, g"
lighting designer collective agent,structured description,aligns with,"500 3* $a, c, d, g"
lighting designer family,structured description,aligns with,"500 3* $a, c, d, g"
lyricist family,structured description,aligns with,"500 3* $a, c, d, g"
makeup artist collective agent,structured description,aligns with,"500 3* $a, c, d, g"
makeup artist family,structured description,aligns with,"500 3* $a, c, d, g"
minute taker collective agent,structured description,aligns with,"500 3* $a, c, d, g"
minute taker family,structured description,aligns with,"500 3* $a, c, d, g"
mixing engineer collective agent,structured description,aligns with,"500 3* $a, c, d, g"
mixing engineer family,structured description,aligns with,"500 3* $a, c, d, g"
moderator collective agent,structured description,aligns with,"500 3* $a, c, d, g"
moderator family,structured description,aligns with,"500 3* $a, c, d, g"
music programmer collective agent,structured description,aligns with,"500 3* $a, c, d, g"
music programmer family,structured description,aligns with,"500 3* $a, c, d, g"
musical director collective agent,structured description,aligns with,"500 3* $a, c, d, g"
musical director family,structured description,aligns with,"500 3* $a, c, d, g"
narrator collective agent,structured description,aligns with,"500 3* $a, c, d, g"
narrator family,structured description,aligns with,"500 3* $a, c, d, g"
onscreen participant collective agent,structured description,aligns with,"500 3* $a, c, d, g"
onscreen participant family,structured description,aligns with,"500 3* $a, c, d, g"
onscreen presenter collective agent,structured description,aligns with,"500 3* $a, c, d, g"
onscreen presenter family,structured description,aligns with,"500 3* $a, c, d, g"
organizer family,structured description,aligns with,"500 3* $a, c, d, g"
panelist collective agent,structured description,aligns with,"500 3* $a, c, d, g"
panelist family,structured description,aligns with,"500 3* $a, c, d, g"
performer collective agent,structured description,aligns with,"500 3* $a, c, d, g"
performer family,structured description,aligns with,"500 3* $a, c, d, g"
photographer family of work,structured description,aligns with,"500 3* $a, c, d, g"
predecessor of collective agent,structured description,aligns with,"500 3* $a, c, d, g"
predecessor of family,structured description,aligns with,"500 3* $a, c, d, g"
presenter collective agent,structured description,aligns with,"500 3* $a, c, d, g"
presenter family,structured description,aligns with,"500 3* $a, c, d, g"
producer family,structured description,aligns with,"500 3* $a, c, d, g"
production designer collective agent,structured description,aligns with,"500 3* $a, c, d, g"
production designer family,structured description,aligns with,"500 3* $a, c, d, g"
programmer family,structured description,aligns with,"500 3* $a, c, d, g"
puppeteer collective agent,structured description,aligns with,"500 3* $a, c, d, g"
puppeteer family,structured description,aligns with,"500 3* $a, c, d, g"
radio director family,structured description,aligns with,"500 3* $a, c, d, g"
radio producer family,structured description,aligns with,"500 3* $a, c, d, g"
rapporteur family,structured description,aligns with,"500 3* $a, c, d, g"
recording engineer collective agent,structured description,aligns with,"500 3* $a, c, d, g"
