RDA element,RDA recording method,Alignment,M21 Bibliographic encoding
television director family,identifier,aligns with,700 3* $0
television director family,IRI,aligns with,700 3* $1
audio producer family,unstructured description,aligns with,500 ** $a
audio producer family,unstructured description,aligns with,508 ** $a
audio producer family,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
audio producer family,identifier,aligns with,700 3* $0
audio producer family,IRI,aligns with,700 3* $1
film producer family,unstructured description,aligns with,500 ** $a
film producer family,unstructured description,aligns with,508 ** $a
film producer family,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
film producer family,identifier,aligns with,700 3* $0
film producer family,IRI,aligns with,700 3* $1
radio producer family,unstructured description,aligns with,500 ** $a
radio producer family,unstructured description,aligns with,508 ** $a
radio producer family,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
radio producer family,identifier,aligns with,700 3* $0
radio producer family,IRI,aligns with,700 3* $1
television producer family,unstructured description,aligns with,500 ** $a
television producer family,unstructured description,aligns with,508 ** $a
television producer family,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
television producer family,identifier,aligns with,700 3* $0
television producer family,IRI,aligns with,700 3* $1
landscape architect family,unstructured description,aligns with,500 ** $a
landscape architect family,structured description,aligns with,"100 3* $a, b, c, d, g, q, u"
landscape architect family,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
landscape architect family,identifier,aligns with,100 3* $0
landscape architect family,identifier,aligns with,700 3* $0
landscape architect family,IRI,aligns with,100 3* $1
landscape architect family,IRI,aligns with,700 3* $1
calligrapher family,unstructured description,aligns with,500 ** $a
calligrapher family,structured description,aligns with,"100 3* $a, b, c, d, g, q, u"
calligrapher family,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
calligrapher family,identifier,aligns with,100 3* $0
calligrapher family,identifier,aligns with,700 3* $0
calligrapher family,IRI,aligns with,100 3* $1
calligrapher family,IRI,aligns with,700 3* $1
sculptor family,unstructured description,aligns with,500 ** $a
sculptor family,structured description,aligns with,"100 3* $a, b, c, d, g, q, u"
sculptor family,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
sculptor family,identifier,aligns with,100 3* $0
sculptor family,identifier,aligns with,700 3* $0
sculptor family,IRI,aligns with,100 3* $1
sculptor family,IRI,aligns with,700 3* $1
book artist family,unstructured description,aligns with,500 ** $a
book artist family,structured description,aligns with,"100 3* $a, b, c, d, g, q, u"
book artist family,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
book artist family,identifier,aligns with,100 3* $0
book artist family,identifier,aligns with,700 3* $0
book artist family,IRI,aligns with,100 3* $1
book artist family,IRI,aligns with,700 3* $1
screenwriter family,unstructured description,aligns with,500 ** $a
screenwriter family,unstructured description,aligns with,508 ** $a
screenwriter family,structured description,aligns with,"100 3* $a, b, c, d, g, q, u"
screenwriter family,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
screenwriter family,identifier,aligns with,100 3* $0
screenwriter family,identifier,aligns with,700 3* $0
screenwriter family,IRI,aligns with,100 3* $1
screenwriter family,IRI,aligns with,700 3* $1
lyricist family,unstructured description,aligns with,500 ** $a
lyricist family,structured description,aligns with,"100 3* $a, b, c, d, g, q, u"
lyricist family,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
lyricist family,identifier,aligns with,100 3* $0
lyricist family,identifier,aligns with,700 3* $0
lyricist family,IRI,aligns with,100 3* $1
lyricist family,IRI,aligns with,700 3* $1
librettist family,unstructured description,aligns with,500 ** $a
librettist family,structured description,aligns with,"100 3* $a, b, c, d, g, q, u"
librettist family,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
librettist family,identifier,aligns with,100 3* $0
librettist family,identifier,aligns with,700 3* $0
librettist family,IRI,aligns with,100 3* $1
librettist family,IRI,aligns with,700 3* $1
rapporteur family,unstructured description,aligns with,500 ** $a
rapporteur family,structured description,aligns with,"100 3* $a, b, c, d, g, q, u"
rapporteur family,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
rapporteur family,identifier,aligns with,100 3* $0
rapporteur family,identifier,aligns with,700 3* $0
rapporteur family,IRI,aligns with,100 3* $1
rapporteur family,IRI,aligns with,700 3* $1
honouree family of work,unstructured description,aligns with,500 ** $a
honouree family of work,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
honouree family of work,identifier,aligns with,700 3* $0
honouree family of work,IRI,aligns with,700 3* $1
choreographer family,unstructured description,aligns with,500 ** $a
choreographer family,structured description,aligns with,"100 3* $a, b, c, d, g, q, u"
choreographer family,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
choreographer family,identifier,aligns with,100 3* $0
choreographer family,identifier,aligns with,700 3* $0
choreographer family,IRI,aligns with,100 3* $1
choreographer family,IRI,aligns with,700 3* $1
cartographer family of work,unstructured description,aligns with,500 ** $a
cartographer family of work,structured description,aligns with,"100 3* $a, b, c, d, g, q, u"
cartographer family of work,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
cartographer family of work,identifier,aligns with,100 3* $0
cartographer family of work,identifier,aligns with,700 3* $0
cartographer family of work,IRI,aligns with,100 3* $1
cartographer family of work,IRI,aligns with,700 3* $1
author family,unstructured description,aligns with,500 ** $a
author family,structured description,aligns with,"100 3* $a, b, c, d, g, q, u"
author family,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
author family,identifier,aligns with,100 3* $0
author family,identifier,aligns with,700 3* $0
author family,IRI,aligns with,100 3* $1
author family,IRI,aligns with,700 3* $1
creator family of work,unstructured description,aligns with,500 ** $a
creator family of work,structured description,aligns with,"100 3* $a, b, c, d, g, q, u"
creator family of work,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
creator family of work,identifier,aligns with,100 3* $0
creator family of work,identifier,aligns with,700 3* $0
creator family of work,IRI,aligns with,100 3* $1
creator family of work,IRI,aligns with,700 3* $1
architect family,unstructured description,aligns with,500 ** $a
architect family,structured description,aligns with,"100 3* $a, b, c, d, g, q, u"
architect family,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
architect family,identifier,aligns with,100 3* $0
architect family,identifier,aligns with,700 3* $0
architect family,IRI,aligns with,100 3* $1
architect family,IRI,aligns with,700 3* $1
commissioning family,unstructured description,aligns with,500 ** $a
commissioning family,unstructured description,aligns with,536 ** $a
commissioning family,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
commissioning family,identifier,aligns with,700 3* $0
commissioning family,IRI,aligns with,700 3* $1
programmer family,unstructured description,aligns with,500 ** $a
programmer family,structured description,aligns with,"100 3* $a, b, c, d, g, q, u"
programmer family,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
programmer family,identifier,aligns with,100 3* $0
programmer family,identifier,aligns with,700 3* $0
programmer family,IRI,aligns with,100 3* $1
programmer family,IRI,aligns with,700 3* $1
designer family,unstructured description,aligns with,500 ** $a
designer family,structured description,aligns with,"100 3* $a, b, c, d, g, q, u"
designer family,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
designer family,identifier,aligns with,100 3* $0
designer family,identifier,aligns with,700 3* $0
designer family,IRI,aligns with,100 3* $1
designer family,IRI,aligns with,700 3* $1
composer family of work,unstructured description,aligns with,500 ** $a
composer family of work,structured description,aligns with,"100 3* $a, b, c, d, g, q, u"
composer family of work,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
composer family of work,identifier,aligns with,100 3* $0
composer family of work,identifier,aligns with,700 3* $0
composer family of work,IRI,aligns with,100 3* $1
composer family of work,IRI,aligns with,700 3* $1
inventor family,unstructured description,aligns with,500 ** $a
inventor family,structured description,aligns with,"100 3* $a, b, c, d, g, q, u"
inventor family,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
inventor family,identifier,aligns with,100 3* $0
inventor family,identifier,aligns with,700 3* $0
inventor family,IRI,aligns with,100 3* $1
inventor family,IRI,aligns with,700 3* $1
compiler family,unstructured description,aligns with,500 ** $a
compiler family,structured description,aligns with,"100 3* $a, b, c, d, g, q, u"
compiler family,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
