RDA element,RDA recording method,Alignment,M21 Bibliographic encoding
work described in,IRI,aligns with,700 ** $1
work described in,IRI,aligns with,710 ** $1
work described in,IRI,aligns with,711 ** $1
work described in,IRI,aligns with,730 ** $1
expanded as work,unstructured description,aligns with,500 ** $a
expanded as work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
expanded as work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
expanded as work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
expanded as work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
expanded as work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
expanded as work,identifier,aligns with,700 ** $0
expanded as work,identifier,aligns with,700 ** $x
expanded as work,identifier,aligns with,710 ** $0
expanded as work,identifier,aligns with,710 ** $x
expanded as work,identifier,aligns with,711 ** $0
expanded as work,identifier,aligns with,711 ** $x
expanded as work,identifier,aligns with,730 ** $0
expanded as work,identifier,aligns with,730 ** $x
expanded as work,identifier,aligns with,787 ** $o
expanded as work,identifier,aligns with,787 ** $r
expanded as work,identifier,aligns with,787 ** $u
expanded as work,identifier,aligns with,787 ** $w
expanded as work,identifier,aligns with,787 ** $x
expanded as work,identifier,aligns with,787 ** $y
expanded as work,IRI,aligns with,700 ** $1
expanded as work,IRI,aligns with,710 ** $1
expanded as work,IRI,aligns with,711 ** $1
expanded as work,IRI,aligns with,730 ** $1
work evaluated in,unstructured description,aligns with,500 ** $a
work evaluated in,unstructured description,aligns with,581 ** $a
work evaluated in,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
work evaluated in,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
work evaluated in,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
work evaluated in,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
work evaluated in,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
work evaluated in,identifier,aligns with,700 ** $0
work evaluated in,identifier,aligns with,700 ** $x
work evaluated in,identifier,aligns with,710 ** $0
work evaluated in,identifier,aligns with,710 ** $x
work evaluated in,identifier,aligns with,711 ** $0
work evaluated in,identifier,aligns with,711 ** $x
work evaluated in,identifier,aligns with,730 ** $0
work evaluated in,identifier,aligns with,730 ** $x
work evaluated in,identifier,aligns with,787 ** $o
work evaluated in,identifier,aligns with,787 ** $r
work evaluated in,identifier,aligns with,787 ** $u
work evaluated in,identifier,aligns with,787 ** $w
work evaluated in,identifier,aligns with,787 ** $x
work evaluated in,identifier,aligns with,787 ** $y
work evaluated in,IRI,aligns with,700 ** $1
work evaluated in,IRI,aligns with,710 ** $1
work evaluated in,IRI,aligns with,711 ** $1
work evaluated in,IRI,aligns with,730 ** $1
work analysed in,unstructured description,aligns with,500 ** $a
work analysed in,unstructured description,aligns with,581 ** $a
work analysed in,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
work analysed in,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
work analysed in,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
work analysed in,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
work analysed in,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
work analysed in,identifier,aligns with,700 ** $0
work analysed in,identifier,aligns with,700 ** $x
work analysed in,identifier,aligns with,710 ** $0
work analysed in,identifier,aligns with,710 ** $x
work analysed in,identifier,aligns with,711 ** $0
work analysed in,identifier,aligns with,711 ** $x
work analysed in,identifier,aligns with,730 ** $0
work analysed in,identifier,aligns with,730 ** $x
work analysed in,identifier,aligns with,787 ** $o
work analysed in,identifier,aligns with,787 ** $r
work analysed in,identifier,aligns with,787 ** $u
work analysed in,identifier,aligns with,787 ** $w
work analysed in,identifier,aligns with,787 ** $x
work analysed in,identifier,aligns with,787 ** $y
work analysed in,IRI,aligns with,700 ** $1
work analysed in,IRI,aligns with,710 ** $1
work analysed in,IRI,aligns with,711 ** $1
work analysed in,IRI,aligns with,730 ** $1
prequel work,unstructured description,aligns with,500 ** $a
prequel work,structured description,aligns with,"780 ** $a, c, g, m, n, s, t"
prequel work,identifier,aligns with,780 ** $o
prequel work,identifier,aligns with,780 ** $r
prequel work,identifier,aligns with,780 ** $u
prequel work,identifier,aligns with,780 ** $w
prequel work,identifier,aligns with,780 ** $x
prequel work,identifier,aligns with,780 ** $y
appendix work,unstructured description,aligns with,500 ** $a
appendix work,unstructured description,aligns with,525 ** $a
appendix work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
appendix work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
appendix work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
appendix work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
appendix work,structured description,aligns with,"770 ** $a, c, g, m, n, s, t"
appendix work,identifier,aligns with,700 ** $0
appendix work,identifier,aligns with,700 ** $x
appendix work,identifier,aligns with,710 ** $0
appendix work,identifier,aligns with,710 ** $x
appendix work,identifier,aligns with,711 ** $0
appendix work,identifier,aligns with,711 ** $x
appendix work,identifier,aligns with,730 ** $0
appendix work,identifier,aligns with,730 ** $x
appendix work,identifier,aligns with,770 ** $o
appendix work,identifier,aligns with,770 ** $r
appendix work,identifier,aligns with,770 ** $u
appendix work,identifier,aligns with,770 ** $w
appendix work,identifier,aligns with,770 ** $x
appendix work,identifier,aligns with,770 ** $y
appendix work,IRI,aligns with,700 ** $1
appendix work,IRI,aligns with,710 ** $1
appendix work,IRI,aligns with,711 ** $1
appendix work,IRI,aligns with,730 ** $1
guide work,unstructured description,aligns with,500 ** $a
guide work,unstructured description,aligns with,556 ** $a
guide work,unstructured description,aligns with,581 ** $a
guide work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
guide work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
guide work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
guide work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
guide work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
guide work,identifier,aligns with,700 ** $0
guide work,identifier,aligns with,700 ** $x
guide work,identifier,aligns with,710 ** $0
guide work,identifier,aligns with,710 ** $x
guide work,identifier,aligns with,711 ** $0
guide work,identifier,aligns with,711 ** $x
guide work,identifier,aligns with,730 ** $0
guide work,identifier,aligns with,730 ** $x
guide work,identifier,aligns with,787 ** $o
guide work,identifier,aligns with,787 ** $r
guide work,identifier,aligns with,787 ** $u
guide work,identifier,aligns with,787 ** $w
guide work,identifier,aligns with,787 ** $x
guide work,identifier,aligns with,787 ** $y
guide work,IRI,aligns with,700 ** $1
guide work,IRI,aligns with,710 ** $1
guide work,IRI,aligns with,711 ** $1
guide work,IRI,aligns with,730 ** $1
abridgement of work,unstructured description,aligns with,500 ** $a
abridgement of work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
abridgement of work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
abridgement of work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
abridgement of work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
abridgement of work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
abridgement of work,identifier,aligns with,700 ** $0
abridgement of work,identifier,aligns with,700 ** $x
abridgement of work,identifier,aligns with,710 ** $0
abridgement of work,identifier,aligns with,710 ** $x
abridgement of work,identifier,aligns with,711 ** $0
abridgement of work,identifier,aligns with,711 ** $x
abridgement of work,identifier,aligns with,730 ** $0
abridgement of work,identifier,aligns with,730 ** $x
abridgement of work,identifier,aligns with,787 ** $o
abridgement of work,identifier,aligns with,787 ** $r
abridgement of work,identifier,aligns with,787 ** $u
abridgement of work,identifier,aligns with,787 ** $w
abridgement of work,identifier,aligns with,787 ** $x
abridgement of work,identifier,aligns with,787 ** $y
abridgement of work,IRI,aligns with,700 ** $1
abridgement of work,IRI,aligns with,710 ** $1
abridgement of work,IRI,aligns with,711 ** $1
abridgement of work,IRI,aligns with,730 ** $1
abstract of work,unstructured description,aligns with,500 ** $a
abstract of work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
abstract of work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
abstract of work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
abstract of work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
abstract of work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
abstract of work,identifier,aligns with,700 ** $0
abstract of work,identifier,aligns with,700 ** $x
abstract of work,identifier,aligns with,710 ** $0
abstract of work,identifier,aligns with,710 ** $x
abstract of work,identifier,aligns with,711 ** $0
abstract of work,identifier,aligns with,711 ** $x
abstract of work,identifier,aligns with,730 ** $0
abstract of work,identifier,aligns with,730 ** $x
abstract of work,identifier,aligns with,787 ** $o
abstract of work,identifier,aligns with,787 ** $r
abstract of work,identifier,aligns with,787 ** $u
abstract of work,identifier,aligns with,787 ** $w
abstract of work,identifier,aligns with,787 ** $x
abstract of work,identifier,aligns with,787 ** $y
abstract of work,IRI,aligns with,700 ** $1
abstract of work,IRI,aligns with,710 ** $1
abstract of work,IRI,aligns with,711 ** $1
abstract of work,IRI,aligns with,730 ** $1
dramatization of work,unstructured description,aligns with,500 ** $a
dramatization of work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
dramatization of work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
dramatization of work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
dramatization of work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
dramatization of work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
dramatization of work,identifier,aligns with,700 ** $0
dramatization of work,identifier,aligns with,700 ** $x
dramatization of work,identifier,aligns with,710 ** $0
dramatization of work,identifier,aligns with,710 ** $x
dramatization of work,identifier,aligns with,711 ** $0
dramatization of work,identifier,aligns with,711 ** $x
dramatization of work,identifier,aligns with,730 ** $0
dramatization of work,identifier,aligns with,730 ** $x
dramatization of work,identifier,aligns with,787 ** $o
dramatization of work,identifier,aligns with,787 ** $r
dramatization of work,identifier,aligns with,787 ** $u
dramatization of work,identifier,aligns with,787 ** $w
dramatization of work,identifier,aligns with,787 ** $x
dramatization of work,identifier,aligns with,787 ** $y
dramatization of work,IRI,aligns with,700 ** $1
dramatization of work,IRI,aligns with,710 ** $1
dramatization of work,IRI,aligns with,711 ** $1
dramatization of work,IRI,aligns with,730 ** $1
verse adaptation of work,unstructured description,aligns with,500 ** $a
verse adaptation of work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
verse adaptation of work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
verse adaptation of work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
verse adaptation of work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
verse adaptation of work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
verse adaptation of work,identifier,aligns with,700 ** $0
verse adaptation of work,identifier,aligns with,700 ** $x
verse adaptation of work,identifier,aligns with,710 ** $0
