,RDA,,,,,,LOCAL Policy,,ENCODING,,,,,,,,
is review of work,P10178,rdaw:P10178,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,600 / 610 / 611 /630,,23.5,2,Published,RDA does not identify an unstructured MARC field for this element. It also allows for 700 / 710 / 711 / 730 in structured description.
is screenplay based on work,P10133,rdaw:P10133,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,,24.5,2,Published,
is screenplay based on work,P10133,rdaw:P10133,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",500 / 510 / 511 / 530,24.5,2,Published,
is screenplay for motion picture work,P10173,rdaw:P10173,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,,24.5,2,Published,
is screenplay for motion picture work,P10173,rdaw:P10173,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",500 / 510 / 511 / 530,24.5,2,Published,
is screenplay for television program work,P10174,rdaw:P10174,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,,24.5,2,Published,
is screenplay for television program work,P10174,rdaw:P10174,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",500 / 510 / 511 / 530,24.5,2,Published,
is screenplay for video work,P10175,rdaw:P10175,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,,24.5,2,Published,
is screenplay for video work,P10175,rdaw:P10175,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",500 / 510 / 511 / 530,24.5,2,Published,
is script for radio program work,P10176,rdaw:P10176,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is script for radio program work,P10176,rdaw:P10176,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
is separated from work,P10169,rdaw:P10169,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,500,,24.5,2,Published,
is separated from work,P10169,rdaw:P10169,Work,Work,0,1,O,Structured,N/A,,MARC 21,"780 *7 $a, g, t",,24.5,2,Published,
is separated into work,P10104,rdaw:P10104,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,500,,24.5,2,Published,
is separated into work,P10104,rdaw:P10104,Work,Work,0,1,O,Structured,N/A,,MARC 21,"785 *1 $a, g, t",,24.5,2,Published,
is sequential version of,P10380,rdaw:P10380,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,,2,Published,
is sequential version of,P10380,rdaw:P10380,Work,Work,0,1,O,Structured,N/A,,MARC 21,700 / 710 / 711 / 730,,,2,Published,
is serialized version of,P10391,rdaw:P10391,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,,2,Published,
is serialized version of,P10391,rdaw:P10391,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,,,2,Published,
is sounds for work,P10376,rdaw:P10376,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,,2,Published,
is sounds for work,P10376,rdaw:P10376,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,,2,Published,
is special issue of,P10411,rdaw:P10411,Work,Work,0,1,MA,Unstructured,Normalised,,MARC 21,"490, 500, 740*",,,2,Published,Would SCIS prefer to use 490/830 rather than 500/7XX?
is special issue of,P10411,rdaw:P10411,Work,Work,0,1,MA,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730 / 830,,,2,Published,Would SCIS prefer to use 490/830 rather than 500/7XX?
is split from work,P10168,rdaw:P10168,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,500,,24.5,2,Published,
is split from work,P10168,rdaw:P10168,Work,Work,0,1,O,Structured,N/A,,MARC 21,"780 *1 $a, g, t",,24.5,2,Published,
is split into work,P10211,rdaw:P10211,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,500,,24.5,2,Published,
is split into work,P10211,rdaw:P10211,Work,Work,0,>1,O,Structured,N/A,,MARC 21,"785 *6 $a, g, t",,24.5,2,Published,
is spoken word for work,P10375,rdaw:P10375,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,,2,Published,
is spoken word for work,P10375,rdaw:P10375,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,,2,Published,
is static version of,P10392,rdaw:P10392,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,,2,Published,
is static version of,P10392,rdaw:P10392,Work,Work,0,1,O,Structured,N/A,,MARC 21,700 / 710 / 711 / 730,,,2,Published,
is subseries of,P10101,rdaw:P10101,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"490, 500, 740*",,24.5,2,Published,"For an example of how this works as 490/830, see https://nla.gov.au/anbd.bib-an2407909"
is subseries of,P10101,rdaw:P10101,Work,Work,0,>1,O,Structured,N/A,,MARC 21,700 / 710 / 711 / 730 / 830,,24.5,2,Published,"For an example of how this works as 490/830, see https://nla.gov.au/anbd.bib-an2407909"
is supplement to work,P10154,rdaw:P10154,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is supplement to work,P10154,rdaw:P10154,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,"700, 710, 711, 730",500 / 510 / 511 / 530,24.5,2,Published,
is television adaptation of work,P10132,rdaw:P10132,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is television adaptation of work,P10132,rdaw:P10132,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,"700, 710, 711, 730",500 / 510 / 511 / 530,24.5,2,Published,
is television screenplay based on work,P10135,rdaw:P10135,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is television screenplay based on work,P10135,rdaw:P10135,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,"700, 710, 711, 730",500 / 510 / 511 / 530,24.5,2,Published,
is text for work,P10372,rdaw:P10372,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,,2,Published,
is text for work,P10372,rdaw:P10372,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,"700, 710, 711, 730",500 / 510 / 511 / 530,,2,Published,
is transformation by audience of,P10384,rdaw:P10384,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,,2,Published,
is transformation by audience of,P10384,rdaw:P10384,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,"700, 710, 711, 730",,,2,Published,
is transformation by genre of,P10343,rdaw:P10343,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,,2,Published,
is transformation by genre of,P10343,rdaw:P10343,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,"700, 710, 711, 730",500 / 510 / 511 / 530,,2,Published,
is transformation by policy of,P10345,rdaw:P10345,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,,2,Published,
is transformation by policy of,P10345,rdaw:P10345,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,"700, 710, 711, 730",500 / 510 / 511 / 530,,2,Published,
is transformation by style of,P10341,rdaw:P10341,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,,2,Published,
is transformation by style of,P10341,rdaw:P10341,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,"700, 710, 711, 730",500 / 510 / 511 / 530,,2,Published,
is variations based on work,P10027,rdaw:P10027,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is variations based on work,P10027,rdaw:P10027,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,"700, 710, 711, 730",500 / 510 / 511 / 530,24.5,2,Published,
is verse adaptation of work,P10128,rdaw:P10128,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is verse adaptation of work,P10128,rdaw:P10128,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,"700, 710, 711, 730",500 / 510 / 511 / 530,24.5,2,Published,
is video adaptation of work,P10138,rdaw:P10138,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is video adaptation of work,P10138,rdaw:P10138,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,"700, 710, 711, 730",500 / 510 / 511 / 530,24.5,2,Published,
is video game adaptation of work,P10250,rdaw:P10250,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is video game adaptation of work,P10250,rdaw:P10250,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,"700, 710, 711, 730",500 / 510 / 511 / 530,24.5,2,Published,
is video screenplay based on work,P10136,rdaw:P10136,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is video screenplay based on work,P10136,rdaw:P10136,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,"700, 710, 711, 730",500 / 510 / 511 / 530,24.5,2,Published,
is addenda to work,P10177,rdaw:P10177,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is adaptation of work,P10142,rdaw:P10142,Work,Work,0,1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,
is adaptation of work,P10142,rdaw:P10142,Work,Work,0,1,O,Structured,N/A,SCIS Authorities,MARC 21,700 / 710 / 711 / 730,500 / 510 / 511 / 530,24.5,2,Published,
