*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,altLabel[2]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],sameAs[0],*status,instructionNumber,has element type,See Also[0]
has sequel expression,rdae:sequelExpression.en,Relates an expression to an expression of a work that extends the narrative of an expression of another work forwards in time.,,,,,sequel expression,An expression of a work that extends the narrative of an expression of another work forwards in time.,rdae:P20335,property,rdac:C10006,rdae:P20169,,,Published,,2,
has choral conductor person,rdae:choralConductorPerson.en,Relates an expression to a person who is a conductor who contributes to an expression by leading a choral performing group in a musical or dramatic presentation.,,,,,choral conductor person,A person who is a conductor who contributes to an expression by leading a choral performing group in a musical or dramatic presentation.,rdae:P20336,property,rdac:C10006,rdae:P20383,rdae:P20285,,Published,,2,
has interviewer person of expression,rdae:interviewerPersonOfExpression.en,"Relates an expression to a person who contributes to an expression by acting as an interviewer, reporter, pollster, or some other person who gathers information.",,,,,interviewer person of expression,"A person who contributes to an expression by acting as an interviewer, reporter, pollster, or some other person who gathers information.",rdae:P20337,property,rdac:C10006,rdae:P20366,rdae:P20032,,Published,,2,
has editor person,rdae:editorPerson.en,Relates an expression to a person who contributes to an expression by amending content created by other agents in order to meet standards for publication or other use.,"Content includes notated movement, notated music, tactile notated movement, tactile notated music, tactile text, and text.",editor person of text,,,editor person,A person who contributes to an expression by amending content created by other agents in order to meet standards for publication or other use.,rdae:P20338,property,rdac:C10006,rdae:P20367,rdae:P20330,,Published,,2,
has draftsman person,rdae:draftsmanPerson.en,"Relates an expression to a person who contributes to an expression by an architect, inventor, or other agent by making detailed plans or drawings for buildings, ships, aircraft, machines, objects, or other constructions.",,,,,draftsman person,"A person who contributes to an expression by an architect, inventor, or other agent by making detailed plans or drawings for buildings, ships, aircraft, machines, objects, or other constructions.",rdae:P20339,property,rdac:C10006,rdae:P20367,rdae:P20033,,Published,,2,
has colourist person,rdae:colouristPerson.en,"Relates an expression to a person who contributes to an expression by applying colour to drawings, prints, photographs, maps, moving images, or other content.",,colorist person,,,colourist person,"A person who contributes to an expression by applying colour to drawings, prints, photographs, maps, moving images, or other content.",rdae:P20340,property,rdac:C10006,rdae:P20367,rdae:P20283,,Published,,2,
has makeup artist person,rdae:makeupArtistPerson.en,Relates an expression to a person who contributes to an expression by applying makeup and prosthetics for a moving image production or for a musical or dramatic presentation or entertainment.,,,,,makeup artist person,A person who contributes to an expression by applying makeup and prosthetics for a moving image production or for a musical or dramatic presentation or entertainment.,rdae:P20341,property,rdac:C10006,rdae:P20366,rdae:P20284,,Published,,2,
has musical director person,rdae:musicalDirectorPerson.en,"Relates an expression to a person who contributes to an expression by coordinating the activities of composers, sound editors, and sound mixers for a moving image production or for a musical or dramatic presentation or entertainment.",,,,,musical director person,"A person who contributes to an expression by coordinating the activities of composers, sound editors, and sound mixers for a moving image production or for a musical or dramatic presentation or entertainment.",rdae:P20342,property,rdac:C10006,rdae:P20366,rdae:P20035,,Published,,2,
has sound designer person,rdae:soundDesignerPerson.en,Relates an expression to a person who contributes to an expression by designing and creating audio or sound components.,,,,,sound designer person,A person who contributes to an expression by designing and creating audio or sound components.,rdae:P20343,property,rdac:C10006,rdae:P20366,rdae:P20276,,Published,,2,
has lighting designer person,rdae:lightingDesignerPerson.en,Relates an expression to a person who contributes to an expression by designing and creating lighting components.,,,,,lighting designer person,A person who contributes to an expression by designing and creating lighting components.,rdae:P20344,property,rdac:C10006,rdae:P20366,rdae:P20277,,Published,,2,
has costume designer person,rdae:costumeDesignerPerson.en,Relates an expression to a person who contributes to an expression by designing costumes for a moving image production or for a musical or dramatic presentation or entertainment.,,,,,costume designer person,A person who contributes to an expression by designing costumes for a moving image production or for a musical or dramatic presentation or entertainment.,rdae:P20345,property,rdac:C10006,rdae:P20366,rdae:P20036,,Published,,2,
has translator person,rdae:translatorPerson.en,Relates an expression to a person who contributes to an expression by expressing the linguistic content of the work in a language different from that of previous expressions of the original work.,A translator may also translate linguistic content between forms of the same language from different time periods.,,,,translator person,A person who contributes to an expression by expressing the linguistic content of the work in a language different from that of previous expressions of the original work.,rdae:P20346,property,rdac:C10006,rdae:P20389,rdae:P20037,,Published,,2,
has reviser person,rdae:reviserPerson.en,Relates an expression to a person who contributes to an expression by making changes to the content of another expression.,,,,,reviser person,A person who contributes to an expression by making changes to the content of another expression.,rdae:P20347,property,rdac:C10006,rdae:P20389,rdae:P20327,,Published,,2,
has audio engineer person,rdae:audioEngineerPerson.en,"Relates an expression to a person who contributes to an expression by managing the technical aspects of sound during the processes of recording, mixing, and reproduction.",,,,,audio engineer person,"A person who contributes to an expression by managing the technical aspects of sound during the processes of recording, mixing, and reproduction.",rdae:P20348,property,rdac:C10006,rdae:P20366,rdae:P20292,,Published,,2,
has DJ person,rdae:djPerson.en,Relates an expression to a person who contributes to an expression by mixing recorded tracks together during a live performance or in a recording studio to appear as one continuous track.,"Remixing activities that substantially change the nature and content of an original work, resulting in a new work, and mixing and assembling the multiple tracks of a recording, are excluded.",,,,DJ person,A person who contributes to an expression by mixing recorded tracks together during a live performance or in a recording studio to appear as one continuous track.,rdae:P20349,property,rdac:C10006,rdae:P20366,rdae:P20296,,Published,,2,
has art director person,rdae:artDirectorPerson.en,Relates an expression to a person who contributes to an expression by overseeing artists and craftspeople who build sets for moving image productions.,,,,,art director person,A person who contributes to an expression by overseeing artists and craftspeople who build sets for moving image productions.,rdae:P20350,property,rdac:C10006,rdae:P20366,rdae:P20038,,Published,,2,
has performer person,rdae:performerPerson.en,"Relates an expression to a person who contributes to an expression by performing music, acting, dancing, speaking, and other roles, often in a musical or dramatic presentation.",,,,,performer person,"A person who contributes to an expression by performing music, acting, dancing, speaking, and other roles, often in a musical or dramatic presentation.",rdae:P20351,property,rdac:C10006,rdae:P20366,rdae:P20039,,Published,,2,
has court reporter person,rdae:courtReporterPerson.en,Relates an expression to a person who contributes to an expression by preparing the opinions of a court for publication.,,,,,court reporter person,A person who contributes to an expression by preparing the opinions of a court for publication.,rdae:P20352,property,rdac:C10006,rdae:P20367,rdae:P20040,,Published,,2,
has software developer person,rdae:softwareDeveloperPerson.en,"Relates an expression to a person who contributes to an expression by researching, designing, implementing, or testing software.",,,,,software developer person,"A person who contributes to an expression by researching, designing, implementing, or testing software.",rdae:P20353,property,rdac:C10006,rdae:P20367,rdae:P20280,,Published,,2,
has interviewee person of expression,rdae:intervieweePersonOfExpression.en,"Relates an expression to a person who contributes to an expression by responding to an interviewer, usually a reporter, pollster, or some other agent who gathers information.",,,,,interviewee person of expression,"A person who contributes to an expression by responding to an interviewer, usually a reporter, pollster, or some other agent who gathers information.",rdae:P20354,property,rdac:C10006,rdae:P20366,rdae:P20047,,Published,,2,
has restorationist person of expression,rdae:restorationistPersonOfExpression.en,"Relates an expression to a person who contributes to an expression by restoring or combining earlier expressions, which may be damaged or fragmentary, to create a new expression.",,,,,restorationist person of expression,"A person who contributes to an expression by restoring or combining earlier expressions, which may be damaged or fragmentary, to create a new expression.",rdae:P20355,property,rdac:C10006,rdae:P20347,rdae:P20289,,Published,,2,
has censor person,rdae:censorPerson.en,"Relates an expression to a person who contributes to an expression by revising the content of another expression for the purpose of suppressing content deemed objectionable on moral, political, military, or other grounds, but leaving the nature and general content substantially unchanged.",Substantial modification that results in the creation of a new work is excluded.,,,,censor person,"A person who contributes to an expression by revising the content of another expression for the purpose of suppressing content deemed objectionable on moral, political, military, or other grounds, but leaving the nature and general content substantially unchanged.",rdae:P20356,property,rdac:C10006,rdae:P20347,rdae:P20287,,Published,,2,
has abridger person,rdae:abridgerPerson.en,Relates an expression to a person who contributes to an expression by shortening an expression of a related work without changing the general meaning or manner of presentation.,Substantial modification that results in the creation of a new work is excluded.,,,,abridger person,A person who contributes to an expression by shortening an expression of a related work without changing the general meaning or manner of presentation.,rdae:P20357,property,rdac:C10006,rdae:P20347,rdae:P20049,,Published,,2,
has recordist person,rdae:recordistPerson.en,Relates an expression to a person who contributes to an expression by using a recording device to capture sound or video during a recording session.,"Includes field recordings of natural sounds, music performances, and other events.",,,,recordist person,A person who contributes to an expression by using a recording device to capture sound or video during a recording session.,rdae:P20358,property,rdac:C10006,rdae:P20366,rdae:P20052,,Published,,2,
has transcriber person,rdae:transcriberPerson.en,"Relates an expression to a person who contributes to an expression by writing down or notating unwritten or unnotated content, or by changing it from one system of notation to another.",Transcription of a musical work for a different instrument or performing group is excluded.,,,,transcriber person,"A person who contributes to an expression by writing down or notating unwritten or unnotated content, or by changing it from one system of notation to another.",rdae:P20359,property,rdac:C10006,rdae:P20347,rdae:P20034,,Published,,2,
has special effects provider person,rdae:specialEffectsProviderPerson.en,Relates an expression to a person who contributes to an expression of a moving image or audio work by designing and creating on-set special effects such as on-set mechanical effects and in-camera optical effects.,,,,,special effects provider person,A person who contributes to an expression of a moving image or audio work by designing and creating on-set special effects such as on-set mechanical effects and in-camera optical effects.,rdae:P20360,property,rdac:C10006,rdae:P20366,rdae:P20258,,Published,,2,
has visual effects provider person,rdae:visualEffectsProviderPerson.en,Relates an expression to a person who contributes to an expression of a moving image work by designing and creating post-production visual effects.,,,,,visual effects provider person,A person who contributes to an expression of a moving image work by designing and creating post-production visual effects.,rdae:P20361,property,rdac:C10006,rdae:P20366,rdae:P20257,,Published,,2,
has music programmer person,rdae:musicProgrammerPerson.en,Relates an expression to a person who contributes to an expression of a musical work by using electronic audio devices or computer software to generate sounds.,The creation of a new musical work is excluded.,,,,music programmer person,A person who contributes to an expression of a musical work by using electronic audio devices or computer software to generate sounds.,rdae:P20362,property,rdac:C10006,rdae:P20366,rdae:P20294,,Published,,2,
has onscreen participant person,rdae:onscreenParticipantPerson.en,Relates an expression to a person who contributes to an expression of a nonfiction moving image work by taking an active role as a participant.,Appearance on screen to provide contextual or background information is excluded.,,,,onscreen participant person,A person who contributes to an expression of a nonfiction moving image work by taking an active role as a participant.,rdae:P20363,property,rdac:C10006,rdae:P20366,rdae:P20279,,Published,,2,
has stage director person,rdae:stageDirectorPerson.en,Relates an expression to a person who contributes to an expression of a stage work through the general management and supervision of a performance.,,,,,stage director person,A person who contributes to an expression of a stage work through the general management and supervision of a performance.,rdae:P20364,property,rdac:C10006,rdae:P20366,rdae:P20031,,Published,,2,
has arranger person of music,rdae:arrangerPersonOfMusic.en,Relates an expression to a person who contributes to an expression of a work by rewriting a composition for a medium of performance different from that for which a work was originally intended.,"Contribution includes modification of a work for the same medium of performance, etc., that keeps the musical substance of the original composition essentially unchanged, and excludes substantial modification that results in the creation of a new musical work.",,,,arranger person of music,A person who contributes to an expression of a work by rewriting a composition for a medium of performance different from that for which a work was originally intended.,rdae:P20365,property,rdac:C10006,rdae:P20347,rdae:P20029,,Published,,2,
has contributor person to performance,rdae:contributorPersonToPerformance.en,Relates an expression to a person who contributes to an expression that is a performance.,,,,,contributor person to performance,A person who contributes to an expression that is a performance.,rdae:P20366,property,rdac:C10006,rdae:P20367,rdae:P20329,,Published,,2,
has contributor person to amalgamation,rdae:contributorPersonToAmalgamation.en,Relates an expression to a person who contributes to an expression that is a seamless mix of kinds of content.,,,,,contributor person to amalgamation,A person who contributes to an expression that is a seamless mix of kinds of content.,rdae:P20367,property,rdac:C10006,rdae:P20389,rdae:P20328,,Published,,2,
has instrumental conductor person,rdae:instrumentalConductorPerson.en,Relates an expression to a person who is a conductor who contributes to an expression by leading an instrumental performing group in a musical or dramatic presentation.,,,,,instrumental conductor person,A person who is a conductor who contributes to an expression by leading an instrumental performing group in a musical or dramatic presentation.,rdae:P20368,property,rdac:C10006,rdae:P20383,rdae:P20286,,Published,,2,
has actor person,rdae:actorPerson.en,Relates an expression to a person who is a performer who contributes to an expression by acting as a cast member or player in a musical or dramatic presentation.,,,,,actor person,A person who is a performer who contributes to an expression by acting as a cast member or player in a musical or dramatic presentation.,rdae:P20369,property,rdac:C10006,rdae:P20351,rdae:P20012,,Published,,2,
has onscreen presenter person,rdae:onscreenPresenterPerson.en,Relates an expression to a person who is a performer who contributes to an expression by appearing on screen to provide contextual or background information.,Appearance in nonfiction moving image materials or in introductions to fiction moving image materials is included. Appearance on screen in a non-performing role is excluded.,,,,onscreen presenter person,A person who is a performer who contributes to an expression by appearing on screen to provide contextual or background information.,rdae:P20370,property,rdac:C10006,rdae:P20351,rdae:P20013,,Published,,2,
has dancer person,rdae:dancerPerson.en,Relates an expression to a person who is a performer who contributes to an expression by dancing in a musical or dramatic presentation.,,,,,dancer person,A person who is a performer who contributes to an expression by dancing in a musical or dramatic presentation.,rdae:P20371,property,rdac:C10006,rdae:P20351,rdae:P20014,,Published,,2,
has host person,rdae:hostPerson.en,"Relates an expression to a person who is a performer who contributes to an expression by leading a program, often broadcast, that includes guests, performers, and other agents.",,,,,host person,"A person who is a performer who contributes to an expression by leading a program, often broadcast, that includes other performers.",rdae:P20372,property,rdac:C10006,rdae:P20351,rdae:P20016,,Published,,2,
has moderator person,rdae:moderatorPerson.en,"Relates an expression to a person who is a performer who contributes to an expression by leading a program, often broadcast, where topics are discussed, usually with participation of experts in fields related to the discussion.",,,,,moderator person,"A person who is a performer who contributes to an expression by leading a program, often broadcast, where topics are discussed, usually with participation of experts in fields related to the discussion.",rdae:P20373,property,rdac:C10006,rdae:P20351,rdae:P20017,,Published,,2,
has puppeteer person,rdae:puppeteerPerson.en,"Relates an expression to a person who is a performer who contributes to an expression by manipulating, controlling, or directing puppets or marionettes in a moving image production or a musical or dramatic presentation or entertainment.",,,,,puppeteer person,"A person who is a performer who contributes to an expression by manipulating, controlling, or directing puppets or marionettes in a moving image production or a musical or dramatic presentation or entertainment.",rdae:P20374,property,rdac:C10006,rdae:P20351,rdae:P20018,,Published,,2,
has panelist person,rdae:panelistPerson.en,"Relates an expression to a person who is a performer who contributes to an expression by participating in a program, often broadcast, where topics are discussed, usually with participation of experts in fields related to the discussion.",,,,,panelist person,"A person who is a performer who contributes to an expression by participating in a program, often broadcast, where topics are discussed, usually with participation of experts in fields related to the discussion.",rdae:P20375,property,rdac:C10006,rdae:P20351,rdae:P20019,,Published,,2,
has instrumentalist person,rdae:instrumentalistPerson.en,Relates an expression to a person who is a performer who contributes to an expression by playing a musical instrument.,,,,,instrumentalist person,A person who is a performer who contributes to an expression by playing a musical instrument.,rdae:P20376,property,rdac:C10006,rdae:P20351,rdae:P20020,,Published,,2,
has commentator person,rdae:commentatorPerson.en,"Relates an expression to a person who is a performer who contributes to an expression by providing interpretation, analysis, or a discussion of the subject matter on a recording, film, or other audiovisual medium.",,,,,commentator person,"A person who is a performer who contributes to an expression by providing interpretation, analysis, or a discussion of the subject matter on a recording, film, or other audiovisual medium.",rdae:P20377,property,rdac:C10006,rdae:P20351,rdae:P20021,,Published,,2,
has narrator person,rdae:narratorPerson.en,"Relates an expression to a person who is a performer who contributes to an expression by reading aloud or giving an account of an act, occurrence, or other event.",,,,,narrator person,"A person who is a performer who contributes to an expression by reading aloud or giving an account of an act, occurrence, or other event.",rdae:P20378,property,rdac:C10006,rdae:P20351,rdae:P20022,,Published,,2,
has storyteller person,rdae:storytellerPerson.en,Relates an expression to a person who is a performer who contributes to an expression by relaying an original story with dramatic or theatrical interpretation.,,,,,storyteller person,A person who is a performer who contributes to an expression by relaying an original story with dramatic or theatrical interpretation.,rdae:P20379,property,rdac:C10006,rdae:P20351,rdae:P20023,,Published,,2,
has speaker person,rdae:speakerPerson.en,Relates an expression to a person who is a performer who contributes to an expression by speaking words.,Includes a lecture or speech.,,,,speaker person,A person who is a performer who contributes to an expression by speaking words.,rdae:P20380,property,rdac:C10006,rdae:P20351,rdae:P20024,,Published,,2,
has instructor person,rdae:instructorPerson.en,Relates an expression to a person who is a performer who contributes to an expression by teaching or providing a demonstration.,,,,,instructor person,A person who is a performer who contributes to an expression by teaching or providing a demonstration.,rdae:P20381,property,rdac:C10006,rdae:P20351,rdae:P20015,,Published,,2,
has singer person,rdae:singerPerson.en,"Relates an expression to a person who is a performer who contributes to an expression by using their voice, with or without instrumental accompaniment, to produce music.",A performance of a singer may or may not include actual words.,,,,singer person,"A person who is a performer who contributes to an expression by using their voice, with or without instrumental accompaniment, to produce music.",rdae:P20382,property,rdac:C10006,rdae:P20351,rdae:P20025,,Published,,2,
has conductor person,rdae:conductorPerson.en,Relates an expression to a person who is a performer who contributes to an expression of a musical work by leading a performing group in a musical or dramatic presentation.,,,,,conductor person,A person who is a performer who contributes to an expression of a musical work by leading a performing group in a musical or dramatic presentation.,rdae:P20383,property,rdac:C10006,rdae:P20351,rdae:P20011,,Published,,2,
has voice actor person,rdae:voiceActorPerson.en,"Relates an expression to a person who is an actor who contributes to an expression by providing the voice for characters in radio and audio productions and for animated characters in moving image works, as well as by providing voice-overs in radio and television commercials, dubbed expressions, etc.",,,,,voice actor person,"A person who is an actor who contributes to an expression by providing the voice for characters in radio and audio productions and for animated characters in moving image works, as well as by providing voice-overs in radio and television commercials, dubbed resources, etc.",rdae:P20384,property,rdac:C10006,rdae:P20369,rdae:P20070,,Published,,2,
has mixing engineer person,rdae:mixingEngineerPerson.en,"Relates an expression to a person who is an audio engineer who contributes to the audio content of an expression by manipulating, mixing, and assembling the multiple tracks of a recording.","Remixing activities that substantially change the nature and content of the original work, resulting in a new work, are excluded.",,,,mixing engineer person,"A person who is an audio engineer who contributes to the audio content of an expression by manipulating, mixing, and assembling the multiple tracks of a recording.",rdae:P20385,property,rdac:C10006,rdae:P20348,rdae:P20293,,Published,,2,
has recording engineer person,rdae:recordingEngineerPerson.en,Relates an expression to a person who is an audio engineer who contributes to the audio content of an expression by supervising the technical aspects of a recording session.,,,,,recording engineer person,A person who is an audio engineer who contributes to the audio content of an expression by supervising the technical aspects of a recording session.,rdae:P20386,property,rdac:C10006,rdae:P20348,rdae:P20050,,Published,,2,
has letterer person,rdae:lettererPerson.en,"Relates an expression to a person who contributes to an expression of a comic book, graphic novel, etc., by drawing the text and graphic sound effects.",,,,,letterer person,"A person who contributes to an expression of a comic book, graphic novel, etc., by drawing the text and graphic sound effects.",rdae:P20387,property,rdac:C10006,rdae:P20367,rdae:P20259,,Published,,2,
has presenter person,rdae:presenterPerson.en,"Relates an expression to a person who is included in statement of an &quot;X presents:&quot; credit in a manifestation that embodies an expression and who is probably associated with production, finance, or distribution of an expression of a moving image work in some way.",,,,,presenter person,"A person who is included in statement of an &quot;X presents:&quot; credit in a manifestation that embodies an expression and who is probably associated with production, finance, or distribution of an expression of a moving image work in some way.",rdae:P20388,property,rdac:C10006,rdae:P20351,rdae:P20054,,Published,,2,
has creator person of expression,rdae:creatorPersonOfExpression.en,Relates an expression to a person who is responsible for a realization of a work.,"A creator of expression includes a translator, arranger of music, performer, etc. A creator of a work that is realized by an expression is also a creator of expression.",,,,creator person of expression,A person who is responsible for a realization of a work.,rdae:P20389,property,rdac:C10006,rdae:P20302,rdae:P20053,,Published,,2,
has editor person of moving image work,rdae:editorPersonOfMovingImageWork.en,"Relates an expression to a person who is responsible for assembling, arranging, and trimming film, video, or other moving image formats, including both visual and audio aspects.",,,,,editor person of moving image work,"A person who is responsible for assembling, arranging, and trimming film, video, or other moving image formats, including both visual and audio aspects.",rdae:P20390,property,rdac:C10006,rdae:P20367,rdae:P20055,,Published,,2,
has production designer person,rdae:productionDesignerPerson.en,Relates an expression to a person who is responsible for designing the overall visual appearance of a moving image production.,,,,,production designer person,A person who is responsible for designing the overall visual appearance of a moving image production.,rdae:P20391,property,rdac:C10006,rdae:P20366,rdae:P20056,,Published,,2,
has minute taker person,rdae:minuteTakerPerson.en,Relates an expression to a person who is responsible for recording the minutes of a meeting.,,,,,minute taker person,A person who is responsible for recording the minutes of a meeting.,rdae:P20392,property,rdac:C10006,rdae:P20367,rdae:P20058,,Published,,2,
has dubbing director person,rdae:dubbingDirectorPerson.en,Relates an expression to a person who is responsible for the general management and supervision of the process of adding new dialogue or other sounds to complete a soundtrack for an expression.,,,,,dubbing director person,A person who is responsible for the general management and supervision of the process of adding new dialogue or other sounds to complete a soundtrack for an expression.,rdae:P20393,property,rdac:C10006,rdae:P20366,rdae:P20295,,Published,,2,
has animator person,rdae:animatorPerson.en,Relates an expression to a person who contributes to an expression by giving apparent movement to inanimate objects or drawings.,Creation of the drawings that are animated is excluded.,,,,animator person,A person who contributes to an expression by giving apparent movement to inanimate objects or drawings.,rdae:P20394,property,rdac:C10006,rdae:P20366,rdae:P20028,,Published,,2,
has choral conductor collective agent,rdae:choralConductorCollectiveAgent.en,Relates an expression to a collective agent who is a conductor who contributes to an expression by leading a choral performing group in a musical or dramatic presentation.,,,,,choral conductor collective agent,A collective agent who is a conductor who contributes to an expression by leading a choral performing group in a musical or dramatic presentation.,rdae:P20395,property,rdac:C10006,rdae:P20442,rdae:P20285,,Published,,2,
has interviewer collective agent of expression,rdae:interviewerCollectiveAgentOfExpression.en,"Relates an expression to a collective agent who contributes to an expression by acting as an interviewer, reporter, pollster, or some other collective agent who gathers information.",,,,,interviewer collective agent of expression,"A collective agent who contributes to an expression by acting as an interviewer, reporter, pollster, or some other collective agent who gathers information.",rdae:P20396,property,rdac:C10006,rdae:P20425,rdae:P20032,,Published,,2,
has editor collective agent,rdae:editorCollectiveAgent.en,Relates an expression to a collective agent who contributes to an expression by amending content created by other agents in order to meet standards for publication or other use.,"Content includes notated movement, notated music, tactile notated movement, tactile notated music, tactile text, and text.",editor collective agent of text,,,editor collective agent,A collective agent who contributes to an expression by amending content created by other agents in order to meet standards for publication or other use.,rdae:P20397,property,rdac:C10006,rdae:P20426,rdae:P20330,,Published,,2,
has draftsman collective agent,rdae:draftsmanCollectiveAgent.en,"Relates an expression to a collective agent who contributes to an expression by an architect, inventor, or other agent by making detailed plans or drawings for buildings, ships, aircraft, machines, objects, or other constructions.",,,,,draftsman collective agent,"A collective agent who contributes to an expression by an architect, inventor, or other agent by making detailed plans or drawings for buildings, ships, aircraft, machines, objects, or other constructions.",rdae:P20398,property,rdac:C10006,rdae:P20426,rdae:P20033,,Published,,2,
has colourist collective agent,rdae:colouristCollectiveAgent.en,"Relates an expression to a collective agent who contributes to an expression by applying colour to drawings, prints, photographs, maps, moving images, or other content.",,colorist collective agent,,,colourist collective agent,"A collective agent who contributes to an expression by applying colour to drawings, prints, photographs, maps, moving images, or other content.",rdae:P20399,property,rdac:C10006,rdae:P20426,rdae:P20283,,Published,,2,
has makeup artist collective agent,rdae:makeupArtistCollectiveAgent.en,Relates an expression to a collective agent who contributes to an expression by applying makeup and prosthetics for a moving image production or for a musical or dramatic presentation or entertainment.,,,,,makeup artist collective agent,A collective agent who contributes to an expression by applying makeup and prosthetics for a moving image production or for a musical or dramatic presentation or entertainment.,rdae:P20400,property,rdac:C10006,rdae:P20425,rdae:P20284,,Published,,2,
has musical director collective agent,rdae:musicalDirectorCollectiveAgent.en,"Relates an expression to a collective agent who contributes to an expression by coordinating the activities of composers, sound editors, and sound mixers for a moving image production or for a musical or dramatic presentation or entertainment.",,,,,musical director collective agent,"A collective agent who contributes to an expression by coordinating the activities of composers, sound editors, and sound mixers for a moving image production or for a musical or dramatic presentation or entertainment.",rdae:P20401,property,rdac:C10006,rdae:P20425,rdae:P20035,,Published,,2,
has sound designer collective agent,rdae:soundDesignerCollectiveAgent.en,Relates an expression to a collective agent who contributes to an expression by designing and creating audio or sound components.,,,,,sound designer collective agent,A collective agent who contributes to an expression by designing and creating audio or sound components.,rdae:P20402,property,rdac:C10006,rdae:P20425,rdae:P20276,,Published,,2,
has lighting designer collective agent,rdae:lightingDesignerCollectiveAgent.en,Relates an expression to a collective agent who contributes to an expression by designing and creating lighting components.,,,,,lighting designer collective agent,A collective agent who contributes to an expression by designing and creating lighting components.,rdae:P20403,property,rdac:C10006,rdae:P20425,rdae:P20277,,Published,,2,
has costume designer collective agent,rdae:costumeDesignerCollectiveAgent.en,Relates an expression to a collective agent who contributes to an expression by designing costumes for a moving image production or for a musical or dramatic presentation or entertainment.,,,,,costume designer collective agent,A collective agent who contributes to an expression by designing costumes for a moving image production or for a musical or dramatic presentation or entertainment.,rdae:P20404,property,rdac:C10006,rdae:P20425,rdae:P20036,,Published,,2,
has translator collective agent,rdae:translatorCollectiveAgent.en,Relates an expression to a collective agent who contributes to an expression by expressing the linguistic content of the work in a language different from that of previous expressions of the original work.,A translator may also translate linguistic content between forms of the same language from different time periods.,,,,translator collective agent,A collective agent who contributes to an expression by expressing the linguistic content of the work in a language different from that of previous expressions of the original work.,rdae:P20405,property,rdac:C10006,rdae:P20448,rdae:P20037,,Published,,2,
has reviser collective agent,rdae:reviserCollectiveAgent.en,Relates an expression to a collective agent who contributes to an expression by making changes to the content of another expression.,,,,,reviser collective agent,A collective agent who contributes to an expression by making changes to the content of another expression.,rdae:P20406,property,rdac:C10006,rdae:P20448,rdae:P20327,,Published,,2,
has audio engineer collective agent,rdae:audioEngineerCollectiveAgent.en,"Relates an expression to a collective agent who contributes to an expression by managing the technical aspects of sound during the processes of recording, mixing, and reproduction.",,,,,audio engineer collective agent,"A collective agent who contributes to an expression by managing the technical aspects of sound during the processes of recording, mixing, and reproduction.",rdae:P20407,property,rdac:C10006,rdae:P20425,rdae:P20292,,Published,,2,
has DJ collective agent,rdae:djCollectiveAgent.en,Relates an expression to a collective agent who contributes to an expression by mixing recorded tracks together during a live performance or in a recording studio to appear as one continuous track.,"Remixing activities that substantially change the nature and content of an original work, resulting in a new work, and mixing and assembling the multiple tracks of a recording, are excluded.",,,,DJ collective agent,A collective agent who contributes to an expression by mixing recorded tracks together during a live performance or in a recording studio to appear as one continuous track.,rdae:P20408,property,rdac:C10006,rdae:P20425,rdae:P20296,,Published,,2,
has art director collective agent,rdae:artDirectorCollectiveAgent.en,Relates an expression to a collective agent who contributes to an expression by overseeing artists and craftspeople who build sets for moving image productions.,,,,,art director collective agent,A collective agent who contributes to an expression by overseeing artists and craftspeople who build sets for moving image productions.,rdae:P20409,property,rdac:C10006,rdae:P20425,rdae:P20038,,Published,,2,
has performer collective agent,rdae:performerCollectiveAgent.en,"Relates an expression to a collective agent who contributes to an expression by performing music, acting, dancing, speaking, and other roles, often in a musical or dramatic presentation.",,,,,performer collective agent,"A collective agent who contributes to an expression by performing music, acting, dancing, speaking, and other roles, often in a musical or dramatic presentation.",rdae:P20410,property,rdac:C10006,rdae:P20425,rdae:P20039,,Published,,2,
has court reporter collective agent,rdae:courtReporterCollectiveAgent.en,Relates an expression to a collective agent who contributes to an expression by preparing the opinions of a court for publication.,,,,,court reporter collective agent,A collective agent who contributes to an expression by preparing the opinions of a court for publication.,rdae:P20411,property,rdac:C10006,rdae:P20426,rdae:P20040,,Published,,2,
has software developer collective agent,rdae:softwareDeveloperCollectiveAgent.en,"Relates an expression to a collective agent who contributes to an expression by researching, designing, implementing, or testing software.",,,,,software developer collective agent,"A collective agent who contributes to an expression by researching, designing, implementing, or testing software.",rdae:P20412,property,rdac:C10006,rdae:P20426,rdae:P20280,,Published,,2,
has interviewee collective agent of expression,rdae:intervieweeCollectiveAgentOfExpression.en,"Relates an expression to a collective agent who contributes to an expression by responding to an interviewer, usually a reporter, pollster, or some other agent who gathers information.",,,,,interviewee collective agent of expression,"A collective agent who contributes to an expression by responding to an interviewer, usually a reporter, pollster, or some other agent who gathers information.",rdae:P20413,property,rdac:C10006,rdae:P20425,rdae:P20047,,Published,,2,
has restorationist collective agent of expression,rdae:restorationistCollectiveAgentOfExpression.en,"Relates an expression to a collective agent who contributes to an expression by restoring or combining earlier expressions, which may be damaged or fragmentary, to create a new expression.",,,,,restorationist collective agent of expression,"A collective agent who contributes to an expression by restoring or combining earlier expressions, which may be damaged or fragmentary, to create a new expression.",rdae:P20414,property,rdac:C10006,rdae:P20406,rdae:P20289,,Published,,2,
