*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,altLabel[2]_en,altLabel[3]_en,altLabel[4]_en,altLabel[5]_en,altLabel[6]_en,altLabel[7]_en,altLabel[8]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],sameAs[0],*status,instructionNumber,has element type
has generation of digital resource (Deprecated),rdam:generationOfDigitalResource.en,Relates a manifestation to the relationship between an original carrier of a digital resource and the carrier of a reproduction made from the original.,,,,,,,,,,,generation of digital resource (Deprecated),The relationship between an original carrier of a digital resource and the carrier of a reproduction made from the original. (Deprecated),rdam:P30192,property,rdac:C10007,rdam:P30191,,,Deprecated,3/10/2003,
has generation of microform (Deprecated),rdam:generationOfMicroform.en,Relates a manifestation to the relationship between an original microform carrier and the carrier of a reproduction made from the original.,,,,,,,,,,,generation of microform (Deprecated),The relationship between an original microform carrier and the carrier of a reproduction made from the original. (Deprecated),rdam:P30195,property,rdac:C10007,rdam:P30191,,,Deprecated,3/10/2004,
has generation of motion picture film (Deprecated),rdam:generationOfMotionPictureFilm.en,Relates a manifestation to the relationship between an original carrier of a motion picture film resource and the carrier of a reproduction made from the original.,,,,,,,,,,,generation of motion picture film (Deprecated),The relationship between an original carrier of a motion picture film resource and the carrier of a reproduction made from the original. (Deprecated),rdam:P30193,property,rdac:C10007,rdam:P30191,,,Deprecated,3/10/2005,
has generation of videotape (Deprecated),rdam:generationOfVideotape.en,Relates a manifestation to the relationship between an original carrier of a videotape resource and the carrier of a reproduction made from the original.,,,,,,,,,,,generation of videotape (Deprecated),The relationship between an original carrier of a videotape resource and the carrier of a reproduction made from the original. (Deprecated),rdam:P30194,property,rdac:C10007,rdam:P30191,,,Deprecated,3/10/2006,
has groove characteristic,rdam:grooveCharacteristic.en,Relates a manifestation to a groove width of an analog disc or a groove pitch of an analog cylinder.,,,,,,,,,,,groove characteristic,A groove width of an analog disc or a groove pitch of an analog cylinder.,rdam:P30164,property,rdac:C10007,rdam:P30125,,,Published,3.16.5,5
has groove pitch,rdam:groovePitch.en,Relates a manifestation to a groove pitch of an analog cylinder.,,,,,,,,,,,groove pitch,A groove pitch of an analog cylinder.,rdam:P30307,property,rdac:C10007,rdam:P30164,,,Published,,4
has groove width,rdam:grooveWidth.en,Relates a manifestation to a groove width of an analog disc.,,,,,,,,,,,groove width,A groove width of an analog disc.,rdam:P30308,property,rdac:C10007,rdam:P30164,,,Published,,4
has identifier for manifestation,rdam:identifierForManifestation.en,"Relates a manifestation to a nomen that is a n appellation of manifestation that consists of a code, number, or other string, usually independent of natural language and social naming conventions, used to identify a manifestation.","An identifier for the manifestation includes registered identifiers from internationally recognized schemes, other identifiers assigned by publishers and others following internally devised schemes, identifiers known as fingerprints constructed by combining groups of characters from specified pages of early printed resources, publisher's numbers for notated music, and plate numbers for notated music.",,,,,,,,,,identifier for manifestation,"A nomen that is an appellation of manifestation that consists of a code, number, or other string, usually independent of natural language and social naming conventions, used to identify a manifestation.",rdam:P30004,property,rdac:C10007,rdam:P30277,rdax:P00018,,Published,2.15,3
has illustrative content,rdam:illustrativeContent.en,Relates a manifestation to an indication of the kinds of expression of image content that supplement the main expressions that are embodied by an augmentation aggregate.,"Illustrative content applies to an aggregate that embodies an expression with a value of &quot;cartographic image&quot;, &quot;cartographic moving image&quot;, &quot;cartographic tactile image&quot;, &quot;cartographic tactile three-dimensional form&quot;, &quot;cartographic three-dimensional form&quot;, &quot;three-dimensional moving image&quot;, &quot;two-dimensional moving image&quot;, &quot;tactile three-dimensional form&quot;, &quot;three-dimensional form&quot;, &quot;still image&quot;, or &quot;tactile image&quot; for content type. Tables containing only words or numerical data are excluded.",,,,,,,,,,illustrative content,An indication of the kinds of expression of image content that supplement the main expressions that are embodied by an augmentation aggregate.,rdam:P30453,property,rdac:C10007,rdam:P30455,,,Published,7.15,4
has insert,rdam:insert.en,Relates a manifestation to a manifestation that is a separate part of another manifestation.,"An insert includes a map, illustration, or advertising supplement that is not integrated with the other manifestation.",,,,,,,,,,insert,A manifestation that is a separate part of another manifestation.,rdam:P30022,property,rdac:C10007,rdam:P30033,,,Published,24.5,2
is inserted in,rdam:insertedIn.en,Relates a manifestation to a manifestation that includes another manifestation as a separate part.,"An insert includes a map, illustration, or advertising supplement that is not integrated with the other manifestation.",,,,,,,,,,inserted in,A manifestation that includes another manifestation as a separate part.,rdam:P30025,property,rdac:C10007,rdam:P30020,,,Published,24.5,2
has intended audience of manifestation,rdam:intendedAudienceOfManifestation.en,Relates a manifestation to a category of user for which a manifestation is intended.,,,,,,,,,,,intended audience of manifestation,A category of user for which a manifestation is intended.,rdam:P30305,property,rdac:C10007,,,,Published,,5
has ISSN of series (Deprecated),rdam:issnOfSeries.en,Relates a manifestation to an identifier for manifestation that is assigned to a series by an ISSN registration agency. (Deprecated),,,,,,,,,,,ISSN of series (Deprecated),An identifier for manifestation that is assigned to a series by an ISSN registration agency. (Deprecated),rdam:P30166,property,rdac:C10007,,,,Deprecated,2.12.8,2
has ISSN of subseries (Deprecated),rdam:issnOfSubseries.en,Relates a manifestation to an identifier for manifestation that is assigned to a subseries by an ISSN registration agency. (Deprecated),,,,,,,,,,,ISSN of subseries (Deprecated),An identifier for manifestation that is assigned to a subseries by an ISSN registration agency. (Deprecated),rdam:P30167,property,rdac:C10007,,,,Deprecated,2.12.16,2
is issued with,rdam:issuedWith.en,Relates a manifestation to a manifestation that is issued on the same carrier as a manifestation being described.,,,,,,,,,,,issued with,A manifestation that is issued on the same carrier as a manifestation being described.,rdam:P30035,property,rdac:C10007,rdam:P30027,,,Published,24.5,2
has key title (Deprecated),rdam:keyTitle.en,Relates a manifestation to a title that is unique assigned to a manifestation by an ISSN registration agency. (Deprecated),,,,,,,,,,,key title (Deprecated),A title that is unique assigned to a manifestation by an ISSN registration agency. (Deprecated),rdam:P30209,property,rdac:C10007,rdam:P30134,,,Deprecated,2.3.9,2
has last alphanumeric designation of alternative sequence,rdam:lastAlphanumericDesignationOfAlternativeSequence.en,Relates a manifestation to a nomen that is a designation in the form of numbers or alphabetic characters that is used to indicate the last in a concurrent sequence of numbering of the parts or iterations of a manifestation.,,alternative numeric and/or alphabetic designation of last issue or part of sequence,,,,,,,,,last alphanumeric designation of alternative sequence,A nomen that is a designation in the form of numbers or alphabetic characters that is used to indicate the last in a concurrent sequence of numbering of the parts or iterations of a manifestation.,rdam:P30098,property,rdac:C10007,rdam:P30148,,,Published,2.6.8,6
has last alphanumeric designation of sequence,rdam:lastAlphanumericDesignationOfSequence.en,Relates a manifestation to a nomen that is a designation in the form of numbers or alphabetic characters that is used to indicate the last in a sequence of numbering of the parts or iterations of a manifestation.,,numeric and/or alphabetic designation of last issue or part of sequence,,,,,,,,,last alphanumeric designation of sequence,A nomen that is a designation in the form of numbers or alphabetic characters that is used to indicate the last in a sequence of numbering of the parts or iterations of a manifestation.,rdam:P30148,property,rdac:C10007,rdam:P30274,,,Published,2.6.4,6
has last chronological designation of alternative sequence,rdam:lastChronologicalDesignationOfAlternativeSequence.en,Relates a manifestation to a nomen that is a designation in the form of a date or other timespan that is used to indicate the last in a concurrent sequence of numbering of the parts or iterations of a manifestation.,"A designation includes a year; year and month; month, day, and year. A chronological designation of alternative sequence may include a date in a different calendar.",alternative chronological designation of last issue or part of sequence,,,,,,,,,last chronological designation of alternative sequence,A nomen that is a designation in the form of a date or other timespan that is used to indicate the last in a concurrent sequence of numbering of the parts or iterations of a manifestation.,rdam:P30100,property,rdac:C10007,rdam:P30150,,,Published,2.6.9,6
has last chronological designation of sequence,rdam:lastChronologicalDesignationOfSequence.en,Relates a manifestation to a nomen that is a designation in the form of a date or other timespan that is used to indicate the last in a sequence of numbering of the parts or iterations of a manifestation.,"A designation includes a year; year and month; month, day, and year.",chronological designation of last issue or part of sequence,,,,,,,,,last chronological designation of sequence,A nomen that is a designation in the form of a date or other timespan that is used to indicate the last in a sequence of numbering of the parts or iterations of a manifestation.,rdam:P30150,property,rdac:C10007,rdam:P30274,,,Published,2.6.5,6
has later title proper (Deprecated),rdam:laterTitleProper.en,Relates a manifestation to a title proper appearing on a later issue or part of a multipart monograph or serial that differs from that on the first or earliest issue or part. (Deprecated),,,,,,,,,,,later title proper (Deprecated),A title proper appearing on a later issue or part of a multipart monograph or serial that differs from that on the first or earliest issue or part. (Deprecated),rdam:P30129,property,rdac:C10007,rdam:P30156,,,Deprecated,2.3.8,3
has layout,rdam:layout.en,"Relates a manifestation to an arrangement of text, images, tactile notation, or other content in a manifestation.",,,,,,,,,,,layout,"An arrangement of text, images, tactile notation, or other content in a manifestation.",rdam:P30155,property,rdac:C10007,,,,Published,3.11,4
has lithographer agent,rdam:lithographerAgent.en,Relates a manifestation to an agent who is responsible for manufacturing a manifestation by preparing a stone or plate for lithographic printing.,A lithographer includes a graphic artist creating a design directly on the surface from which printing will be done.,lithographer,,,,,,,,,lithographer agent,An agent who is responsible for manufacturing a manifestation by preparing a stone or plate for lithographic printing.,rdam:P30074,property,rdac:C10007,rdam:P30082,,,Published,18.5,2
has lithographer collective agent,rdam:lithographerCollectiveAgent.en,Relates a manifestation to a collective agent who is responsible for manufacturing a manifestation by preparing a stone or plate for lithographic printing.,A lithographer includes a graphic artist creating a design directly on the surface from which printing will be done.,,,,,,,,,,lithographer collective agent,A collective agent who is responsible for manufacturing a manifestation by preparing a stone or plate for lithographic printing.,rdam:P30383,property,rdac:C10007,rdam:P30390,rdam:P30074,,Published,,2
has lithographer corporate body,rdam:lithographerCorporateBody.en,Relates a manifestation to a corporate body who is responsible for manufacturing a manifestation by preparing a stone or plate for lithographic printing.,A lithographer includes a graphic artist creating a design directly on the surface from which printing will be done.,,,,,,,,,,lithographer corporate body,A corporate body who is responsible for manufacturing a manifestation by preparing a stone or plate for lithographic printing.,rdam:P30412,property,rdac:C10007,rdam:P30419,rdam:P30383,,Published,,2
has lithographer family,rdam:lithographerFamily.en,Relates a manifestation to a family who is responsible for manufacturing a manifestation by preparing a stone or plate for lithographic printing.,A lithographer includes a graphic artist creating a design directly on the surface from which printing will be done.,,,,,,,,,,lithographer family,A family who is responsible for manufacturing a manifestation by preparing a stone or plate for lithographic printing.,rdam:P30441,property,rdac:C10007,rdam:P30448,rdam:P30383,,Published,,2
has lithographer person,rdam:lithographerPerson.en,Relates a manifestation to a person who is responsible for manufacturing a manifestation by preparing a stone or plate for lithographic printing.,A lithographer includes a graphic artist creating a design directly on the surface from which printing will be done.,,,,,,,,,,lithographer person,A person who is responsible for manufacturing a manifestation by preparing a stone or plate for lithographic printing.,rdam:P30354,property,rdac:C10007,rdam:P30361,rdam:P30074,,Published,,2
is manifestation analysed in,rdam:manifestationAnalysedIn.en,Relates a manifestation to a work that describes the structure and composition of a manifestation.,,analysed in (manifestation),,,,,,,,,manifestation analysed in,A work that describes the structure and composition of a manifestation.,rdam:P30255,property,rdac:C10007,rdam:P30254,,,Published,23.5,2
is manifestation commentary in,rdam:manifestationCommentaryIn.en,Relates a manifestation to a work that is a set of explanatory or critical notes on a manifestation.,,commentary in (manifestation),,,,,,,,,manifestation commentary in,A work that is a set of explanatory or critical notes on a manifestation.,rdam:P30256,property,rdac:C10007,rdam:P30254,,,Published,23.5,2
has manifestation copyright statement,rdam:manifestationCopyrightStatement.en,Relates a manifestation to a manifestation statement about a date that is associated with a claim of protection under copyright or a similar regime.,A copyright date includes a phonogram date that is associated with a claim of protection for an audio recording.,,,,,,,,,,manifestation copyright statement,A manifestation statement about a date that is associated with a claim of protection under copyright or a similar regime.,rdam:P30280,property,rdac:C10007,rdam:P30292,,,Published,,6
is manifestation critiqued in,rdam:manifestationCritiquedIn.en,Relates a manifestation to a work that is a critical evaluation of a manifestation.,,critiqued in (manifestation),,,,,,,,,manifestation critiqued in,A work that is a critical evaluation of a manifestation.,rdam:P30257,property,rdac:C10007,rdam:P30254,,,Published,23.5,2
is manifestation described in,rdam:manifestationDescribedIn.en,Relates a manifestation to a work that describes a manifestation.,,described in (manifestation),,,,,,,,,manifestation described in,A work that describes a manifestation.,rdam:P30254,property,rdac:C10007,rdam:P30253,,,Published,23.5,2
has manifestation designation of sequence statement,rdam:manifestationDesignationOfSequenceStatement.en,Relates a manifestation to a manifestation statement about the numbering of a sequence of manifestations of the individual parts or iteration of a manifestation or parts or issues of a work.,A statement includes an alphanumeric or chronological designation.,,,,,,,,,,manifestation designation of sequence statement,A manifestation statement about the numbering of a sequence of manifestations of the individual parts or iteration of a manifestation or parts or issues of a work.,rdam:P30281,property,rdac:C10007,rdam:P30292,,,Published,,6
has manifestation dissertation statement,rdam:manifestationDissertationStatement.en,Relates a manifestation to a manifestation statement about thesis or other dissertation information.,"A statement includes any or all of a degree title, year of award, or granting institution.",,,,,,,,,,manifestation dissertation statement,A manifestation statement about thesis or other dissertation information.,rdam:P30282,property,rdac:C10007,rdam:P30292,,,Published,,6
has manifestation distribution statement,rdam:manifestationDistributionStatement.en,Relates a manifestation to a manifestation statement about data relating to the distribution of a published manifestation.,A statement includes any or all of place or date of distribution or name of distributor.,,,,,,,,,,manifestation distribution statement,A manifestation statement about data relating to the distribution of a published manifestation.,rdam:P30283,property,rdac:C10007,rdam:P30292,,,Published,,6
has manifestation edition statement,rdam:manifestationEditionStatement.en,Relates a manifestation to a manifestation statement about an edition to which a manifestation belongs.,"A statement includes any or all of designation of edition or named revision of edition, or a statement of responsibility relating to an edition or revision.",,,,,,,,,,manifestation edition statement,A manifestation statement about an edition to which a manifestation belongs.,rdam:P30284,property,rdac:C10007,rdam:P30292,,,Published,,6
is manifestation evaluated in,rdam:manifestationEvaluatedIn.en,Relates a manifestation to a work that examines or judges a manifestation.,,evaluated in (manifestation),,,,,,,,,manifestation evaluated in,A work that examines or judges a manifestation.,rdam:P30258,property,rdac:C10007,rdam:P30254,,,Published,23.5,2
has manifestation frequency statement,rdam:manifestationFrequencyStatement.en,"Relates a manifestation to a manifestation statement about an interval at which the manifestations of parts, issues, or iterations of a diachronic work are issued.",,,,,,,,,,,manifestation frequency statement,"A manifestation statement about an interval at which the manifestations of parts, issues, or iterations of a diachronic work are issued.",rdam:P30285,property,rdac:C10007,rdam:P30292,,,Published,,6
has manifestation identifier statement,rdam:manifestationIdentifierStatement.en,"Relates a manifestation to a manifestation statement about a code, number, or other string, usually independent of natural language and social naming conventions, used to identify a work, expression, or manifestation.","A statement includes any or all of fingerprint, plate and publisher number for notated music, ISSN of series or subseries, or other identifier for manifestation.",,,,,,,,,,manifestation identifier statement,"A manifestation statement about a code, number, or other string, usually independent of natural language and social naming conventions, used to identify a work, expression, or manifestation.",rdam:P30286,property,rdac:C10007,rdam:P30292,,,Published,,6
has manifestation manufacture statement,rdam:manifestationManufactureStatement.en,"Relates a manifestation to a manifestation statement about data relating to the printing, duplicating, casting, or other method of manufacturing of a published manifestation.",A statement includes any or all of place or date of manufacture or name of manufacturer.,,,,,,,,,,manifestation manufacture statement,"A manifestation statement about data relating to the printing, duplicating, casting, or other method of manufacturing of a published manifestation.",rdam:P30287,property,rdac:C10007,rdam:P30292,,,Published,,6
has manifestation production statement,rdam:manifestationProductionStatement.en,"Relates a manifestation to a manifestation statement about data relating to the inscription, fabrication, construction, or other method of production of an unpublished manifestation.",A statement includes any or all of place or date of production or name of producer.,,,,,,,,,,manifestation production statement,"A manifestation statement about data relating to the inscription, fabrication, construction, or other method of production of an unpublished manifestation.",rdam:P30288,property,rdac:C10007,rdam:P30292,,,Published,,6
has manifestation publication statement,rdam:manifestationPublicationStatement.en,"Relates a manifestation to a manifestation statement about the publication, release, or issuing of a manifestation.",A statement includes any or all of place or date of publication or name of publisher.,,,,,,,,,,manifestation publication statement,"A manifestation statement about the publication, release, or issuing of a manifestation.",rdam:P30289,property,rdac:C10007,rdam:P30292,,,Published,,6
has manifestation regional encoding statement,rdam:manifestationRegionalEncodingStatement.en,"Relates a manifestation to a manifestation statement about a designation for one or more regions of the world for which a videodisc or video game carrier has been encoded, indicating that playback is restricted to a device configured to decode it.",,,,,,,,,,,manifestation regional encoding statement,"A manifestation statement about a designation for one or more regions of the world for which a videodisc or video game carrier has been encoded, indicating that playback is restricted to a device configured to decode it.",rdam:P30290,property,rdac:C10007,rdam:P30292,,,Published,,6
is manifestation reviewed in,rdam:manifestationReviewedIn.en,Relates a manifestation to a work that is a brief evaluation of a manifestation.,,reviewed in (manifestation),,,,,,,,,manifestation reviewed in,A work that is a brief evaluation of a manifestation.,rdam:P30259,property,rdac:C10007,rdam:P30254,,,Published,23.5,2
has manifestation series statement,rdam:manifestationSeriesStatement.en,Relates a manifestation to a manifestation statement about a series that is associated with a manifestation and a numbering of a manifestation within the series.,"A manifestation series statement includes any or all of title of series, other title information of series, statement of responsibility relating to series, ISSN, or numbering within sequence.",,,,,,,,,,manifestation series statement,A manifestation statement about a series that is associated with a manifestation and a numbering of a manifestation within the series.,rdam:P30291,property,rdac:C10007,rdam:P30292,,,Published,,6
has manifestation statement,rdam:manifestationStatement.en,Relates a manifestation to a statement appearing in a manifestation and deemed to be significant for users to understand how the manifestation represents itself.,,,,,,,,,,,manifestation statement,A statement appearing in a manifestation and deemed to be significant for users to understand how the manifestation represents itself.,rdam:P30292,property,rdac:C10007,,,,Published,,6
has manifestation title and responsibility statement,rdam:manifestationTitleAndResponsibilityStatement.en,Relates a manifestation to a manifestation statement about the titles of a manifestation and the names of agents who are responsible for the content of an expression that is embodied by a manifestation.,"A manifestation title and responsibility statement includes any kind of title or statement of responsibility that is associated with the content of the manifestation, but does not include a title or statement of responsibility that is associated with an edition, revision or series that is related to the manifestation.",,,,,,,,,,manifestation title and responsibility statement,A manifestation statement about the titles of a manifestation and the names of agents who are responsible for the content of an expression that is embodied by a manifestation.,rdam:P30293,property,rdac:C10007,rdam:P30292,,,Published,,6
has manufacture statement,rdam:manufactureStatement.en,"Relates a manifestation to a statement that identifies a place of manufacture, a manufacturer, or a date of manufacture of a published manifestation.","A manufacture statement includes a statement about the printing, duplicating, casting, or other method of manufacturing of a published manifestation.",,,,,,,,,,manufacture statement,"A statement that identifies a place of manufacture, a manufacturer, or a date of manufacture of a published manifestation.",rdam:P30109,property,rdac:C10007,,,,Published,2.1,6
has manufacturer agent,rdam:manufacturerAgent.en,"Relates a manifestation to an agent who is responsible for printing, duplicating, casting, or other method of manufacturing a published manifestation.",,manufacturer,,,,,,,,,manufacturer agent,"An agent who is responsible for printing, duplicating, casting, or other method of manufacturing a published manifestation.",rdam:P30082,property,rdac:C10007,rdam:P30329,,,Published,21.5,2
has manufacturer collective agent,rdam:manufacturerCollectiveAgent.en,"Relates a manifestation to a collective agent who is responsible for printing, duplicating, casting, or other method of manufacturing a published manifestation.",,,,,,,,,,,manufacturer collective agent,"A collective agent who is responsible for printing, duplicating, casting, or other method of manufacturing a published manifestation.",rdam:P30390,property,rdac:C10007,rdam:P30392,rdam:P30082,,Published,,2
has manufacturer corporate body,rdam:manufacturerCorporateBody.en,"Relates a manifestation to a corporate body who is responsible for printing, duplicating, casting, or other method of manufacturing a published manifestation.",,,,,,,,,,,manufacturer corporate body,"A corporate body who is responsible for printing, duplicating, casting, or other method of manufacturing a published manifestation.",rdam:P30419,property,rdac:C10007,rdam:P30421,rdam:P30390,,Published,,2
has manufacturer family,rdam:manufacturerFamily.en,"Relates a manifestation to a family who is responsible for printing, duplicating, casting, or other method of manufacturing a published manifestation.",,,,,,,,,,,manufacturer family,"A family who is responsible for printing, duplicating, casting, or other method of manufacturing a published manifestation.",rdam:P30448,property,rdac:C10007,rdam:P30450,rdam:P30390,,Published,,2
has manufacturer person,rdam:manufacturerPerson.en,"Relates a manifestation to a person who is responsible for printing, duplicating, casting, or other method of manufacturing a published manifestation.",,,,,,,,,,,manufacturer person,"A person who is responsible for printing, duplicating, casting, or other method of manufacturing a published manifestation.",rdam:P30361,property,rdac:C10007,rdam:P30363,rdam:P30082,,Published,,2
has material,rdam:material.en,Relates a manifestation to a physical or chemical substance that is used to create a manifestation.,,,,,,,,,,,material,A physical or chemical substance that is used to create a manifestation.,rdam:P30304,property,rdac:C10007,,,,Published,,4
has media type,rdam:mediaType.en,"Relates a manifestation to a categorization reflecting the general type of intermediation device required to view, play, run, or otherwise access the content of a manifestation.",,,,,,,,,,,media type,"A categorization reflecting the general type of intermediation device required to view, play, run, or otherwise access the content of a manifestation.",rdam:P30002,property,rdac:C10007,,,,Published,3.2,4
has mirror site,rdam:mirrorSite.en,Relates a manifestation to a manifestation that is an exact copy of a website that is used to reduce network traffic or improve the availability of the content of the original site.,,,,,,,,,,,mirror site,A manifestation that is an exact copy of a website that is used to reduce network traffic or improve the availability of the content of the original site.,rdam:P30028,property,rdac:C10007,rdam:P30024,,,Published,24.5,2
has mode of issuance,rdam:modeOfIssuance.en,Relates a manifestation to a categorization reflecting whether a manifestation is issued in one or more units.,,,,,,,,,,,mode of issuance,A categorization reflecting whether a manifestation is issued in one or more units.,rdam:P30003,property,rdac:C10007,,,,Published,2.13,4
has mount,rdam:mount.en,Relates a manifestation to a physical material used for the support or backing to which the base material of a manifestation has been attached.,,,,,,,,,,,mount,A physical material used for the support or backing to which the base material of a manifestation has been attached.,rdam:P30186,property,rdac:C10007,,,,Published,3.8,4
has name of agent of manifestation,rdam:nameOfAgentOfManifestation.en,"Relates a manifestation to a nomen that is a name of an agent who is responsible for distributing, printing, duplicating, casting, publishing, releasing, or issuing a published manifestation, or inscribing, fabricating, constructing, or other method of producing an unpublished manifestation.",,,,,,,,,,,name of agent of manifestation,"A nomen that is a name of an agent who is responsible for distributing, printing, duplicating, casting, publishing, releasing, or issuing a published manifestation, or inscribing, fabricating, constructing, or other method of producing an unpublished manifestation.",rdam:P30297,property,rdac:C10007,rdam:P30274,,,Published,,3
has name of distributor,rdam:nameOfDistributor.en,Relates a manifestation to a nomen that is a name of an agent who is responsible for distributing a published manifestation.,,distributor's name,,,,,,,,,name of distributor,A nomen that is a name of an agent who is responsible for distributing a published manifestation.,rdam:P30173,property,rdac:C10007,rdam:P30297,,,Published,2.9.4,3
has name of manufacturer,rdam:nameOfManufacturer.en,"Relates a manifestation to a nomen that is a name of an agent who is responsible for printing, duplicating, casting, or other method of manufacturing a published manifestation.",,manufacturer's name,,,,,,,,,name of manufacturer,"A nomen that is a name of an agent who is responsible for printing, duplicating, casting, or other method of manufacturing a published manifestation.",rdam:P30175,property,rdac:C10007,rdam:P30297,,,Published,2.10.4,3
has name of producer,rdam:nameOfProducer.en,"Relates a manifestation to a nomen that is a name of an agent who is responsible for inscribing, fabricating, constructing, or other method of producing an unpublished manifestation.",,producer's name,,,,,,,,,name of producer,"A nomen that is a name of an agent who is responsible for inscribing, fabricating, constructing, or other method of producing an unpublished manifestation.",rdam:P30174,property,rdac:C10007,rdam:P30297,,,Published,2.7.4,3
has name of publisher,rdam:nameOfPublisher.en,Relates a manifestation to a nomen that is a name of an agent who is responsible for publishing a manifestation.,Publication includes release and issuance.,publisher's name,,,,,,,,,name of publisher,A nomen that is a name of an agent who is responsible for publishing a manifestation.,rdam:P30176,property,rdac:C10007,rdam:P30297,,,Published,2.8.4,3
has note on carrier,rdam:noteOnCarrier.en,Relates a manifestation to a note on manifestation that provides information on attributes of a carrier of a manifestation.,,,,,,,,,,,note on carrier,A note on manifestation that provides information on attributes of a carrier of a manifestation.,rdam:P30214,property,rdac:C10007,rdam:P30137,,,Published,3.21,6
has note on changes in carrier characteristics,rdam:noteOnChangesInCarrierCharacteristics.en,"Relates a manifestation to a note on manifestation that provides information on variations in the carrier characteristics that are found on manifestations of parts, issues, or iterations of a diachronic work.",,,,,,,,,,,note on changes in carrier characteristics,"A note on manifestation that provides information on variations in the carrier characteristics that are found on manifestations of parts, issues, or iterations of a diachronic work.",rdam:P30051,property,rdac:C10007,rdam:P30214,,,Published,3.21.4,6
has note on copyright date,rdam:noteOnCopyrightDate.en,Relates a manifestation to a note on manifestation that provides information on a copyright date.,,,,,,,,,,,note on copyright date,A note on manifestation that provides information on a copyright date.,rdam:P30059,property,rdac:C10007,rdam:P30137,,,Published,2.17.10,6
has note on dimensions of manifestation,rdam:noteOnDimensionsOfManifestation.en,Relates a manifestation to a note on manifestation that provides information on the dimensions of a manifestation.,,,,,,,,,,,note on dimensions of manifestation,A note on manifestation that provides information on the dimensions of a manifestation.,rdam:P30060,property,rdac:C10007,rdam:P30214,,,Published,3.21.3,6
has note on distribution statement,rdam:noteOnDistributionStatement.en,Relates a manifestation to a note on manifestation that provides information on the distribution of a manifestation.,,,,,,,,,,,note on distribution statement,A note on manifestation that provides information on the distribution of a manifestation.,rdam:P30052,property,rdac:C10007,rdam:P30137,,,Published,2.17.8,6
has note on edition statement,rdam:noteOnEditionStatement.en,Relates a manifestation to a note on manifestation that provides information on an edition of a manifestation.,,,,,,,,,,,note on edition statement,A note on manifestation that provides information on an edition of a manifestation.,rdam:P30064,property,rdac:C10007,rdam:P30137,,,Published,2.17.4,6
has note on extent of manifestation,rdam:noteOnExtentOfManifestation.en,Relates a manifestation to a note on manifestation that provides information on the extent of a manifestation.,,,,,,,,,,,note on extent of manifestation,A note on manifestation that provides information on the extent of a manifestation.,rdam:P30061,property,rdac:C10007,rdam:P30214,,,Published,3.21.2,6
has note on frequency (Deprecated),rdam:noteOnFrequency.en,"Relates a manifestation to a note providing details on the currency of the contents, on the frequency of release of issues or parts of a serial or the frequency of updates to an integrating resource, or on changes in frequency. (Deprecated)",,,,,,,,,,,note on frequency (Deprecated),"A note providing details on the currency of the contents, on the frequency of release of issues or parts of a serial or the frequency of updates to an integrating resource, or on changes in frequency. (Deprecated)",rdam:P30056,property,rdac:C10007,rdam:P30137,,,Deprecated,2.17.12,6
has note on identifier for manifestation,rdam:noteOnIdentifierForManifestation.en,Relates a manifestation to a note on manifestation that provides information on an identifier for a manifestation.,,,,,,,,,,,note on identifier for manifestation,A note on manifestation that provides information on an identifier for a manifestation.,rdam:P30260,property,rdac:C10007,rdam:P30137,,,Published,2.17.14,6
"has note on issue, part, or iteration used as basis for identification of manifestation",rdam:noteOnIssuePartOrIterationUsedAsBasisForIdentificationOfManifestation.en,Relates a manifestation to a note that identifies a part or iteration that is used for the base description of a multiunit or integrating manifestation.,,,,,,,,,,,"note on issue, part, or iteration used as basis for identification of manifestation",A note that identifies a part or iteration that is used for the base description of a multiunit or integrating manifestation.,rdam:P30050,property,rdac:C10007,rdam:P30137,,,Published,2.17.13,6
has note on manifestation,rdam:noteOnManifestation.en,Relates a manifestation to a broad unstructured description of one or more attributes of a manifestation.,,note on frequency,,,,,,,,,note on manifestation,A broad unstructured description of one or more attributes of a manifestation.,rdam:P30137,property,rdac:C10007,rdax:P00015,,,Published,2.17,6
has note on manufacture statement,rdam:noteOnManufactureStatement.en,Relates a manifestation to a note on manifestation that provides information on the manufacture of a manifestation.,,,,,,,,,,,note on manufacture statement,A note on manifestation that provides information on the manufacture of a manifestation.,rdam:P30053,property,rdac:C10007,rdam:P30137,,,Published,2.17.9,6
has note on numbering of sequence,rdam:noteOnNumberingOfSequence.en,Relates a manifestation to a note on manifestation that provides information on the range of designators that is used to indicate a sequence of the individual parts or iterations of a manifestation.,,note on numbering of serials,,,,,,,,,note on numbering of sequence,A note on manifestation that provides information on the range of designators that is used to indicate a sequence of the individual parts or iterations of a manifestation.,rdam:P30062,property,rdac:C10007,rdam:P30137,,,Published,2.17.5,6
has note on production statement,rdam:noteOnProductionStatement.en,Relates a manifestation to a note on manifestation that provides information on the production of a manifestation.,,,,,,,,,,,note on production statement,A note on manifestation that provides information on the production of a manifestation.,rdam:P30054,property,rdac:C10007,rdam:P30137,,,Published,2.17.6,6
