*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,altLabel[2]_en,altLabel[3]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],*status,instructionNumber,has element type,See Also[0]
has transformation by genre,rdaw:transformationByGenre.en,Relates a work to a work that is created by changing the genre or literary form of a work.,,,,,,transformation by genre,A work that is created by changing the genre or literary form of a work.,rdaw:P10342,property,rdac:C10001,rdaw:P10336,,Published,,2,
is transformation by genre of,rdaw:transformationByGenreOf.en,Relates a work to a work that has a genre that is changed to create a work.,,,,,,transformation by genre of,A work that has a genre that is changed to create a work.,rdaw:P10343,property,rdac:C10001,rdaw:P10337,,Published,,2,
has transformation by policy,rdaw:transformationByPolicy.en,Relates a work to a work that is created by changing the scope or editorial policy of a work.,,,,,,transformation by policy,A work that is created by changing the scope or editorial policy of a work.,rdaw:P10344,property,rdac:C10001,rdaw:P10336,,Published,,2,
is transformation by policy of,rdaw:transformationByPolicyOf.en,Relates a work to a work that has a scope or editorial policy that is changed to create a work.,,,,,,transformation by policy of,A work that has a scope or editorial policy that is changed to create a work.,rdaw:P10345,property,rdac:C10001,rdaw:P10337,,Published,,2,
has representative expression,rdaw:representativeExpression.en,Relates a work to an expression that is considered a canonical source of data for identifying a work.,,,,,,representative expression,An expression that is considered a canonical source of data for identifying a work.,rdaw:P10346,property,rdac:C10001,rdaw:P10078,,Published,,2,
has aspect ratio of representative expression,rdaw:aspectRatioOfRepresentativeExpression.en,Relates a work to a numerical ratio of the width to the height of a representative expression of a moving image work.,,,,,,aspect ratio of representative expression,A numerical ratio of the width to the height of a representative expression of a moving image work.,rdaw:P10347,property,rdac:C10001,,,Published,,3,
has colour content of representative expression,rdaw:colourContentOfRepresentativeExpression.en,Relates a work to an indication of the presence of colour or tone in the content of a representative expression of a work.,,color content of representative expression,,,,colour content of representative expression,An indication of the presence of colour or tone in the content of a representative expression of a work.,rdaw:P10348,property,rdac:C10001,,,Published,,4,
has content type of representative expression,rdaw:contentTypeOfRepresentativeExpression.en,Relates a work to a categorization of a representative expression that reflects the fundamental form of communication in which the content is expressed and the human sense through which it is intended to be perceived.,,,,,,content type of representative expression,A categorization of a representative expression that reflects the fundamental form of communication in which the content is expressed and the human sense through which it is intended to be perceived.,rdaw:P10349,property,rdac:C10001,,,Published,,4,
has date of capture of representative expression,rdaw:dateOfCaptureOfRepresentativeExpression.en,"Relates a work to a timespan that is associated with recording, filming, etc., the content of a representative expression.",,,,,,date of capture of representative expression,"A timespan that is associated with recording, filming, etc., the content of a representative expression.",rdaw:P10350,property,rdac:C10001,rdaw:P10219,,Published,,3,
has duration of representative expression,rdaw:durationOfRepresentativeExpression.en,"Relates a work to an extent of expression of a representative expression of a work that is a playing time, performance time, running time, or other length of time.",,,,,,duration of representative expression,"An extent of expression of a representative expression of a work that is a playing time, performance time, running time, or other length of time.",rdaw:P10351,property,rdac:C10001,rdaw:P10317,,Published,,3,
has extent of representative expression,rdaw:extentOfRepresentativeExpression.en,"Relates a work to a type, number, and measurement unit that quantify an aspect of the extent of a representative expression of a work.",,,,,,extent of representative expression,"A type, number, and measurement unit that quantify an aspect of the extent of a representative expression of a work.",rdaw:P10352,property,rdac:C10001,,,Published,,6,
has language of representative expression,rdaw:languageOfRepresentativeExpression.en,Relates a work to a language used for the content of a representative expression of a work.,,,,,,language of representative expression,A language used for the content of a representative expression of a work.,rdaw:P10353,property,rdac:C10001,,,Published,,5,
has place of capture of representative expression,rdaw:placeOfCaptureOfRepresentativeExpression.en,"Relates a work to a place that is associated with recording, filming, etc., the content of a representative expression.",,,,,,place of capture of representative expression,"A place that is associated with recording, filming, etc., the content of a representative expression.",rdaw:P10354,property,rdac:C10001,rdaw:P10316,,Published,,3,
has projection of cartographic content of representative expression,rdaw:projectionOfCartographicContentOfRepresentativeExpression.en,Relates a work to a method or system used to represent the surface of the earth or of a celestial sphere on a plane in a representative expression of a work.,,,,,,projection of cartographic content of representative expression,A method or system used to represent the surface of the earth or of a celestial sphere on a plane in a representative expression of a work.,rdaw:P10355,property,rdac:C10001,,,Published,,5,
has scale of representative expression,rdaw:scaleOfRepresentativeExpression.en,Relates a work to a ratio of the dimensions of a representative expression of an image or three-dimensional form to the dimensions of the thing that is represented.,,,,,,scale of representative expression,A ratio of the dimensions of a representative expression of an image or three-dimensional form to the dimensions of the thing that is represented.,rdaw:P10356,property,rdac:C10001,,,Published,,3,
has script of representative expression,rdaw:scriptOfRepresentativeExpression.en,Relates a work to a set of characters or symbols used to express written language content of a representative expression of a work.,,,,,,script of representative expression,A set of characters or symbols used to express written language content of a representative expression of a work.,rdaw:P10357,property,rdac:C10001,,,Published,,5,
has sound content of representative expression,rdaw:soundContentOfRepresentativeExpression.en,Relates a work to a presence or absence of sound in a representative expression of a work.,,,,,,sound content of representative expression,A presence or absence of sound in a representative expression of a work.,rdaw:P10358,property,rdac:C10001,,,Published,,4,
is critique of RDA entity,rdaw:critiqueOfRDAEntity.en,Relates a work to an RDA entity that is critically evaluated by a work.,,,,,,critique of RDA entity,An RDA entity that is critically evaluated by a work.,rdaw:P10359,property,rdac:C10001,rdaw:P10361,,Published,,2,
is description of RDA entity,rdaw:descriptionOfRDAEntity.en,Relates a work to an RDA entity that is described by a work.,,,,,,description of RDA entity,An RDA entity that is described by a work.,rdaw:P10360,property,rdac:C10001,rdaw:P10324,,Published,,2,
is evaluation of RDA entity,rdaw:evaluationOfRDAEntity.en,Relates a work to an RDA entity that is examined or judged by a work.,,,,,,evaluation of RDA entity,An RDA entity that is examined or judged by a work.,rdaw:P10361,property,rdac:C10001,rdaw:P10324,,Published,,2,
is review of RDA entity,rdaw:reviewOfRDAEntity.en,Relates a work to an RDA entity that is briefly evaluated by a work.,,,,,,review of RDA entity,An RDA entity that is briefly evaluated by a work.,rdaw:P10362,property,rdac:C10001,rdaw:P10361,,Published,,2,
is binding of manifestation of,rdaw:bindingOfManifestationOf.en,Relates a work to a manifestation that is bound.,,,,,,binding of manifestation of,A manifestation that is bound.,rdaw:P10363,property,rdac:C10001,rdaw:P10309,,Published,,2,
is binding of item of,rdaw:bindingOfItemOf.en,Relates a work to an item that is bound.,,,,,,binding of item of,An item that is bound.,rdaw:P10364,property,rdac:C10001,rdaw:P10310,,Published,,2,
has extension plan,rdaw:extensionPlan.en,Relates a work to a categorization that reflects an intention to extend the content of a work.,,,,,,extension plan,A categorization that reflects an intention to extend the content of a work.,rdaw:P10365,property,rdac:C10001,,,Published,,4,
has ISSN,rdaw:issn.en,Relates a work to a nomen that is an identifier for work that is assigned by an ISSN registration agency.,,International Standard Serial Number,ISSN of subseries,ISSN of series,,ISSN,A nomen that is an identifier for work that is assigned by an ISSN registration agency.,rdaw:P10366,property,rdac:C10001,rdaw:P10002,,Published,,2,
has key title,rdaw:keyTitle.en,Relates a work to a nomen that is a title of work that is assigned by an ISSN registration agency.,,,,,,key title,A nomen that is a title of work that is assigned by an ISSN registration agency.,rdaw:P10367,property,rdac:C10001,rdaw:P10088,,Published,,2,
has frequency,rdaw:frequency.en,"Relates a work to an interval at which a part, issue, or iteration of a diachronic work is issued.",,,,,,frequency,"An interval at which a part, issue, or iteration of a diachronic work is issued.",rdaw:P10368,property,rdac:C10001,,,Published,,4,
is lyrics for work,rdaw:lyricsForWork.en,Relates a work to a work that is a musical work that is complemented by a textual work.,"Lyrics exclude text for an opera or other work for the musical stage, or an oratorio,",,,,,lyrics for work,A work that is a musical work that is complemented by a textual work.,rdaw:P10369,property,rdac:C10001,rdaw:P10372,,Published,,2,
has lyrics work,rdaw:lyricsWork.en,Relates a work to a work that is a textual work that complements a musical work.,"Lyrics exclude text for an opera or other work for the musical stage, or an oratorio.",,,,,lyrics work,A work that is a textual work that complements a musical work.,rdaw:P10370,property,rdac:C10001,rdaw:P10371,,Published,,2,
has text work,rdaw:textWork.en,Relates a work to a work that is a textual work that complements a work.,,,,,,text work,A work that is a textual work that complements a work.,rdaw:P10371,property,rdac:C10001,rdaw:P10103,,Published,,2,
is text for work,rdaw:textForWork.en,Relates a work to a work that is complemented by a work that is a textual work.,,,,,,text for work,A work that is complemented by a work that is a textual work.,rdaw:P10372,property,rdac:C10001,rdaw:P10103,,Published,,2,
has spoken word work,rdaw:spokenWordWork.en,Relates a work to a work that is a vocal work and that complements a work.,,,,,,spoken word work,A work that is a vocal work and that complements a work.,rdaw:P10373,property,rdac:C10001,rdaw:P10103,,Published,,2,
has sounds work,rdaw:soundsWork.en,Relates a work to a work that is realized as sound and that complements a work.,,,,,,sounds work,A work that is realized as sound and that complements a work.,rdaw:P10374,property,rdac:C10001,rdaw:P10103,,Published,,2,
is spoken word for work,rdaw:spokenWordForWork.en,Relates a work to a work that is complemented by a vocal work.,,,,,,spoken word for work,A work that is complemented by a vocal work.,rdaw:P10375,property,rdac:C10001,rdaw:P10103,,Published,,2,
is sounds for work,rdaw:soundsForWork.en,Relates a work to a work that is complemented by a work that is realized as sound.,,,,,,sounds for work,A work that is complemented by a work that is realized as sound.,rdaw:P10376,property,rdac:C10001,rdaw:P10103,,Published,,2,
has transformation by extension plan,rdaw:transformationByExtensionPlan.en,Relates a work to a work that is created by changing the extension plan of a work.,,,,,,transformation by extension plan,A work that is created by changing the extension plan of a work.,rdaw:P10377,property,rdac:C10001,rdaw:P10344,,Published,,2,
is transformation by extension plan of,rdaw:transformationByExtensionPlanOf.en,Relates a work to a work that has an extension plan that is changed to create a work.,,,,,,transformation by extension plan of,A work that has an extension plan that is changed to create a work.,rdaw:P10378,property,rdac:C10001,rdaw:P10345,,Published,,2,
has sequential version,rdaw:sequentialVersion.en,Relates a work to a work that is created by changing the extension plan of a work from integrating to successive.,,,,,,sequential version,A work that is created by changing the extension plan of a work from integrating to successive.,rdaw:P10379,property,rdac:C10001,rdaw:P10377,,Published,,2,
is sequential version of,rdaw:sequentialVersionOf.en,Relates a work to a work that has an extension plan that is changed from successive to integrating to create a work.,,,,,,sequential version of,A work that has an extension plan that is changed from successive to integrating to create a work.,rdaw:P10380,property,rdac:C10001,rdaw:P10378,,Published,,2,
has serialized version,rdaw:serializedVersion.en,Relates a work to a work that is created by changing the extension plan of a work from static to successive.,,,,,,serialized version,A work that is created by changing the extension plan of a work from static to successive.,rdaw:P10381,property,rdac:C10001,rdaw:P10377,,Published,,2,
has static version,rdaw:staticVersion.en,Relates a work to a work that is created by changing the extension plan of a work from integrating to static.,,,,,,static version,A work that is created by changing the extension plan of a work from integrating to static.,rdaw:P10382,property,rdac:C10001,rdaw:P10377,,Published,,2,
has transformation by audience,rdaw:transformationByAudience.en,Relates a work to a work that is created by changing the audience of a work.,,,,,,transformation by audience,A work that is created by changing the audience of a work.,rdaw:P10383,property,rdac:C10001,rdaw:P10336,,Published,,2,
is transformation by audience of,rdaw:transformationByAudienceOf.en,Relates a work to a work that has an audience that is changed to create a work.,,,,,,transformation by audience of,A work that has an audience that is changed to create a work.,rdaw:P10384,property,rdac:C10001,rdaw:P10337,,Published,,2,
has language version,rdaw:languageVersion.en,Relates a work to a work that is created by changing the language audience of a work.,,,,,,language version,A work that is created by changing the language audience of a work.,rdaw:P10385,property,rdac:C10001,rdaw:P10383,,Published,,2,
has regional version,rdaw:regionalVersion.en,Relates a work to a work that is created by changing the regional audience of a work.,,,,,,regional version,A work that is created by changing the regional audience of a work.,rdaw:P10386,property,rdac:C10001,rdaw:P10383,,Published,,2,
has carrier version,rdaw:carrierVersion.en,Relates a work to a work that is created by changing the carrier of a work.,,,,,,carrier version,A work that is created by changing the carrier of a work.,rdaw:P10387,property,rdac:C10001,rdaw:P10383,,Published,,2,
is language version of,rdaw:languageVersionOf.en,Relates a work to a work that has a language audience that is changed to create a work.,,,,,,language version of,A work that has a language audience that is changed to create a work.,rdaw:P10388,property,rdac:C10001,rdaw:P10384,,Published,,2,
is regional version of,rdaw:regionalVersionOf.en,Relates a work to a work that has a regional audience that is changed to create a work.,,,,,,regional version of,A work that has a regional audience that is changed to create a work.,rdaw:P10389,property,rdac:C10001,rdaw:P10384,,Published,,2,
is carrier version of,rdaw:carrierVersionOf.en,Relates a work to a work that has a carrier that is changed to create a work.,,,,,,carrier version of,A work that has a carrier that is changed to create a work.,rdaw:P10390,property,rdac:C10001,rdaw:P10384,,Published,,2,
is serialized version of,rdaw:serializedVersionOf.en,Relates a work to a work that has an extension plan that is changed from successive to static to create a work.,,,,,,serialized version of,A work that has an extension plan that is changed from successive to static to create a work.,rdaw:P10391,property,rdac:C10001,rdaw:P10378,,Published,,2,
is static version of,rdaw:staticVersionOf.en,Relates a work to a work that has an extension plan that is changed from static to integrating to create a work.,,,,,,static version of,A work that has an extension plan that is changed from static to integrating to create a work.,rdaw:P10392,property,rdac:C10001,rdaw:P10378,,Published,,2,
has aggregator agent,rdaw:aggregatorAgent.en,Relates a work to an agent who is responsible for creating an aggregating work by selecting and arranging expressions of other works.,,aggregator,,,,aggregator agent,An agent who is responsible for creating an aggregating work by selecting and arranging expressions of other works.,rdaw:P10393,property,rdac:C10001,rdaw:P10065,,Published,,2,
has criminal defendant corporate body,rdaw:criminalDefendantCorporateBody.en,Relates a work to a corporate body who is accused in a criminal proceeding.,,,,,,criminal defendant corporate body,A corporate body who is accused in a criminal proceeding.,rdaw:P10394,property,rdac:C10001,rdaw:P10285,,Published,,2,
has civil defendant corporate body,rdaw:civilDefendantCorporateBody.en,Relates a work to a corporate body who is sued in a civil proceeding.,,,,,,civil defendant corporate body,A corporate body who is sued in a civil proceeding.,rdaw:P10395,property,rdac:C10001,rdaw:P10285,,Published,,2,
has criminal defendant person,rdaw:criminalDefendantPerson.en,Relates a work to a person who is accused in a criminal proceeding.,,,,,,criminal defendant person,A person who is accused in a criminal proceeding.,rdaw:P10396,property,rdac:C10001,rdaw:P10286,,Published,,2,
has civil defendant person,rdaw:civilDefendantPerson.en,Relates a work to a person who is sued in a civil proceeding.,,,,,,civil defendant person,A person who is sued in a civil proceeding.,rdaw:P10397,property,rdac:C10001,rdaw:P10286,,Published,,2,
has date of representative expression,rdaw:dateOfRepresentativeExpression.en,Relates a work to a timespan that is the earliest associated with a representative expression of a work.,,,,,,date of representative expression,A timespan that is the earliest associated with a representative expression of a work.,rdaw:P10398,property,rdac:C10001,rdaw:P10317,,Published,,3,
has appellation of work group,rdaw:appellationOfWorkGroup.en,Relates a work to a nomen used within a given scheme or context to refer to a work as a member of a work group.,,,,,,appellation of work group,A nomen used within a given scheme or context to refer to a work as a member of a work group.,rdaw:P10399,property,rdac:C10001,rdaw:P10329,,Published,,3,
has identifier for work group,rdaw:identifierForWorkGroup.en,"Relates a work to a nomen that is an appellation of work that consists of a code, number, or other string, usually independent of natural language and social naming conventions, used to identify a work group.",,,,,,identifier for work group,"A nomen that is an appellation of work that consists of a code, number, or other string, usually independent of natural language and social naming conventions, used to identify a work group.",rdaw:P10400,property,rdac:C10001,rdaw:P10399,rdaw:P10002,Published,,3,
has authorized access point for work group,rdaw:authorizedAccessPointForWorkGroup.en,Relates a work to a nomen that is an authorized access point for work used in a specific vocabulary encoding scheme to identify a work group.,,,,,,authorized access point for work group,A nomen that is an authorized access point for work used in a specific vocabulary encoding scheme to identify a work group.,rdaw:P10401,property,rdac:C10001,rdaw:P10399,rdaw:P10331,Published,,3,
has note on metadata work,rdaw:noteOnMetadataWork.en,Relates a work to a broad unstructured description of one or more attributes of a metadata work.,,cataloguer's note,explanation of relationship,,,note on metadata work,A broad unstructured description of one or more attributes of a metadata work.,rdaw:P10402,property,rdac:C10001,rdaw:P10330,,Published,24.7 24.8 29.6 29.7,6,
has scope of validity,rdaw:scopeOfValidity.en,Relates a work to an unstructured or structured description of a set of entities for which the value of a metadata work is valid.,,,,,,scope of validity,An unstructured or structured description of a set of entities for which the value of a metadata work is valid.,rdaw:P10403,property,rdac:C10001,,,Published,,6,
has recording source,rdaw:recordingSource.en,Relates a work to a source of information for a metadata work that is an unstructured description transcribed from a manifestation that is being described.,,,,,,recording source,A source of information for a metadata work that is an unstructured description transcribed from a manifestation that is being described.,rdaw:P10404,property,rdac:C10001,,,Published,,4,
has related entity of work,rdaw:relatedEntityOfWork.en,Relates a work to an entity that is associated with a work.,,,,,,related entity of work,An entity that is associated with a work.,rdaw:P10405,property,rdac:C10001,rdax:P00028,,Published,,1,
has source consulted,rdaw:sourceConsulted.en,Relates a work to a manifestation in which there is evidence for a metadata work.,,,,,,source consulted,A manifestation in which there is evidence for a metadata work.,rdaw:P10406,property,rdac:C10001,rdaw:P10309,,Published,,2,
has academic supervisor,rdaw:academicSupervisor.en,"Relates a work to a person who is responsible for overseeing academic activity of any kind that results in a work, including theses, research, and projects.",,,,,,academic supervisor,"A person who is responsible for overseeing academic activity of any kind that results in a work, including theses, research, and projects.",rdaw:P10407,property,rdac:C10001,rdaw:P10437,,Published,,2,
has project supervisor,rdaw:projectSupervisor.en,Relates a work to a person who is an academic supervisor who is responsible for advising or supervising a project undertaken by a student that results in a work.,,,,,,project supervisor,A person who is an academic supervisor who is responsible for advising or supervising a project undertaken by a student that results in a work.,rdaw:P10408,property,rdac:C10001,rdaw:P10407,,Published,,2,
has research supervisor,rdaw:researchSupervisor.en,Relates a work to a person who is an academic supervisor who is responsible for advising or supervising research that results in a work.,,,,,,research supervisor,A person who is an academic supervisor who is responsible for advising or supervising research that results in a work.,rdaw:P10409,property,rdac:C10001,rdaw:P10407,,Published,,2,
has special issue,rdaw:specialIssue.en,Relates a work to a work that is an issue that is devoted to a specific topic.,,,,,,special issue,A work that is an issue that is devoted to a specific topic.,rdaw:P10410,property,rdac:C10001,rdaw:P10141,,Published,,2,
is special issue of,rdaw:specialIssueOf.en,Relates a work to a work that has an issue that is devoted to a specific topic.,,,,,,special issue of,A work that has an issue that is devoted to a specific topic.,rdaw:P10411,property,rdac:C10001,rdaw:P10102,,Published,,2,
has dedicatee person of work,rdaw:dedicateePersonOfWork.en,Relates a work to a person to whom a work is dedicated.,,,,,,dedicatee person of work,A person to whom a work is dedicated.,rdaw:P10412,property,rdac:C10001,rdaw:P10312,rdaw:P10069,Published,,2,
has addressee person,rdaw:addresseePerson.en,Relates a work to a person to whom a work or a portion of a work is addressed.,,,,,,addressee person,A person to whom a work or a portion of a work is addressed.,rdaw:P10413,property,rdac:C10001,rdaw:P10312,rdaw:P10070,Published,,2,
has dedicator person,rdaw:dedicatorPerson.en,Relates a work to a person who assigns a work as an acknowledgement of the inspiration or support of a related agent.,,,,,,dedicator person,A person who assigns a work as an acknowledgement of the inspiration or support of a related agent.,rdaw:P10414,property,rdac:C10001,rdaw:P10437,rdaw:P10048,Published,,2,
has director person of photography,rdaw:directorPersonOfPhotography.en,"Relates a work to a person who captures images, either electronically or on film or video stock, and often selects and arranges the lighting.",A director of photography for a movie is also called a chief cinematographer.,,,,,director person of photography,"A person who captures images, either electronically or on film or video stock, and often selects and arranges the lighting.",rdaw:P10415,property,rdac:C10001,rdaw:P10437,rdaw:P10068,Published,,2,
has researcher person,rdaw:researcherPerson.en,Relates a work to a person who does research in support of the creation of a work.,,,,,,researcher person,A person who does research in support of the creation of a work.,rdaw:P10416,property,rdac:C10001,rdaw:P10437,rdaw:P10293,Published,,2,
has editorial director person,rdaw:editorialDirectorPerson.en,"Relates a work to a person who has legal or intellectual responsibility, but not creative responsibility, for the editorial policy and content of a diachronic work.","Revision, clarification, or other change of content of an expression of a work is excluded.",,,,,editorial director person,"A person who has legal or intellectual responsibility, but not creative responsibility, for the editorial policy and content of a diachronic work.",rdaw:P10417,property,rdac:C10001,rdaw:P10437,rdaw:P10298,Published,,2,
has film director person,rdaw:filmDirectorPerson.en,Relates a work to a person who is a director who is responsible for the general management and supervision of a filmed performance.,,,,,,film director person,A person who is a director who is responsible for the general management and supervision of a filmed performance.,rdaw:P10418,property,rdac:C10001,rdaw:P10455,rdaw:P10013,Published,,2,
has radio director person,rdaw:radioDirectorPerson.en,Relates a work to a person who is a director who is responsible for the general management and supervision of a radio program.,,,,,,radio director person,A person who is a director who is responsible for the general management and supervision of a radio program.,rdaw:P10419,property,rdac:C10001,rdaw:P10455,rdaw:P10014,Published,,2,
has television director person,rdaw:televisionDirectorPerson.en,Relates a work to a person who is a director who is responsible for the general management and supervision of a television program.,,,,,,television director person,A person who is a director who is responsible for the general management and supervision of a television program.,rdaw:P10420,property,rdac:C10001,rdaw:P10455,rdaw:P10015,Published,,2,
has audio producer person,rdaw:audioProducerPerson.en,Relates a work to a person who is a producer who is responsible for managing most of the business aspects of an audio recording.,,,,,,audio producer person,A person who is a producer who is responsible for managing most of the business aspects of an audio recording.,rdaw:P10421,property,rdac:C10001,rdaw:P10454,rdaw:P10304,Published,,2,
has film producer person,rdaw:filmProducerPerson.en,Relates a work to a person who is a producer who is responsible for most of the business aspects of the production of a film.,,,,,,film producer person,A person who is a producer who is responsible for most of the business aspects the production of a film.,rdaw:P10422,property,rdac:C10001,rdaw:P10454,rdaw:P10073,Published,,2,
has radio producer person,rdaw:radioProducerPerson.en,Relates a work to a person who is a producer who is responsible for most of the business aspects of a radio program.,,,,,,radio producer person,A person who is a producer who is responsible for most of the business aspects of a radio program.,rdaw:P10423,property,rdac:C10001,rdaw:P10454,rdaw:P10074,Published,,2,
has television producer person,rdaw:televisionProducerPerson.en,Relates a work to a person who is a producer who is responsible for most of the business aspects of a television program.,,,,,,television producer person,A person who is a producer who is responsible for most of the business aspects of a television program.,rdaw:P10424,property,rdac:C10001,rdaw:P10454,rdaw:P10075,Published,,2,
has landscape architect person,rdaw:landscapeArchitectPerson.en,Relates a work to a person who is an architect who is responsible for creating landscape works.,,,,,,landscape architect person,A person who is an architect who is responsible for creating landscape works.,rdaw:P10425,property,rdac:C10001,rdaw:P10438,rdaw:P10200,Published,,2,
has calligrapher person,rdaw:calligrapherPerson.en,"Relates a work to a person who is an artist who is responsible for calligraphy where the focus of interest lies in the aesthetic value of the penmanship or graphic artistry, regardless of whether the same person is also responsible for the inscribed text.",,,,,,calligrapher person,"A person who is an artist who is responsible for calligraphy where the focus of interest lies in the aesthetic value of the penmanship or graphic artistry, regardless of whether the same person is also responsible for the inscribed text.",rdaw:P10426,property,rdac:C10001,rdaw:P10451,rdaw:P10253,Published,,2,
has sculptor person,rdaw:sculptorPerson.en,"Relates a work to a person who is an artist who is responsible for creating a three-dimensional work by modeling, carving, or similar technique.",,,,,,sculptor person,"A person who is an artist who is responsible for creating a three-dimensional work by modeling, carving, or similar technique.",rdaw:P10427,property,rdac:C10001,rdaw:P10451,rdaw:P10202,Published,,2,
has book artist person,rdaw:bookArtistPerson.en,Relates a work to a person who is an artist who is responsible for exploiting the book form or altering its physical structure.,,,,,,book artist person,A person who is an artist who is responsible for exploiting the book form or altering its physical structure.,rdaw:P10428,property,rdac:C10001,rdaw:P10451,rdaw:P10254,Published,,2,
has screenwriter person,rdaw:screenwriterPerson.en,"Relates a work to a person who is an author of a screenplay, script, or scene.",,,,,,screenwriter person,"A person who is an author of a screenplay, script, or scene.",rdaw:P10429,property,rdac:C10001,rdaw:P10436,rdaw:P10203,Published,,2,
has lyricist person,rdaw:lyricistPerson.en,"Relates a work to a person who is an author of the words of a popular song, including a song from a musical.",Authoring of only the dialogue from a musical is excluded.,,,,,lyricist person,"A person who is an author of the words of a popular song, including a song from a musical.",rdaw:P10430,property,rdac:C10001,rdaw:P10436,rdaw:P10204,Published,,2,
has librettist person,rdaw:librettistPerson.en,"Relates a work to a person who is an author of the words of a musical or choreographic work such as an opera, a ballet, or other work for the musical stage, or an oratorio.",Authoring of the words of only the songs from a musical is excluded.,,,,,librettist person,"A person who is an author of the words of a musical or choreographic work such as an opera, a ballet, or other work for the musical stage, or an oratorio.",rdaw:P10431,property,rdac:C10001,rdaw:P10436,rdaw:P10205,Published,,2,
has rapporteur person,rdaw:rapporteurPerson.en,Relates a work to a person who is an author who is appointed by an organization to report on the proceedings of its meetings.,Responsibility limited to taking minutes is excluded.,,,,,rapporteur person,A person who is an author who is appointed by an organization to report on the proceedings of its meetings.,rdaw:P10432,property,rdac:C10001,rdaw:P10436,rdaw:P10255,Published,,2,
has honouree person of work,rdaw:honoureePersonOfWork.en,Relates a work to a person who is honoured by a work.,,honoree person of work,,,,honouree person of work,A person who is honoured by a work.,rdaw:P10433,property,rdac:C10001,rdaw:P10312,rdaw:P10049,Published,,2,
has choreographer person,rdaw:choreographerPerson.en,Relates a work to a person who is responsible for creating a choreographic work.,,,,,,choreographer person,A person who is responsible for creating a choreographic work.,rdaw:P10434,property,rdac:C10001,rdaw:P10437,rdaw:P10060,Published,,2,
has cartographer person of work,rdaw:cartographerPersonOfWork.en,Relates a work to a person who is responsible for creating a cartographic work.,,,,,,cartographer person of work,A person who is responsible for creating a cartographic work.,rdaw:P10435,property,rdac:C10001,rdaw:P10437,rdaw:P10052,Published,,2,
has author person,rdaw:authorPerson.en,Relates a work to a person who is responsible for creating a textual work.,"Creation of a new work by paraphrasing, rewriting, or adapting works by another creator, if the modification has substantially changed the nature and content of the original or changed the medium of expression, is included.",,,,,author person,A person who is responsible for creating a textual work.,rdaw:P10436,property,rdac:C10001,rdaw:P10437,rdaw:P10061,Published,,2,
has creator person of work,rdaw:creatorPersonOfWork.en,Relates a work to a person who is responsible for creating a work.,"A creator of work includes an agent who is jointly responsible for the creation of a work either by performing the same role as another agent, such as in a collaboration between two writers, or by performing a different role, such as in a collaboration between a composer and a lyricist.",,,,,creator person of work,A person who is responsible for creating a work.,rdaw:P10437,property,rdac:C10001,rdaw:P10312,rdaw:P10065,Published,,2,
has architect person,rdaw:architectPerson.en,"Relates a work to a person who is responsible for creating an architectural design, including a pictorial representation intended to show how a building or other structure will look when completed.",,,,,,architect person,"A person who is responsible for creating an architectural design, including a pictorial representation intended to show how a building or other structure will look when completed.",rdaw:P10438,property,rdac:C10001,rdaw:P10437,rdaw:P10062,Published,,2,
has commissioning person,rdaw:commissioningPerson.en,Relates a work to a person who is responsible for commissioning a work.,,,,,,commissioning person,A person who is responsible for commissioning a work.,rdaw:P10439,property,rdac:C10001,rdaw:P10312,rdaw:P10287,Published,,2,
has programmer person,rdaw:programmerPerson.en,Relates a work to a person who is responsible for creating a computer program.,,,,,,programmer person,A person who is responsible for creating a computer program.,rdaw:P10440,property,rdac:C10001,rdaw:P10437,rdaw:P10050,Published,,2,
has designer person,rdaw:designerPerson.en,Relates a work to a person who is responsible for creating a design for an object.,,,,,,designer person,A person who is responsible for creating a design for an object.,rdaw:P10441,property,rdac:C10001,rdaw:P10437,rdaw:P10051,Published,,2,
has composer person of work,rdaw:composerPersonOfWork.en,Relates a work to a person who is responsible for creating a musical work.,"Adaptation of another musical work to form a distinct alteration, paraphrasing a work or creating a work in the general style of another composer, or creating a work that is based on the music of another composer, is included.",,,,,composer person of work,A person who is responsible for creating a musical work.,rdaw:P10442,property,rdac:C10001,rdaw:P10437,rdaw:P10053,Published,,2,
has inventor person,rdaw:inventorPerson.en,Relates a work to a person who is responsible for creating a new device or process.,,,,,,inventor person,A person who is responsible for creating a new device or process.,rdaw:P10443,property,rdac:C10001,rdaw:P10437,rdaw:P10054,Published,,2,
has compiler person,rdaw:compilerPerson.en,Relates a work to a person who is responsible for creating a metadata description set.,"A metadata description set includes a bibliography of works, expressions, or manifestations, a directory of agents and places, and an analytic finding aid.",,,,,compiler person,A person who is responsible for creating a metadata description set.,rdaw:P10444,property,rdac:C10001,rdaw:P10448,rdaw:P10055,Published,,2,
has photographer person of work,rdaw:photographerPersonOfWork.en,Relates a work to a person who is responsible for creating a photographic work.,,,,,,photographer person of work,A person who is responsible for creating a photographic work.,rdaw:P10445,property,rdac:C10001,rdaw:P10437,rdaw:P10056,Published,,2,
